GeneName	expression_specificity
A2M	0.005750441583754018
A4GALT	0.1641677504846507
AAAS	0.13020532933440998
AAGAB	0.06409660938225731
AAK1	0.12342176195204996
AAMDC	0.010910894362704579
AAMP	0.028977272727272727
AAR2	0.04504604707033858
AARS1	0.027653452685421992
AARSD1	0.03534149749321936
AASDH	0.15084956485702444
AASDHPPT	0.1393569942264295
AATF	0.09481902291254485
ABCA7	0.2196559319007083
ABCB10	0.5085384229030637
ABCB7	0.1201230528834416
ABCB8	0.13221245701184564
ABCC1	0.19983347210657793
ABCC4	0.23163103993401613
ABCC5	0.08367947124276143
ABCD3	0.02424522311377937
ABCE1	0.12685344646532537
ABCF1	0.22725587602876843
ABCF2	0.09344994608656954
ABCG2	0.10735264330565122
ABHD10	0.07775638448680787
ABHD13	0.13823476999058068
ABHD14B	0.06388845576227092
ABHD16A	0.07598708716165878
ABHD17A	0.050305570988433766
ABHD18	0.1874239350912779
ABHD2	0.0931599572497328
ABHD3	0.039888911525965326
ABHD5	0.29242929702762
ABI1	0.07094547598386337
ABI2	0.08467283929370462
ABO	0.22128760918796514
ABRACL	0.11724382673069407
ABRAXAS1	0.18158051099227568
ABT1	0.11319929273227727
ABTB1	0.07807807807807807
AC006059.2	0.6274509803921567
AC093323.1	0.17112299465240646
AC129492.3	0.11633500984036739
ACAA1	0.01819368960124916
ACAA2	0.02677852264085433
ACACA	0.07823329026195232
ACAD9	0.06004838430965957
ACADM	0.032407389797758104
ACADS	0.05900816070307596
ACADSB	0.020462480682273482
ACADVL	0.018744689269911855
ACAP1	0.07501562825588663
ACAP2	0.11974734625844367
ACAP3	0.11737879926411524
ACAT1	0.02604517490682115
ACAT2	0.08005268130672545
ACBD6	0.0893291200777832
ACD	0.0919270311291847
ACER3	0.1291532132069576
ACHE	0.15415952965140503
ACIN1	0.12630971526883558
ACKR1	0.10335750738651626
ACLY	0.05031432382388862
ACO2	0.020732657029247484
ACOT13	0.20333600805832042
ACOT7	0.10682724272143286
ACOT8	0.059979854094807834
ACOT9	0.07600230108859189
ACOX1	0.04077876617166779
ACP1	0.1924127514621763
ACP2	0.06451858477818168
ACSF3	0.0758707210705538
ACSL1	0.00433036689835466
ACSL3	0.045581965089161645
ACSL4	0.054796542467320415
ACSL6	0.5068195908245506
ACSM2A	0.03182023827477002
ACSM2B	0.014840543100726238
ACSM3	0.05382046749165194
ACSS1	0.07467378334338394
ACSS2	0.028215516560995507
ACTB	0.09798051961390251
ACTG1	0.04525285110186291
ACTL6A	0.17435551161164298
ACTN1	0.01542451147680057
ACTN4	0.04980141172596875
ACTR10	0.2524408479197819
ACTR1A	0.036572033457120054
ACTR1B	0.04470988253996291
ACTR2	0.04947449537957428
ACTR3	0.08719909221084482
ACTR6	0.06122518012380341
ACY1	0.013065816281335811
ACYP1	0.12036249029711857
ACYP2	0.03182154827209621
ADA	0.10617268205586022
ADAL	0.1124403142167685
ADAM10	0.06898165576322401
ADAM17	0.098343881456778
ADAR	0.05178863907087553
ADAT1	0.07355062013267955
ADAT2	0.277346649571496
ADCK2	0.05711968689949404
ADCY7	0.08254897250551418
ADD1	0.029270211789390866
ADD2	0.7698705001782109
ADD3	0.047091204266162055
ADGRG1	0.028714846632473645
ADH1B	0.0038818498727817433
ADH4	0.00422686627082954
ADH5	0.030670674184418947
ADI1	0.05415805601083162
ADIPOR1	0.08167115282858262
ADIPOR2	0.07990970654627538
ADIRF	0.010034803993080883
ADK	0.06913698153751931
ADNP	0.06617939642715032
ADNP2	0.15079148471615716
ADRM1	0.10175640718305776
ADSL	0.06765730323000975
ADSS2	0.10189374895257249
AEN	0.08277928152839463
AFF1	0.09859273615909667
AFF4	0.05773531514810363
AFG3L2	0.07397974107090625
AFMID	0.022692889561270798
AFTPH	0.05786758991026636
AGFG1	0.02207558344750019
AGGF1	0.12475476633633482
AGK	0.07492480175006835
AGL	0.039388255662963494
AGO2	0.3191881666826011
AGO3	0.2090927648654166
AGPAT2	0.016506394368989787
AGPAT3	0.05881449492713688
AGPAT4	0.23523523523523526
AGPAT5	0.4266923323708693
AGPS	0.11869877582590847
AGT	0.020686168739480176
AGTRAP	0.06791157991723526
AGXT	0.030405356722561935
AHCTF1	0.0822065981611682
AHCY	0.07426214476578975
AHCYL1	0.03898255841796582
AHI1	0.11466686652177172
AHNAK	0.015401547213763852
AHSA1	0.028756247098753896
AHSG	0.0025527249053435897
AHSP	0.9794210566790668
AIDA	0.05483411007014555
AIF1	0.06941687885447627
AIFM1	0.057981200035140124
AIG1	0.04250696000543219
AIMP1	0.12576098177502917
AIMP2	0.06350432632880099
AIP	0.030523572711510707
AK1	0.01088697630690133
AK2	0.04056814724305633
AK3	0.04439337323501208
AK6	0.13286205699498213
AKAP1	0.021510374428862472
AKAP10	0.058685875169110384
AKAP11	0.06399973540161073
AKAP13	0.04169465905273767
AKAP17A	0.07540614506706003
AKAP7	0.23633134593428895
AKAP8	0.3300576799829096
AKAP8L	0.2252314149729547
AKAP9	0.1988442386797009
AKIP1	0.07265834781235192
AKIRIN1	0.06528590724898697
AKIRIN2	0.07192667298470938
AKNA	0.06729234786684375
AKR1A1	0.01960121094726581
AKR1B1	0.014834039982548185
AKR1C1	0.02987617889596375
AKR1C3	0.04568742746118972
AKR7A2	0.06741258251475198
AKT1	0.02032380296245264
AKT1S1	0.11675233910068268
AKT2	0.025436186554057407
AL135905.2	0.02212673482491233
ALAD	0.1626929334343594
ALAS2	0.9535720625494216
ALB	0.003746590073840304
ALDH16A1	0.2509791634027887
ALDH18A1	0.037993486830828996
ALDH1A1	0.023865675519456064
ALDH1L1	0.022437531871494137
ALDH4A1	0.016350785892612258
ALDH5A1	0.047591624743298616
ALDH6A1	0.02326145815931893
ALDH9A1	0.02564713104995453
ALDOA	0.0028808038708116896
ALDOB	0.0006135379038830434
ALG1	0.07161654135338345
ALG11	0.0669845594913715
ALG13	0.11476182990095896
ALG2	0.03242568113946245
ALG3	0.06489668542247858
ALG5	0.06843637345054267
ALKBH3	0.05973270688000457
ALKBH4	0.1923421807747489
ALKBH5	0.0304902962206333
ALKBH7	0.07919980738606844
ALMS1	0.17366511145671332
ALOX5AP	0.035565939771547254
ALS2	0.13938411669367912
ALYREF	0.09622054644319632
AMBP	0.009633223918938207
AMD1	0.1648157995622225
AMDHD2	0.20062895585366824
AMFR	0.03399949405514798
AMMECR1	0.5026798765632613
AMPD3	0.1295065501250187
AMZ2	0.014514926836922834
ANAPC1	0.11358012471543105
ANAPC10	0.10641058915131064
ANAPC11	0.12316927773164409
ANAPC13	0.04949040246850915
ANAPC15	0.07758213586993186
ANAPC16	0.18559901222544908
ANAPC5	0.12259496694271275
ANAPC7	0.1260990282276724
ANG	0.006276150627615062
ANGEL2	0.14230509722137033
ANK1	0.1326385475386176
ANKH	0.1162606990511417
ANKHD1	0.041530196281722005
ANKLE1	0.7849700627033142
ANKLE2	0.058002089174775964
ANKMY2	0.07694761692081925
ANKRA2	0.08053095474625349
ANKRD10	0.039717832819600625
ANKRD11	0.0759037099672339
ANKRD12	0.1621639152855706
ANKRD13A	0.06238178592826681
ANKRD17	0.0951144477999492
ANKRD26	0.1399119557163405
ANKRD27	0.170815886753447
ANKRD28	0.09482086567467715
ANKRD36	0.18191973190776353
ANKRD36B	0.19385236706304695
ANKRD36C	0.2501743780516159
ANKRD39	0.1105420500104285
ANKRD44	0.07387387387387387
ANKRD46	0.030794673661999943
ANKRD49	0.14162319336355084
ANKRD54	0.0665330319443852
ANKRD9	0.18657913571410942
ANKZF1	0.12833432737593323
ANLN	0.1790012804097311
ANP32A	0.14682131845543972
ANP32B	0.2898822465194235
ANP32E	0.28599323226024104
ANTKMT	0.139958210858094
ANTXR2	0.024521622543427383
ANXA1	0.018644262861088733
ANXA11	0.014967497359290911
ANXA2	0.0030969664476272526
ANXA4	0.01175272271409543
ANXA5	0.007258873542448098
ANXA6	0.01222053079347454
ANXA7	0.0684985888857611
AOX1	0.008526909370751628
AP001267.5	0.48007731845538815
AP1B1	0.10126508609714753
AP1G2	0.04503093429399326
AP1M1	0.0679144508138223
AP1S1	0.06630679644663579
AP1S2	0.06433243444833324
AP2A1	0.17516783115767387
AP2A2	0.1712962962962963
AP2B1	0.18159976914146125
AP2M1	0.06773726153103114
AP2S1	0.1761587365605664
AP3B1	0.08840464512126556
AP3D1	0.06641544128766112
AP3M1	0.045016382544280364
AP3S1	0.033474596623721146
AP4B1	0.0793313500495821
AP5M1	0.0875310085988612
AP5S1	0.11512394392349828
APBB1IP	0.11458644371454167
APC	0.11550083939563514
APCS	0.007916575671544007
APEH	0.05855851103115736
APEX1	0.09879068133135417
APEX2	0.1976947592916537
APH1A	0.040303653226720186
API5	0.06210161710151462
APIP	0.1116691736991051
APLP2	0.03655620055735129
APMAP	0.02005195278676571
APOA1	0.01201771282768713
APOA2	0.005714080852037847
APOB	0.03676332871339052
APOBEC3C	0.2135088723526044
APOBEC3G	0.06284095361523856
APOC1	0.024272934768256232
APOC3	0.02067681488599633
APOE	0.022830402722631878
APOF	0.025599255294391436
APOH	0.004358802958903504
APOL3	0.08870636550308009
APOL4	0.13704424329582945
APOL6	0.06122192248018674
APOLD1	0.03000188988282726
APOM	0.052955363696738776
APOO	0.032716246409192476
APOOL	0.11796402825311295
APP	0.005785277057402112
APPL1	0.04640984039542693
APRT	0.14748170265734928
APTX	0.11208245145854422
AQP1	0.03449695615092786
AQP3	0.0822805208199046
AQP9	0.018391290561251453
AQR	0.17150002977431072
ARAF	0.022618947190821664
ARAP2	0.08165850652240902
ARCN1	0.011439997692773575
AREG	0.01512719374145925
AREL1	0.11972020446596719
ARF1	0.03835254806760387
ARF3	0.02313199926565082
ARF4	0.07261649925901534
ARF5	0.06489732661759011
ARF6	0.1349514490195931
ARFGAP2	0.06885201159525768
ARFGAP3	0.025645323499832378
ARFGEF1	0.07474833475234134
ARFIP1	0.07513455587530551
ARFIP2	0.06110739019657935
ARFRP1	0.14570685169124026
ARG1	0.010349629772434976
ARGLU1	0.28895493419057433
ARHGAP1	0.019538949352986543
ARHGAP11A	0.4076452142750484
ARHGAP11B	0.6094602789569434
ARHGAP15	0.12452762817270209
ARHGAP17	0.05258712730865456
ARHGAP18	0.0547119538505316
ARHGAP19	0.14599536089507434
ARHGAP21	0.04854775257386792
ARHGAP25	0.05839137486881023
ARHGAP30	0.06072366550126299
ARHGAP4	0.06635177687809268
ARHGAP45	0.09609970344232141
ARHGAP5	0.045006006777797036
ARHGAP9	0.0816831683168317
ARHGDIA	0.02211113477502399
ARHGDIB	0.07399924917079816
ARHGEF1	0.05228942905596382
ARHGEF12	0.08064027497011793
ARHGEF2	0.0730851468035492
ARHGEF3	0.044549847067689156
ARHGEF39	0.6144759989947223
ARHGEF6	0.04119251893599456
ARHGEF7	0.02758317837808167
ARID1A	0.14409327564713645
ARID1B	0.14560044411920559
ARID2	0.22348120993511195
ARID3A	0.17066464397458997
ARID4A	0.12198710574890986
ARID4B	0.09751995277640764
ARIH1	0.06978088526756221
ARIH2	0.10402906208718629
ARL1	0.037360634227212364
ARL14EP	0.06003595373500515
ARL15	0.07697581040054843
ARL16	0.09671672181216595
ARL2	0.08524616593780861
ARL2BP	0.1139263202901949
ARL4A	0.162027255440524
ARL5A	0.13028710478733288
ARL5B	0.07696517753300952
ARL6IP1	0.16212125235679956
ARL6IP4	0.06282722513089004
ARL6IP5	0.042717371892130186
ARL6IP6	0.4763395092638958
ARL8B	0.047630431154632016
ARMC1	0.14120817952774362
ARMC10	0.20646194554696748
ARMC6	0.06945847253515657
ARMC8	0.12486836166691738
ARMCX3	0.03876993567715217
ARMCX6	0.05662532907263607
ARMH1	0.2642237222757956
ARMT1	0.03606286852749995
ARNT	0.027745785781593556
ARPC1A	0.0580221336410364
ARPC1B	0.11907611297271421
ARPC2	0.04219482775888422
ARPC3	0.07146991240256477
ARPC4	0.03189835155519601
ARPC5	0.07775916773805452
ARPC5L	0.05852842809364548
ARPP19	0.041655420602789026
ARRB2	0.04903249646468594
ARRDC1	0.06850459482038429
ARRDC2	0.05119808721867041
ARRDC3	0.017831975685708625
ARSB	0.10415159843772603
ART4	0.3083117468183354
ARV1	0.22517351606237748
ASAH1	0.04748225312156368
ASAP1	0.2062081344949871
ASB1	0.14730059986669627
ASB3	0.08189113937871924
ASB6	0.11552434003390649
ASB8	0.05489721529448225
ASCC1	0.07147989864226012
ASCC2	0.07735615057236414
ASCC3	0.16019110517810725
ASF1A	0.2966389145852606
ASF1B	0.5780471963628491
ASGR2	0.023246622218986306
ASH1L	0.09689823122276338
ASH2L	0.13782147610665063
ASL	0.04378035764849383
ASNSD1	0.058094738062281374
ASPH	0.007258248055753186
ASPM	0.8077186348968352
ASPSCR1	0.08822278911564627
ASRGL1	0.0921436959860279
ASS1	0.004321057719780971
ASXL1	0.08175624526873582
ASXL2	0.16119924955829587
ATAD1	0.10380176656422602
ATAD2	0.43741446468049255
ATAD2B	0.11451667228022899
ATAD3A	0.22506971185765504
ATAD3B	0.28498443362337345
ATAD5	0.7043934035027911
ATE1	0.07965790326813531
ATF1	0.09511063330298274
ATF2	0.0350385423966363
ATF4	0.02948034576262967
ATF5	0.04942371748892142
ATF6	0.09241341179258322
ATF6B	0.13389700683478672
ATF7	0.04275752561147088
ATF7IP	0.10945601960969176
ATF7IP2	0.2546924161874797
ATG10	0.1582267917348199
ATG101	0.041819383524604944
ATG12	0.1244449637765833
ATG13	0.037320532146881906
ATG14	0.173012071746249
ATG2B	0.1570639716607627
ATG3	0.12185818264294106
ATG4A	0.16167919444050488
ATG4B	0.14690733902790762
ATG4C	0.12245407972010494
ATG4D	0.12367193209286637
ATG5	0.08746819338422392
ATIC	0.09299704100324081
ATL2	0.047345331344925946
ATL3	0.08569537884636594
ATM	0.12237174095878883
ATOX1	0.05858287207343486
ATP11B	0.053211818315449064
ATP11C	0.06856455493183643
ATP13A3	0.06674567570908192
ATP1A1	0.01726094281882887
ATP1B2	0.17904904285263784
ATP1B3	0.07681967014446046
ATP23	0.5156010230179028
ATP2A2	0.003905290455058271
ATP2A3	0.06711409395973154
ATP2B1	0.06841434427641324
ATP2B4	0.05929112503506967
ATP2C1	0.03211880504230703
ATP5F1A	0.04124427056036292
ATP5F1B	0.026510670127517042
ATP5F1C	0.04622180634844846
ATP5F1D	0.14333846404834696
ATP5F1E	0.3884479073045939
ATP5IF1	0.31353670364523234
ATP5MC1	0.04392331057909004
ATP5MC2	0.06886001376382044
ATP5MC3	0.08947843274998794
ATP5MD	0.04635816590787259
ATP5ME	0.04814654651846831
ATP5MF	0.06064826649976641
ATP5MG	0.1605071237344986
ATP5MPL	0.12624159677881427
ATP5PB	0.22624640299805926
ATP5PD	0.0248448011496131
ATP5PF	0.04329276277893693
ATP5PO	0.02979081798569343
ATP6AP1	0.026397692646124262
ATP6AP2	0.035519966639528194
ATP6V0A1	0.08186420595310762
ATP6V0A2	0.3318954920322732
ATP6V0B	0.05807344491851838
ATP6V0C	0.046954629611956254
ATP6V0D1	0.06723565950995736
ATP6V0E1	0.0423662490392545
ATP6V1A	0.06768084925558793
ATP6V1B2	0.044148682412491
ATP6V1C1	0.06973216107596902
ATP6V1D	0.034709787609156766
ATP6V1E1	0.02529247182213613
ATP6V1F	0.03972528838462332
ATP6V1G1	0.07286175585791957
ATP6V1H	0.041173136020526906
ATP7A	0.27259259259259266
ATP8B4	0.29432013769363174
ATPAF1	0.030512872046920398
ATR	0.19783325482807354
ATRAID	0.022613396624472572
ATRX	0.19847951746670017
ATXN10	0.07307658069580561
ATXN2	0.1196608040201005
ATXN2L	0.042375375198634574
ATXN3	0.16520210896309315
ATXN7	0.12705942145610094
ATXN7L3B	0.08244555365169237
AUNIP	0.5814536340852131
AUP1	0.0652513438327419
AURKA	0.4489125974558885
AURKAIP1	0.10466194514251925
AURKB	0.567493570065544
AZGP1	0.003405413726668121
AZI2	0.08849557522123894
AZIN1	0.06370372416460074
B2M	0.031749095788668705
B3GALNT1	0.1289967993275355
B3GAT3	0.08025187419500433
B3GNT2	0.14006802304739752
B4GALT1	0.015483317717679572
B4GALT3	0.08796199336427071
B4GALT5	0.05349174527212425
BABAM1	0.09127827300501651
BABAM2	0.038898578299244216
BACE2	0.21103342428376531
BACH1	0.05300353356890458
BAD	0.13428330903640437
BAG1	0.08254394413400118
BAG2	0.14655737704918032
BAG4	0.10061844477617728
BAG5	0.07895771058366778
BAG6	0.08343705738443709
BANF1	0.0537199279687595
BARD1	0.3503115332665243
BASP1	0.02722702149830252
BAX	0.1053676296654359
BAZ1A	0.21798365122615798
BAZ1B	0.196548686179362
BAZ2A	0.05965119985428712
BAZ2B	0.08822331810161517
BBIP1	0.0606161452885804
BBS7	0.11157768446310738
BBX	0.14369789538654126
BCAP29	0.07874128068698914
BCAP31	0.02245286106319796
BCAS2	0.062104574212784536
BCAT1	0.11019892009072847
BCCIP	0.07515290418004716
BCDIN3D	0.1677409334472315
BCKDHA	0.02484857897189005
BCKDHB	0.055151333931359854
BCKDK	0.035541742314675204
BCL10	0.07248878149810148
BCL11A	0.41041777108948824
BCL2L1	0.12211819561114608
BCL2L11	0.13548582791277675
BCL2L12	0.16104802721689565
BCL2L13	0.13555050101432348
BCL7A	0.29873933528587804
BCL7B	0.04418326259658287
BCL7C	0.08330542531815137
BCLAF1	0.19202760296022403
BCOR	0.09959183673469388
BDH1	0.02843881441742562
BDH2	0.03160301813105403
BDP1	0.32171866428356544
BECN1	0.05308283610170402
BET1	0.06425865117453902
BET1L	0.021691973969631236
BEX3	0.02743689351949677
BEX4	0.027653742893794207
BFAR	0.10862119581172325
BHLHE40	0.007239088209364943
BICD2	0.05635617100072457
BID	0.13179728516634476
BIN1	0.006636088115045867
BIN2	0.08452365351854278
BIN3	0.08010091453800061
BIRC2	0.07437507043093791
BIRC5	0.7719623833401738
BIRC6	0.1535356447776256
BLCAP	0.012178953972638518
BLM	0.533675799086758
BLMH	0.05277608799302895
BLOC1S1	0.08627595888678721
BLOC1S2	0.09728639838696126
BLOC1S4	0.1472120649476137
BLOC1S5	0.0889276373147341
BLOC1S6	0.08108700416392725
BLVRA	0.11870445895168699
BLVRB	0.6460738364319337
BMI1	0.03591282162550409
BMP2K	0.4302956095854469
BMPR2	0.04175515640185738
BMS1	0.11555214971364039
BNIP2	0.0887070854638422
BNIP3	0.021519818073594717
BNIP3L	0.22020034378519357
BOD1	0.018001073140898795
BOD1L1	0.16351339782552862
BOLA1	0.16522301228183578
BOLA2-SMG1P6	0.07823960880195598
BOLA2B	0.030802327286950575
BOLA3	0.21409075033094593
BOP1	0.2153837941710259
BORCS6	0.0880174291938998
BORCS7	0.03619080958087057
BORCS8	0.07972672286815632
BPGM	0.2518512140520062
BPTF	0.15572165865812418
BRAF	0.11013454861111113
BRAP	0.0981056134987132
BRAT1	0.1024493641073952
BRCA1	0.40403699453183023
BRCA2	0.7251055376210576
BRCC3	0.09748465519316403
BRD2	0.11427209498840808
BRD3	0.23380248924043268
BRD4	0.1772425029723898
BRD7	0.09272548260846136
BRD8	0.051606147862832345
BRD9	0.08972122334175953
BRI3	0.02222000797130331
BRI3BP	0.2166926528144589
BRIX1	0.19899058689628799
BRK1	0.07407507353536447
BRMS1	0.06091312218061315
BROX	0.13358456130863863
BRWD1	0.08038741863818843
BSDC1	0.1381850685158621
BSG	0.1046064535585042
BSPRY	0.1338736151005334
BST2	0.03237211865185048
BTAF1	0.05153411156947074
BTBD1	0.016006418613980538
BTBD7	0.24107239378761136
BTF3	0.10695614982476545
BTF3L4	0.16085753803596123
BTG1	0.04679425364092676
BTG2	0.02569100121192149
BTG3	0.16067759703580564
BTK	0.31203255991929596
BTN3A1	0.03274173806609547
BTN3A2	0.04033533691869662
BTN3A3	0.05521726459806432
BTRC	0.08073952726421718
BUB1	0.47193211488250647
BUB1B	0.4542525773195876
BUB3	0.10632580991862428
BUD13	0.1071072297380073
BUD23	0.028964644812318696
BUD31	0.11361608470644222
BZW1	0.04542698012895161
BZW2	0.055551137719108905
C10orf88	0.16279178556392382
C11orf1	0.05767129386053665
C11orf21	0.2194690265486725
C11orf54	0.01443969130427729
C11orf58	0.10639198063457429
C11orf71	0.08938140352381362
C11orf98	0.0381367154165318
C12orf29	0.20519010259505133
C12orf4	0.0854893773100471
C12orf43	0.13452262646338803
C12orf45	0.07612589559877171
C12orf57	0.029495273193398494
C12orf65	0.17490644081150286
C12orf73	0.09598490873111282
C12orf75	0.03738123669591403
C12orf76	0.09360796479330498
C14orf119	0.04840305892937472
C15orf40	0.15182938153903297
C15orf61	0.1019343685732169
C16orf72	0.0361051883439943
C16orf87	0.1549120857572391
C16orf91	0.10135342656483547
C17orf58	0.10009564695153145
C17orf75	0.0858677850397196
C17orf99	0.858433734939759
C18orf21	0.040887491865476466
C18orf25	0.10429613617941096
C18orf32	0.11786148238153098
C19orf25	0.07865168539325844
C19orf53	0.11928207796068521
C1D	0.232490639421821
C1GALT1	0.1852432929152565
C1orf109	0.1811817202646561
C1orf122	0.04022847316054539
C1orf131	0.15703850693672275
C1orf162	0.046041896361631744
C1orf174	0.21437354099470748
C1orf198	0.029864694648734307
C1orf21	0.07278454073380439
C1orf216	0.0743904119024659
C1orf35	0.2586439155814998
C1orf43	0.04613089641858775
C1orf52	0.11990969144577306
C1orf56	0.113421550094518
C1QA	0.005972167446053299
C1QBP	0.12138418471679012
C1R	0.007178521862587138
C1S	0.009303522471965716
C2	0.02054807797930977
C20orf27	0.27370488037568425
C21orf58	0.6938682173075037
C22orf39	0.10789164179974921
C2CD3	0.16436237068548776
C2CD5	0.059035132797713795
C2orf49	0.10781014450823044
C2orf68	0.09439298592943507
C2orf69	0.1866918953011668
C2orf76	0.06867706928340736
C2orf88	0.18503095104108047
C3	0.012401041775459788
C3orf38	0.06087447506793239
C4BPA	0.005011725546561768
C4orf3	0.06224803914894905
C4orf48	0.1888968332679844
C5orf15	0.021614041874184038
C5orf24	0.12502915090010455
C5orf51	0.07932021662624678
C6orf120	0.08154082243087886
C6orf136	0.18437333551849874
C6orf62	0.04697103782057897
C6orf89	0.08624468442415308
C7	0.006399394673610748
C7orf50	0.05714321284290595
C8orf33	0.07121906507791015
C8orf82	0.0939830929885629
C8orf88	0.28227201938051555
C9	0.03193003957850505
C9orf16	0.16444594366672288
C9orf40	0.3215048025613661
C9orf78	0.1879761949888177
C9orf85	0.08404734667195854
CA1	0.8946381445104528
CA2	0.4887067730176659
CA3	0.029612669835627454
CAAP1	0.14776119402985072
CAB39	0.03642151238109337
CABIN1	0.07052382498956063
CACUL1	0.19870392706012216
CACYBP	0.20263667964182167
CAD	0.08544237849352815
CALCOCO1	0.021879429208349965
CALCOCO2	0.02090284515330068
CALD1	0.006046848062578445
CALHM6	0.0906562274647162
CALM1	0.03426227214486235
CALM2	0.06139122991133648
CALM3	0.11028068893821473
CALR	0.057792424893728794
CALU	0.02835099672540295
CAMK2G	0.02290471637985978
CAMKMT	0.10357845826207611
CAMLG	0.11351695507461684
CAMTA1	0.08030359891856287
CAND1	0.09875842170690158
CANT1	0.027543345457113597
CANX	0.14891554313027008
CAP1	0.038354671572738475
CAPG	0.01749895150910379
CAPN1	0.048234348346110865
CAPN7	0.048347140459764
CAPNS1	0.010427352354327069
CAPRIN1	0.11251396028546312
CAPRIN2	0.1664746194432652
CAPZA1	0.10510244789120216
CAPZA2	0.2934232241957278
CAPZB	0.033466990812363845
CARD8	0.12839657138825855
CARHSP1	0.1652105277482921
CARM1	0.05031761791384313
CARS1	0.08651356043142946
CASC3	0.04500108738686994
CASP10	0.10558905002444192
CASP3	0.1657474058147144
CASP4	0.031339164600776466
CASP6	0.12145534262074816
CASP8	0.06090914045893063
CASP8AP2	0.48880433191863
CAST	0.12006576289215681
CAT	0.1425789651000426
CAVIN2	0.04585932387319102
CBFA2T3	0.2162941600576785
CBFB	0.09949400193302631
