GeneName	expression_specificity
AAAS	0.06142576998500404
AAGAB	0.05991639572689271
AAK1	0.5547899398090915
AAMDC	0.011902793850223177
AAMP	0.0411221590909091
AARS1	0.018062659846547313
AARSD1	0.045478206076545846
AASDH	0.15499378367177785
AASDHPPT	0.07627267665074297
AATF	0.12264902184531772
ABCA2	0.10989311391159345
ABCA5	0.1152478646450611
ABCA7	0.266087267099232
ABCB1	0.1752297081751398
ABCB7	0.08594169637189318
ABCB8	0.10087886893389378
ABCC1	0.35759673955913945
ABCD3	0.029825472878061927
ABCD4	0.16581390941823004
ABCE1	0.09135968412651743
ABCF1	0.2572847927634018
ABCF2	0.06315573279476952
ABCF3	0.053945524948426304
ABCG1	0.12022194821208387
ABHD10	0.04760594968580074
ABHD12	0.03185076327864919
ABHD13	0.18329472263944402
ABHD14A	0.09390267115030775
ABHD14B	0.0744749821506241
ABHD15	0.0933584473016133
ABHD17A	0.3230466185160866
ABHD17B	0.13283916902370044
ABHD18	0.12981744421906694
ABHD2	0.0397221232632704
ABHD3	0.11548483256307703
ABHD5	0.15147416824452256
ABI1	0.13155715714654778
ABI2	0.0757236774171342
ABI3	0.41138080222922935
ABL2	0.1520328636695205
ABLIM1	0.057664795218298266
ABR	0.23698280429651758
ABRACL	0.26521362184598385
ABRAXAS1	0.18253119429590015
ABRAXAS2	0.06711091567161653
ABT1	0.2406168541169179
ABTB1	0.12435965377141847
AC013394.1	0.02080917609451879
AC073111.3	0.2911372549019608
AC093323.1	0.25205954617719334
AC129492.3	0.20380494205116997
ACAA1	0.031089599855008143
ACAA2	0.020199861960581454
ACAD8	0.0445478990247622
ACAD9	0.046656298600311036
ACADM	0.022650939700193606
ACADS	0.025946850805607866
ACADSB	0.019747009329746438
ACADVL	0.02068598985643923
ACAP1	0.8795582413002707
ACAP2	0.28127467321694877
ACAP3	0.08006633327287331
ACAT1	0.010328259014773904
ACAT2	0.04810032353193804
ACBD3	0.08991661801991757
ACBD5	0.0690943521764721
ACBD6	0.10209042294603794
ACD	0.21650104527621067
ACER3	0.1593584001666493
ACIN1	0.10242627925988064
ACLY	0.043223043284951294
ACO2	0.019082296270700422
ACOT13	0.12138698717839279
ACOT7	0.06601284766174921
ACOT8	0.06181130002136686
ACOT9	0.06737321886892644
ACOX1	0.021472005196586135
ACP1	0.06531589433768238
ACP5	0.0566589621387224
ACP6	0.06719515140868268
ACSF3	0.10574108369675608
ACSL3	0.064309439118042
ACSL4	0.05728729439765316
ACSL5	0.047262872628726284
ACSL6	0.1708772473651581
ACSS1	0.04137851396605038
ACTA2	0.0022548693514874794
ACTB	0.1802907378097562
ACTG1	0.12774569119901769
ACTL6A	0.053777702751585596
ACTN1	0.02545044393672094
ACTN4	0.12018191920647003
ACTR10	0.1965872108364852
ACTR1A	0.036311734286606744
ACTR1B	0.05216152962995673
ACTR2	0.12970865738911946
ACTR3	0.1704130981006673
ACTR6	0.12245036024760682
ACTR8	0.07399490257337826
ACYP1	0.06593283268023978
ACYP2	0.04537865759511945
ADA	0.270692513709986
ADA2	0.08212940348553215
ADAM10	0.16238159675236807
ADAM17	0.15916928790692392
ADAM19	0.2269754286724413
ADAM8	0.4976084953266927
ADAR	0.12982057772483624
ADARB1	0.11681822274241473
ADAT1	0.1434958177098356
ADCK2	0.05500414294025352
ADCY7	0.1572361381057413
ADD1	0.04870500295062619
ADD3	0.10944941996107986
ADGRE5	0.3163822229922897
ADGRG1	0.04562308119778808
ADH5	0.03810798358965358
ADI1	0.030107603506021523
ADIPOR1	0.030751297919494484
ADIPOR2	0.06365688487584649
ADIRF	0.010972636141966946
ADK	0.05060702477408508
ADNP	0.08209596012481936
ADNP2	0.10848799126637554
ADPGK	0.1884115642139138
ADPRM	0.16044350236425886
ADPRS	0.06254548478988625
ADRB2	0.18944082665087994
ADRM1	0.08436765405683902
ADSL	0.03182399077856014
ADSS2	0.15119052223124618
AEBP2	0.07991764419039361
AEN	0.12456310934748904
AFDN	0.017921385110442434
AFF1	0.06320047189685683
AFF4	0.1595137758439701
AFG3L2	0.03982486061298786
AFTPH	0.07609694057796933
AGA	0.10055973440682586
AGAP2	0.18132149564623526
AGFG1	0.04917650296435001
AGFG2	0.09377286129153828
AGGF1	0.07646259872226972
AGK	0.07984686901832103
AGL	0.04847785312364737
AGO1	0.10347148225001403
AGO2	0.2347815398063291
AGO3	0.3210755008602841
AGO4	0.07660319544758153
AGPAT1	0.05995632320825888
AGPAT2	0.037920095172003565
AGPAT3	0.04580483706306974
AGPAT4	0.1901901901901902
AGPAT5	0.12832852101379527
AGPS	0.1062041678442339
AGR2	0.009058544076287318
AGTPBP1	0.1446599622059559
AGTRAP	0.10603737916901645
AHCTF1	0.14818820984315845
AHCY	0.019700348917086035
AHCYL1	0.028542512060328783
AHDC1	0.09174579134385742
AHI1	0.4631642059506857
AHNAK	0.13683312102728323
AHR	0.14269894004113273
AHSA1	0.0648371986471904
AIDA	0.04047963099419122
AIF1	0.06869076087482694
AIFM1	0.03713671903077157
AIG1	0.023222652271338358
AIMP1	0.12011693311078737
AIMP2	0.026189740420271945
AIP	0.14187232010299106
AK2	0.028325259950062548
AK3	0.030174266723984
AK6	0.08520844510367025
AK9	0.14194076702606798
AKAP1	0.020916984789445574
AKAP10	0.10749936012285642
AKAP11	0.14238700821908742
AKAP13	0.34728753778972127
AKAP17A	0.14644513887541002
AKAP5	0.3958159990490906
AKAP7	0.11074464036534314
AKAP8	0.2948088015381329
AKAP8L	0.1693920125919726
AKAP9	0.43565873399170657
AKIP1	0.051334702258726904
AKIRIN1	0.15581784267061174
AKIRIN2	0.2102635189612006
AKNA	0.4834335836802108
AKR1A1	0.028866092005941285
AKR1B1	0.045307588181991064
AKR1C3	0.014042872440702524
AKR7A2	0.0670623872809091
AKT1	0.02893558387874613
AKT2	0.042944211065291726
AKT3	0.15840829602210094
AKTIP	0.0499791007344599
AL031777.2	0.7610470025330706
AL135905.2	0.04267298859090235
ALAS1	0.018779156552452766
ALB	0.0003193723170365666
ALDH16A1	0.12971956760144132
ALDH2	0.00512848691320036
ALDH3A2	0.01338293648061815
ALDH6A1	0.010590582576600487
ALDH9A1	0.034769936054300773
ALDOA	0.00286020568174562
ALDOC	0.011186812552325414
ALG12	0.11903961261685385
ALG13	0.2134884452130168
ALG2	0.03915100759801763
ALG3	0.06702444560026477
ALG5	0.07768974225512308
ALG6	0.38644637356482775
ALG8	0.06692137924488002
ALKBH2	0.05520240883238542
ALKBH3	0.05801378006331379
ALKBH5	0.09315628192032686
ALKBH6	0.1685393258426966
ALKBH7	0.12101730568591258
ALOX5AP	0.39992211838006236
ALYREF	0.06534046409631006
AMBP	0.0009187241330098475
AMD1	0.16759828351656503
AMDHD2	0.1397237371123761
AMFR	0.023222868707310905
AMMECR1	0.10475881110930647
AMPD2	0.10166874007979065
AMZ2	0.05204451244229989
ANAPC1	0.0979906958329209
ANAPC10	0.08253309109784582
ANAPC11	0.08009482410684876
ANAPC13	0.0323591093063329
ANAPC15	0.06341496323281387
ANAPC16	0.3428951532963497
ANAPC4	0.08414038893623615
ANAPC5	0.09826865719573044
ANAPC7	0.05128798395804413
ANGEL2	0.14169171318162307
ANK3	0.049789261280192953
ANKFY1	0.0711743772241993
ANKH	0.08642881704041708
ANKHD1	0.04912933858007965
ANKIB1	0.11581691525278859
ANKLE2	0.12370113805047007
ANKRA2	0.11857707509881422
ANKRD10	0.06176975840348932
ANKRD11	0.30777666208646026
ANKRD12	0.4874647293484253
ANKRD13A	0.1103135536471611
ANKRD13C	0.13420509291121818
ANKRD13D	0.4104010858861416
ANKRD17	0.10753295137026897
ANKRD26	0.25628732075142746
ANKRD27	0.0683263547013788
ANKRD28	0.42860048130698575
ANKRD36	0.4153035984999602
ANKRD36B	0.3903971281130807
ANKRD36C	0.39990699837247157
ANKRD37	0.17456868734672804
ANKRD39	0.17033208963871058
ANKRD40	0.03043936824960282
ANKRD44	0.6094594594594595
ANKRD49	0.18010775677755925
ANKRD52	0.0869646530764915
ANKRD54	0.09788032584125898
ANKRD9	0.04072163676300007
ANKS3	0.16862786299642782
ANKZF1	0.19620344281512866
ANO6	0.032993608567973745
ANO9	0.18778648528759426
ANP32A	0.07541979305921535
ANP32B	0.10554444703669723
ANP32E	0.15963482830182887
ANTKMT	0.31504763253886753
ANTXR2	0.04622061227610053
ANXA1	0.21712510070203703
ANXA11	0.08141316555262838
ANXA2	0.02665960057220142
ANXA2R	0.6132059717444308
ANXA4	0.0227219305805845
ANXA5	0.030177339446132545
ANXA6	0.06155526621898287
ANXA7	0.05456789588791927
AOAH	0.3812424512944389
AP001267.5	0.3570706848833633
AP1AR	0.07208630192230138
AP1B1	0.03928386960665206
AP1G1	0.07977128755029153
AP1G2	0.11277312240582661
AP1M1	0.07413034970186708
AP1S1	0.06343775236961788
AP1S2	0.11338860519823284
AP2A1	0.05451186412328653
AP2A2	0.19074074074074077
AP2B1	0.056976424242830975
AP2M1	0.038468968848104315
AP2S1	0.07275602585465779
AP3B1	0.11195983017002384
AP3D1	0.06732275605935048
AP3M1	0.048150434493565694
AP3M2	0.23737859558755078
AP3S1	0.07648169427274036
AP4B1	0.09845587193653492
AP5M1	0.09100140101026981
AP5Z1	0.4289656325779747
APAF1	0.1503274991946741
APBA2	0.8029381965552175
APBA3	0.17137919446978056
APBB1	0.06540802840136217
APBB1IP	0.4885786802030458
APC	0.17392277560156688
APEH	0.035609905356784884
APEX1	0.05736887034905588
APH1A	0.05487123873035399
APH1B	0.10744316412332608
API5	0.055338074644914026
APIP	0.06475792264742625
APLP2	0.015459378932043633
APMAP	0.07692658250922844
APOA1	0.001422150298488721
APOA2	0.0007308066726785858
APOBEC3C	0.1929021179164281
APOBEC3G	0.5140299587088218
APOBEC3H	0.5684931506849316
APOBR	0.20765237454335705
APOC1	0.0022770613243604234
APOC3	0.0020747794181881713
APOD	0.003977703462780006
APOE	0.009695830969937605
APOL1	0.018742636821248798
APOL2	0.04224302161848753
APOL3	0.09469052508066883
APOL6	0.273402009980012
APOLD1	0.051499307042963335
APP	0.004831432094532947
APPBP2	0.10596507443963954
APPL1	0.1502660076217787
APPL2	0.024107477218824114
APRT	0.2265797953218678
APTX	0.12919849084383914
AQP3	0.06903442052339824
AQR	0.25010421008753647
ARAF	0.03701282267588999
ARAP1	0.02709632305809685
ARAP2	0.4468106960660116
ARCN1	0.04114553792022764
AREG	0.566956480227236
ARF1	0.058650322604465704
ARF3	0.034587846521020746
ARF4	0.05606784126461388
ARF5	0.0603309902031328
ARF6	0.3299439016514092
ARFGAP1	0.04791817050882338
ARFGAP2	0.05036741749130563
ARFGAP3	0.07391887361716391
ARFGEF1	0.16602393950017527
ARFGEF2	0.0939755282878455
ARFIP1	0.05851825986442064
ARFIP2	0.03459299716213136
ARFRP1	0.11782926527072235
ARGLU1	0.46964274883241336
ARHGAP1	0.03445025280658154
ARHGAP10	0.08202386986774804
