GeneName	expression_specificity
A2M	0.08088237928551212
A4GALT	0.11337145100733725
AACS	0.15734612839179354
AAGAB	0.052601021830004646
AAMDC	0.05783537011839209
AAMP	0.060617897727272725
AAR2	0.07207367531254173
AARS1	0.0617007672634271
AARSD1	0.04684803156077916
AASDHPPT	0.037147211394742245
AATF	0.049749201632036506
ABCA1	0.12540405151551057
ABCA6	0.10702779446294985
ABCA8	0.14721570300832088
ABCA9	0.17254079782411605
ABCC5	0.03759512476124064
ABCC9	0.13578696973701598
ABCD1	0.15290519877675843
ABCD2	0.4485714285714285
ABCD3	0.03232696415170583
ABCE1	0.06300667870794306
ABCF1	0.04634092088677986
ABCF2	0.06366919403700344
ABCF2-H2BE1	0.08491817779743475
ABCF3	0.05229075424448685
ABCG1	0.09356640313338653
ABHD10	0.03491102976958721
ABHD12	0.048046066640674207
ABHD14A	0.05012372311401562
ABHD14B	0.08518460768302791
ABHD15	0.15723527966587503
ABHD17A	0.07667053891610688
ABHD2	0.03295333095831849
ABHD3	0.05500809573338766
ABHD4	0.056359818764504355
ABHD5	0.0901631953836444
ABHD6	0.052064070101567606
ABI1	0.04550844257788435
ABI2	0.03510825043885313
ABI3BP	0.0962801215351978
ABITRAM	0.05950447855010215
ABL1	0.09782550431504282
ABLIM1	0.0643353042542049
ABLIM3	0.18717582500187926
ABRACL	0.023448765346138812
ABTB1	0.07560501678148734
AC002996.1	0.4420573196407853
AC005154.5	0.09456090128359036
AC013394.1	0.043373342943996994
AC026464.4	0.07459720049054848
AC093155.3	0.2769010043041607
AC129492.3	0.11895910780669147
AC138969.1	0.036675649722764304
AC233755.1	0.03892299609186632
AC240274.1	0.05994754589733984
ACAA1	0.02983486264112889
ACAA2	0.05326184896913231
ACACA	0.10501585809937743
ACACB	0.4741539124811381
ACAD11	0.06064235981133487
ACAD8	0.0441465666011157
ACAD9	0.07214446172455502
ACADL	0.09337727558066541
ACADM	0.0467282609935984
ACADS	0.1052521448001674
ACADSB	0.021177952034800527
ACADVL	0.06298088296291268
ACAP2	0.05230721993157293
ACAT1	0.043430008403738715
ACAT2	0.018724768803504453
ACBD3	0.05645927177994825
ACBD5	0.037362131176907135
ACBD6	0.0501336898395722
ACE	0.08372093023255815
ACER3	0.11352984064159982
ACIN1	0.05257561752306862
ACKR1	0.26752618855761484
ACKR3	0.12510751118510866
ACLY	0.07665336582565581
ACO1	0.16263538919131262
ACO2	0.04579751104968101
ACOT1	0.08763040238450075
ACOT2	0.1831930771673547
ACOT9	0.06803699442428532
ACOX1	0.06820519297739125
ACP1	0.029645221415258056
ACP2	0.07137011590506824
ACSF2	0.06230529595015577
ACSL1	0.2316746290619743
ACSL3	0.044521919389413696
ACSL4	0.12232359480078599
ACSL5	0.04119241192411923
ACSM5	0.07028665931642779
ACSS2	0.1367367341032859
ACSS3	0.15562868504044974
ACTA2	0.12088173167054717
ACTB	0.08253283520179262
ACTC1	0.004365504032039895
ACTG1	0.05980624729542308
ACTG2	0.0401569283056219
ACTL6A	0.04316685557190054
ACTN1	0.1131773529610242
ACTN4	0.07789187743090567
ACTR10	0.04617820388776498
ACTR1A	0.06819838267448722
ACTR1B	0.04686258058818334
