annot	trait	tau	tau_se	p	TRAIT	ANNOT	COLOR	BIN	CELL	PAIR
Erythroidcells_TPM_GROUP1	30040_irnt	2.98454147116838	0.898208429151418	0.000891278542444165	MCV	Erythroidcells_TPM_GROUP1	Erythroidcells	GROUP1	Erythroidcells	MCV_Erythroidcells
Erythroidcells_TPM_GROUP1	30240_irnt	2.99283148222551	1.0586533104267	0.00469837536609106	Reticulo_percentage	Erythroidcells_TPM_GROUP1	Erythroidcells	GROUP1	Erythroidcells	Reticulo_percentage_Erythroidcells
Erythroidcells_TPM_GROUP2	30040_irnt	1.6571092157185	0.868069979353765	0.0562674974487048	MCV	Erythroidcells_TPM_GROUP2	Erythroidcells	GROUP2	Erythroidcells	MCV_Erythroidcells
Erythroidcells_TPM_GROUP2	30240_irnt	0.991867327586042	0.534551808735549	0.0635231387217663	Reticulo_percentage	Erythroidcells_TPM_GROUP2	Erythroidcells	GROUP2	Erythroidcells	Reticulo_percentage_Erythroidcells
Erythroidcells_TPM_GROUP3	30040_irnt	1.12157769237095	0.78688069947092	0.154057049598509	MCV	Erythroidcells_TPM_GROUP3	Erythroidcells	GROUP3	Erythroidcells	MCV_Erythroidcells
Erythroidcells_TPM_GROUP3	30240_irnt	0.770580145126622	0.464506525257759	0.0971314886264241	Reticulo_percentage	Erythroidcells_TPM_GROUP3	Erythroidcells	GROUP3	Erythroidcells	Reticulo_percentage_Erythroidcells
Erythroidcells_TPM_GROUP4	30040_irnt	1.5140540996095	0.654356791695349	0.0206784140076025	MCV	Erythroidcells_TPM_GROUP4	Erythroidcells	GROUP4	Erythroidcells	MCV_Erythroidcells
Erythroidcells_TPM_GROUP4	30240_irnt	0.316736719985743	0.413001591856345	0.443132624541938	Reticulo_percentage	Erythroidcells_TPM_GROUP4	Erythroidcells	GROUP4	Erythroidcells	Reticulo_percentage_Erythroidcells
Tcells_TPM_GROUP1	30120_irnt	0.246721441756847	0.430114933698517	0.566226684548665	Lymph_count	Tcells_TPM_GROUP1	Tcells	GROUP1	Tcells	Lymph_count_Tcells
Tcells_TPM_GROUP1	30210_irnt	-0.861746257240844	0.652455364635442	0.186576641738103	Eosino_count	Tcells_TPM_GROUP1	Tcells	GROUP1	Tcells	Eosino_count_Tcells
Tcells_TPM_GROUP2	30120_irnt	-0.0592976093195841	0.517317377996072	0.908742202497358	Lymph_count	Tcells_TPM_GROUP2	Tcells	GROUP2	Tcells	Lymph_count_Tcells
