GeneName	expression_specificity
A2M	0.03643379468236424
AAK1	0.03329752953813094
AAR2	0.043021755572362756
AATF	0.04786924005221211
ABCA1	0.14298769652557994
ABCB7	0.06001269593241858
ABCC1	0.14281958017441565
ABCE1	0.035367748981392035
ABCF1	0.052420849707125385
ABCF2	0.07679668646345028
ABHD17C	0.05769329040829884
ABHD2	0.022800142500890633
ABHD4	0.0945132058791028
ABI1	0.06538774915375488
ABI2	0.05173303961725123
ABI3BP	0.027174462066875522
ABL1	0.08794468168742287
ABL2	0.2075862863285596
ABR	0.281826501613602
ABRACL	0.04089159213523015
ABTB1	0.09379968203497614
ABTB2	0.2528062285044789
ACAA1	0.007433156198517993
ACAA2	0.018725286094426263
ACADVL	0.022825663781589883
ACAN	0.9862505398425863
ACAT2	0.04228820110516225
ACBD3	0.07835466529584492
ACIN1	0.03889206503561138
ACKR3	0.42855339261901165
ACLY	0.10261533179876528
ACO1	0.06257365733206134
ACO2	0.005502921654280364
ACOT9	0.04748207806000542
ACOX1	0.02239223399072554
ACP1	0.030625361527090434
ACSL1	0.03041882266145141
ACSL3	0.18199806836116886
ACSL4	0.0667982767686646
ACTB	0.027489543722248835
ACTG1	0.06557428107213795
ACTL6A	0.03706561844358164
ACTN1	0.029219808928864083
ACTN4	0.039676496614738745
ACTR1A	0.022836913893034435
ACTR1B	0.024827784156142313
ACTR2	0.06082643129585617
ACTR3	0.023113500661929586
ACVR1	0.2030238276761841
ADAM10	0.06172739019402352
ADAM12	0.07924831550967408
ADAM15	0.02887115493616685
ADAM17	0.13593815136241316
ADAM19	0.11861410641682842
ADAM9	0.053564384592097815
ADAMTS1	0.06061554620218286
ADAMTS2	0.28549948878330383
ADAMTS9	0.2875241571827355
ADAR	0.032208531864204845
ADD1	0.013467969313487666
ADD3	0.02334132521959768
ADH5	0.009521511155964129
ADI1	0.006567851967980238
ADIPOR1	0.04011472304660241
ADIPOR2	0.04406320541760731
ADK	0.15618625461302454
ADM	0.23898109984775906
ADNP	0.052545603049278515
ADORA2A	0.3296449481656554
ADPGK	0.138912437931452
ADPRM	0.16060655470406027
ADRB2	0.1765782250686185
ADRM1	0.036856285175551305
ADSL	0.016087403212468987
AEBP1	0.02956049829379604
AEN	0.1130791264814861
AFF1	0.041651026145843636
AFF4	0.14013174909859888
AFG3L2	0.02084842703050535
AFTPH	0.06097647141948709
AGAP3	0.048635126186447
AGFG1	0.025802707698934568
AGO2	0.14364150402229003
AGO3	0.14350704266425565
AGPAT1	0.062140162795314674
AGPAT5	0.14212383702277825
AGTRAP	0.04351901127093932
AHCTF1	0.10383991346673878
AHCY	0.025604401257675078
AHCYL1	0.0671962249814027
AHNAK	0.026285307244823624
AHR	0.16025945261825658
AHSA1	0.022739740892347975
AHSP	0.015493976773421307
AIDA	0.0465754997751132
AIG1	0.020031235146329866
AIMP1	0.0176460940288859
AIP	0.044581027626947996
AK1	0.006955849513293099
AK2	0.03404343689479808
AK3	0.01003604378162098
AK4	0.02630061292096398
AK6	0.07817085871177452
AKAP12	0.15302114465868186
AKAP13	0.017971111857574787
AKAP17A	0.09425282894353748
AKAP8L	0.041361132278172785
AKAP9	0.03125884723633147
AKIRIN1	0.05367595034411785
AKIRIN2	0.05731502043933964
AKR1A1	0.015212472504732249
AKR1B1	0.10640011634541183
AKR1C1	0.1338447172201327
AKR1C2	0.038458869893428026
AKT1	0.015271558158227127
AKT3	0.2924701623548946
ALAS1	0.07429804759085801
ALCAM	0.08343078619399254
ALDH18A1	0.045592184196994796
ALDH2	0.01313258970273092
ALDH9A1	0.01731898547523213
ALDOA	0.013535070035314125
ALDOC	0.010580559484973585
ALG2	0.045964403807815864
ALG3	0.08009834980377332
ALG5	0.031480731787249625
ALKBH5	0.046373850868232945
ALKBH7	0.02109038070819407
ALOX5AP	0.04062824506749741
ALPL	0.1319416129821414
AMD1	0.031046337632786282
AMFR	0.03465722236276241
AMMECR1L	0.13778614407206935
AMOTL1	0.08475525781377663
AMOTL2	0.07025573047188698
AMPD2	0.17056325339968276
AMPD3	0.3223345372171053
AMZ2	0.031553620231977296
ANAPC11	0.03413018366371774
ANAPC13	0.015100917676288657
ANAPC16	0.013442776898596636
ANAPC5	0.02297351001352804
ANG	0.0037596264629191673
ANGPT2	0.18416523235800303
ANGPTL2	0.15039563400605926
ANGPTL4	0.565393060111323
ANGPTL7	0.5115061892498127
ANK3	0.043079053884636904
ANKH	0.07102961813332351
ANKHD1	0.03985720681448662
ANKIB1	0.05466045557502457
ANKLE2	0.09203364670954972
ANKRD10	0.07857064535386638
ANKRD11	0.03861906775182335
ANKRD12	0.018583984691726393
ANKRD17	0.13126922751263018
ANKRD28	0.09754940175575356
ANKRD37	0.036161424945144884
ANKRD40	0.02133425897494086
ANKRD50	0.12111733919668047
ANO6	0.0509587148039385
ANP32A	0.017610830776839323
ANP32B	0.0319367134083242
ANPEP	0.016976918226763543
ANTXR1	0.03206036173458264
ANXA1	0.05897111290136955
ANXA2	0.08309812721538955
ANXA5	0.14587254650527387
ANXA6	0.011223275132426817
ANXA7	0.03271908360581191
AOC2	0.781236395298215
AOC3	0.016920603322869654
AP1G1	0.07115981195526559
AP2B1	0.02495822399989259
AP2M1	0.016070997343636814
AP2S1	0.027266262643415855
AP3B1	0.06535352164556707
AP3D1	0.036794638374575896
AP3M1	0.050952086993684316
AP3S1	0.02181021455516846
APBA3	0.32888483510153177
APBB2	0.048601398601398615
APCDD1L	0.6140559857057768
APEX1	0.06871876189553794
API5	0.026357319997540582
APIP	0.031945542156387834
APLP2	0.026349717110800946
APMAP	0.0190037825274575
APOC1	0.003287142373371584
APOE	0.0022511344299489503
APOO	0.04324928183849347
APP	0.023096871941475455
APPL1	0.030487114666264102
APPL2	0.03055174135563592
APRT	0.04026597127573249
ARAF	0.01900202463303521
ARC	0.6261907632943445
ARCN1	0.1353668970688611
ARF1	0.07790505552119764
ARF3	0.014686983660730641
ARF4	0.07663428289148677
ARF5	0.009381745724248634
ARF6	0.04013247320872044
ARFGAP1	0.08632949885580023
ARFGAP3	0.10241367750586655
ARFGEF1	0.05531627184855022
ARFGEF2	0.1054152749173602
ARFIP2	0.021660325767985315
ARG1	0.010316653010905185
ARG2	0.06405781046719836
ARGLU1	0.04670346333474864
ARHGAP1	0.023738109520952948
ARHGAP17	0.15286918553694656
ARHGAP21	0.17273513573840016
ARHGAP31	0.08427832214026226
ARHGAP32	0.07738809192534642
ARHGAP35	0.08597316364642411
ARHGAP42	0.21528631850496424
ARHGAP5	0.028515758079265503
ARHGDIA	0.031130276221676065
ARHGDIB	0.012272574221788752
ARHGEF1	0.0248728094968909
ARHGEF12	0.044214445845979326
