ensg,beta,standard_error,effect_allele_frequency
ENSG00000187634,0.0186636,0.0273083,0.00772715
ENSG00000188976,-0.0679235,0.0711613,0.000932088
ENSG00000187961,0.0341106,0.0631811,0.00118322
ENSG00000187583,0.00366655,0.0960462,0.000511924
ENSG00000187642,0.0593511,0.0921661,0.000555389
ENSG00000188290,0.097638,0.119801,0.000328404
ENSG00000187608,0.222583,0.169398,0.000164202
ENSG00000188157,-0.18958,0.113334,0.00036704
ENSG00000237330,-0.0109717,0.141124,0.000236644
ENSG00000131591,-0.0387139,0.0983712,0.000487777
ENSG00000162571,-0.0354758,0.02882,0.00567946
ENSG00000186891,-0.0564935,0.0860564,0.00063749
ENSG00000186827,-0.238649,0.16697,0.000169031
ENSG00000078808,0.156051,0.1867,0.000135225
ENSG00000176022,0.0764399,0.148939,0.000212497
ENSG00000184163,0.133325,0.0710909,0.000936917
ENSG00000162572,0.0402211,0.0607593,0.00127981
ENSG00000131584,-0.276359,0.177428,0.000149714
ENSG00000169972,-0.099988,0.0635878,0.00116873
ENSG00000127054,-0.0371324,0.0474004,0.00210565
ENSG00000224051,0.199292,0.177396,0.000149714
ENSG00000169962,0.0568643,0.0959808,0.000511924
ENSG00000107404,-0.0270496,0.144087,0.000226985
ENSG00000162576,0.09189,0.149007,0.000212497
ENSG00000175756,-0.285348,0.197567,0.000120737
ENSG00000221978,-0.0312739,0.210629,0.000106248
ENSG00000242485,0.0422384,0.139702,0.000241474
ENSG00000235098,-0.155155,0.0850561,0.000651979
ENSG00000205116,0.0172011,0.135698,0.000255962
ENSG00000179403,-0.00712084,0.0594292,0.00133776
ENSG00000215915,-0.167252,0.101908,0.00045397
ENSG00000160072,0.0122371,0.0275342,0.00625417
ENSG00000197785,-0.0527064,0.126515,0.000294598
ENSG00000205090,-0.299949,0.255007,7.24421e-05
ENSG00000160075,-0.269545,0.205973,0.000111078
ENSG00000228594,-0.0737593,0.297795,5.31242e-05
ENSG00000197530,0.0688531,0.055477,0.00154543
ENSG00000189409,0.251687,0.263959,6.76126e-05
ENSG00000248333,0.52436,0.22658,9.176e-05
ENSG00000189339,-0.142891,0.171946,0.000159373
ENSG00000008128,0.0670923,0.0579723,0.00138606
ENSG00000215790,-0.0742477,0.103593,0.000439482
ENSG00000008130,0.0418586,0.116447,0.000347722
ENSG00000169885,0.12071,0.174628,0.000154543
ENSG00000178821,-0.0185816,0.164636,0.000173861
ENSG00000142609,-0.0384745,0.0397235,0.00300393
ENSG00000187730,0.267036,0.18034,0.000144884
ENSG00000067606,-0.020003,0.154266,0.000198008
ENSG00000162585,-0.063769,0.190098,0.000130396
ENSG00000157933,0.0139325,0.44165,2.41474e-05
