pheno	coloc_count	burden_genes	gwas_genes
20023_irnt	0	1	1
20154_irnt	0	1	1
2966_irnt	0	1	1
30510_irnt	0	1	1
400_irnt	0	1	1
404_irnt	0	1	1
4079_irnt	0	1	1
4120_irnt	0	1	1
4194_irnt	0	1	1
5084_irnt	0	1	1
5085_irnt	0	1	1
5201_irnt	0	1	1
5254_irnt	0	1	1
5262_irnt	0	1	1
1488_irnt	1	2	2
20022_irnt	0	2	2
3064_irnt	0	2	2
30850_irnt	1	2	2
3761_irnt	1	2	2
5255_irnt	0	2	2
5264_irnt	1	2	2
5265_irnt	0	2	2
189_irnt	0	3	3
23111_irnt	0	3	3
3144_irnt	0	3	3
4080_irnt	0	3	3
4101_irnt	0	3	3
4124_irnt	0	3	3
5256_irnt	2	3	3
5263_irnt	0	3	3
102_irnt	1	4	4
23115_irnt	0	4	4
23119_irnt	1	4	4
30500_irnt	1	4	4
30740_irnt	2	4	4
4100_irnt	0	4	4
4105_irnt	0	4	4
4123_irnt	0	4	4
4125_irnt	0	4	4
5097_irnt	0	4	4
5134_irnt	0	4	4
5257_irnt	2	4	4
23099_irnt	0	5	5
23123_irnt	0	5	5
30220_irnt	1	5	5
30790_irnt	3	5	4
3147_irnt	0	5	5
3148_irnt	0	5	5
4104_irnt	0	5	5
4106_irnt	0	5	5
4119_irnt	0	5	5
49_irnt	1	5	5
5098_irnt	0	5	5
5133_irnt	0	5	5
78_irnt	0	5	5
21001_irnt	1	6	6
23100_irnt	1	6	6
23104_irnt	1	6	6
23112_irnt	1	6	6
23116_irnt	1	6	6
23120_irnt	1	6	6
23124_irnt	1	6	6
23127_irnt	0	6	6
23128_irnt	1	6	6
3581_irnt	1	6	6
5135_irnt	0	6	6
30670_irnt	0	7	7
30810_irnt	2	7	7
30890_irnt	4	7	6
5096_irnt	0	7	7
5099_irnt	0	8	8
20153_irnt	2	9	9
30190_irnt	0	9	9
30620_irnt	1	9	9
30650_irnt	2	9	9
30680_irnt	2	9	9
46_irnt	0	9	9
47_irnt	0	9	9
48_irnt	1	9	9
5132_irnt	0	9	9
20150_irnt	1	10	10
30060_irnt	2	10	10
30130_irnt	0	10	10
30710_irnt	2	10	10
3143_irnt	0	10	10
23098_irnt	2	11	11
23108_irnt	4	11	11
30600_irnt	2	11	11
20151_irnt	1	12	12
21002_irnt	2	12	12
30210_irnt	4	12	11
30280_irnt	2	12	11
23107_irnt	4	13	13
30140_irnt	3	13	12
30200_irnt	3	13	12
3062_irnt	1	13	13
3063_irnt	1	13	13
30780_irnt	6	13	12
30860_irnt	5	13	12
23110_irnt	5	14	13
30020_irnt	4	15	15
30000_irnt	3	16	15
30690_irnt	7	16	15
30730_irnt	4	16	14
30870_irnt	10	16	15
23106_irnt	8	17	17
30030_irnt	4	17	16
30180_irnt	3	17	16
30660_irnt	9	17	10
30830_irnt	7	17	13
23117_irnt	4	18	18
30290_irnt	4	19	18
30300_irnt	4	19	17
30610_irnt	6	19	17
30640_irnt	9	19	17
30700_irnt	4	19	19
30770_irnt	5	19	19
30840_irnt	9	19	12
30880_irnt	8	19	15
23113_irnt	4	20	20
23114_irnt	4	20	20
23118_irnt	4	20	20
23109_irnt	6	21	21
30120_irnt	5	21	19
23121_irnt	4	22	22
30630_irnt	13	22	20
30720_irnt	5	22	20
30750_irnt	7	22	22
23105_irnt	5	23	23
23122_irnt	4	23	23
23125_irnt	5	23	23
23126_irnt	7	24	24
30240_irnt	9	24	23
30250_irnt	8	25	24
23102_irnt	6	26	26
23130_irnt	7	26	25
30090_irnt	8	26	25
30760_irnt	14	26	24
23101_irnt	7	27	27
23129_irnt	7	27	26
30110_irnt	7	29	28
30080_irnt	7	30	30
30010_irnt	5	31	30
30070_irnt	6	32	31
20015_irnt	9	37	35
30270_irnt	11	37	36
30040_irnt	15	40	37
30100_irnt	16	40	37
30260_irnt	15	41	39
30050_irnt	16	43	39
50_irnt	31	82	76
