GeneName	expression_specificity
A1CF	0.06408775981524249
A2M	0.04603936096650413
AAAS	0.05883031491521515
AACS	0.06303772336201192
AAGAB	0.09684161634928008
AAMDC	0.025941986596640255
AAMP	0.08128551136363636
AAR2	0.05672465186635228
AARS1	0.0442774936061381
AARSD1	0.04438234568915919
AASDHPPT	0.029893613903461215
AATF	0.051473183866810046
ABCA8	0.05911218765295749
ABCB1	0.1118774290656662
ABCB10	0.03801196292406739
ABCC3	0.22867286206536497
ABCC5	0.056392687141860964
ABCD3	0.08582039292655237
ABCE1	0.047675053555676916
ABCF3	0.047657396273456366
ABCG1	0.07670269094074128
ABCG2	0.10600229559111472
ABHD10	0.044749592704652695
ABHD11	0.1589305299753741
ABHD12	0.06658069159943616
ABHD14B	0.06893552066834628
ABHD17A	0.03575938178695894
ABHD17B	0.0608602360284795
ABHD17C	0.3336910419541111
ABHD2	0.037584609903811905
ABHD3	0.20426982918538694
ABHD4	0.04931484141894132
ABHD5	0.0369669101072942
ABHD6	0.047369768698967245
ABI1	0.06359258351494756
ABI3BP	0.08509018004926683
ABITRAM	0.062437797915248026
ABL1	0.08871299158432651
ABLIM1	0.04098852262853164
ABRACL	0.12802486826914872
AC002996.1	0.08043655738409314
AC004556.3	0.07972136222910219
AC005833.1	0.21437092777828762
AC011043.1	0.04924074893115141
AC013394.1	0.06004575511611144
AC026464.4	0.048885693745506824
AC034102.2	0.26585179526355995
AC068631.2	0.1771397286939595
AC135068.1	0.6958840193301115
AC135068.5	0.48617062719127385
AC136616.2	0.5043838673680855
AC138969.1	0.053278815475637335
AC141272.1	0.738664468260511
AC233755.1	0.7186935461814726
AC233755.2	0.6794371927445331
AC240274.1	0.10540776820282255
ACAA1	0.03966363748318304
ACAA2	0.07114231133089961
ACACB	0.026126320327656816
ACAD10	0.08693019634979672
ACAD8	0.046554561142994735
ACAD9	0.04881631242439951
ACADM	0.026701863424913368
ACADS	0.10232266164469554
ACADSB	0.022751989010360026
ACADVL	0.04971002485501242
ACAP2	0.05592595841740502
ACAT1	0.030888551028656116
ACAT2	0.0661379448564148
ACBD3	0.060641440059944415
ACBD5	0.05194871663638458
ACBD6	0.04405687894992709
ACE	0.0744186046511628
ACIN1	0.04696541443371679
ACKR1	0.05243083534783777
ACKR3	0.03172073131278062
ACLY	0.05976936454247171
ACO1	0.035860598237836015
ACO2	0.0470868553922959
ACOT11	0.1576782449725777
ACOT2	0.02937440457288028
ACOT7	0.1078919660708159
ACOT8	0.07096852965416195
ACOT9	0.05277015665103106
ACOX1	0.07379874054961116
ACP1	0.049328363005334545
ACP2	0.0610928192147384
ACP5	0.09490887520710178
ACP6	0.06851270339708822
ACSF2	0.06732991659129738
ACSF3	0.10215664018161182
ACSL1	0.0071571341792250635
ACSL3	0.04770205648865754
ACSL4	0.03514727723913986
ACSL5	0.24216802168021676
ACSM3	0.05185621685327048
ACSS1	0.03791426628517174
ACSS2	0.10773197232380102
ACTA2	0.10533090855684041
ACTB	0.08493322726582975
ACTG1	0.07579657900809449
ACTG2	0.4261590476990602
ACTL6A	0.0749993971109557
ACTN1	0.11153849861661413
ACTN4	0.0858148292964007
ACTR1A	0.05310103078471523
ACTR1B	0.04802172569107127
ACTR2	0.09221424269700755
ACTR3	0.08733417988274389
ACTR6	0.04938605689544363
ACVR1	0.03704618424302298
ACVR1B	0.0888353897080951
ACVRL1	0.126246631812863
ACY1	0.033882540526175925
ACYP1	0.060321527771283204
ADA2	0.09372024671937741
ADAM10	0.06776074150192801
ADAM15	0.08933953521849049
ADAM28	0.2273931941057988
ADAM33	0.10035991140642302
ADAM9	0.0905429826895027
ADAMDEC1	0.9433852083272505
ADAMTS1	0.033604880080506834
ADAP1	0.34967845659163993
ADAR	0.059047424061941634
ADCK2	0.06822629268550677
ADCY3	0.047673602128681776
ADCY6	0.09048321889238271
ADD1	0.054999672152645736
ADD3	0.06257324402490028
ADGRA3	0.08111954459203037
ADGRE5	0.08351381789829335
ADGRG1	0.05349415590922756
ADH1B	0.012818569673360272
ADH1C	0.1331440447504071
ADH5	0.0662117987758057
ADI1	0.030463906506092785
ADIPOR1	0.042637709833513546
ADIPOR2	0.046320541760722346
ADIRF	0.03570014380092949
ADK	0.027872792106342244
ADM	0.03360439642048198
ADNP	0.04691197721418249
ADPGK	0.0534611325455458
ADPRS	0.04857255733682656
ADRM1	0.034026140376613195
ADSL	0.03570802114917181
ADSS2	0.059197380464348796
ADTRP	0.5593549281456494
AEBP1	0.045512477901574644
AEBP2	0.050930566467098315
AFAP1	0.1030060255158717
AFDN	0.08398750818707344
AFF1	0.05079019741529222
AFF4	0.04221752293438407
AFG3L2	0.08207971272100548
AFMID	0.02542891170695593
AFTPH	0.06465060411220235
AGA	0.06303026414973296
AGAP1	0.10076252723311545
AGAP3	0.03504157162828342
AGBL5	0.06001356828500358
AGFG1	0.05779136479752083
AGFG2	0.0897825267684941
AGGF1	0.0528195583278837
AGK	0.05523653267705769
AGPAT1	0.07345642247369465
AGPAT2	0.061118271041935165
AGPAT3	0.059627598543641074
AGPS	0.08969343586844965
AGR2	0.6626540671425037
AGR3	0.4736161964247254
AGTRAP	0.03193035687336675
AHCY	0.05610514115557222
AHCYL1	0.04568717534488869
AHCYL2	0.3666006754396179
AHNAK	0.04995876877464649
AHR	0.043347571586774235
AHSA1	0.052267644097735065
AIDA	0.04823104969520656
AIF1	0.0701429968341256
AIFM1	0.060377117391964094
AIFM2	0.0733088164134327
AIFM3	0.5593319091085647
AIG1	0.027840021728797442
AIMP1	0.060926781734507815
AIMP2	0.05979604449938196
AIP	0.041736313707575856
AK1	0.016102597514393597
AK2	0.08490333673011075
AK3	0.05571905690949375
AK4	0.023336596880406648
AK6	0.05144065389591945
AKAP1	0.09894772237276737
AKAP12	0.037340408881203824
AKAP13	0.03262512596573733
AKAP17A	0.042215795500863726
AKAP7	0.07268806292020805
AKAP9	0.039968691191899684
AKIP1	0.0525193492339283
AKIRIN1	0.054833729980060475
AKIRIN2	0.033523346110867505
AKNA	0.051557321251213616
AKR1A1	0.06718614427583713
AKR1B1	0.02053943997583595
AKR1B10	0.7482161060142714
AKR1C2	0.01654779085257549
AKR1C3	0.1229232258850536
AKR7A2	0.06373553255940187
AKR7A3	0.08520137444192513
AKT1	0.06188999885176256
AKT1S1	0.04280919100358366
AKT2	0.04509142161855631
AKTIP	0.032423717680778646
AL034430.2	0.09130816505706763
AL121900.1	0.06404889228418639
AL135905.2	0.06811873363955155
AL163636.1	0.06687067890740112
AL592183.1	0.07035207109785277
ALAD	0.029653960207539267
ALAS1	0.037048471750540296
ALCAM	0.025059307026629694
ALDH18A1	0.14826029823458836
ALDH1A1	0.027853358011314545
ALDH1B1	0.09498534308563623
ALDH2	0.03356411524442735
ALDH3A2	0.040974916632016065
ALDH6A1	0.014372933496814946
ALDH7A1	0.04326316715714551
ALDH9A1	0.0393313385564739
ALDOA	0.01727599542955611
ALDOB	0.0016342912306973104
ALDOC	0.009887698836571493
ALG1	0.10601503759398496
ALG11	0.06244323342415987
ALG13	0.05722370696431378
ALG2	0.05980736743500852
ALG3	0.06560593881507397
ALG5	0.06940026603435313
ALG8	0.062293837063053206
ALKBH3	0.05414619472575954
ALKBH5	0.029570990806945866
ALKBH7	0.0506878767270838
ALOX5AP	0.029595015576323994
ALYREF	0.0733961377520195
AMACR	0.08172883733918149
AMD1	0.03422455263841312
AMFR	0.04416898558057172
AMN	0.3036773428232503
AMT	0.0689863158291552
AMZ2	0.0435447805107685
ANAPC11	0.037646654945095726
ANAPC13	0.03977265137651444
ANAPC15	0.06948660864872158
ANAPC16	0.0207380484496461
ANAPC4	0.06136205159990702
ANAPC5	0.051422446841393264
ANAPC7	0.05437297547431746
ANG	0.00988417924928749
ANGPTL1	0.04746344132128757
