GeneName	expression_specificity
A2M	0.027175762874002626
AAMDC	0.026933886084158847
AAMP	0.05252130681818182
AAR2	0.04671441918405482
AARS1	0.08120204603580561
AARSD1	0.0479438919481658
AASDHPPT	0.0841856920957768
AATF	0.049502918455640296
AATK	0.20354203043152902
ABAT	0.09331379987369125
ABCA2	0.3026161121893879
ABCA3	0.07072984096126401
ABCA8	0.055347080159138536
ABCB1	0.07750544784669644
ABCC10	0.15560640732265446
ABCC5	0.13037019070430222
ABCD3	0.0467586445765745
ABCE1	0.03129331709161172
ABCF2	0.07650572509285089
ABCG1	0.05711902516863713
ABCG2	0.20795354803861998
ABHD10	0.08569070943444133
ABHD12	0.08169630807065952
ABHD14A	0.16179176448194912
ABHD14B	0.022896440793415018
ABHD17A	0.051517753421889995
ABHD17B	0.1152833317077929
ABHD17C	0.07767387194031376
ABHD2	0.024403277520484504
ABHD3	0.05436472619264628
ABHD4	0.0700353630235385
ABHD6	0.12589262852428235
ABHD8	0.19181890389197778
ABI1	0.06359258351494756
ABI2	0.10188276597941692
ABITRAM	0.08213294222408467
ABL1	0.045562563653581585
ABLIM1	0.03800434753352077
ABLIM3	0.04413612396774089
ABRACL	0.024931158557676327
ABTB1	0.07984455043278571
AC005154.5	0.12706621109982455
AC007325.2	0.28161185734136174
AC007325.4	0.08066086001647157
AC007326.4	0.15315565794177224
AC011043.1	0.032434026242075774
AC013394.1	0.09025666739791283
AC026464.4	0.041442889161415815
AC055839.2	0.4785807271956647
AC092718.2	0.26809269162210336
AC138969.1	0.2884490289006598
AC240274.1	0.06344448607468466
ACAA1	0.02279439271880642
ACAA2	0.022224065246819264
ACAD8	0.05939719869968294
ACADM	0.022479773909008263
ACADVL	0.02950140399526026
ACAP3	0.19044904516363068
ACAT1	0.014465977688394506
ACAT2	0.04277493056947347
ACBD3	0.030320720029972208
ACBD5	0.08803132277298667
ACBD7	0.7008310249307479
ACIN1	0.08431333785711614
ACKR1	0.03395111469245233
ACKR3	0.012072815648894118
ACLY	0.035118722669022925
ACO1	0.020203153936809024
ACO2	0.056834298622464495
ACOT7	0.1721302748169267
ACOT8	0.10439241781386403
ACOX1	0.022013316251962258
ACP1	0.03952696188701074
ACP2	0.03454313609805302
ACSBG1	0.37496027963139494
ACSL1	0.012269372878671537
ACSL3	0.052118913570940645
ACSL4	0.03902178024187969
ACSL5	0.028401084010840103
ACSL6	0.2103998760074396
ACSS1	0.09776876788257484
ACTA2	0.00921386269487125
ACTB	0.08037441814421085
ACTG1	0.03261064993372164
ACTL6A	0.02628596233149251
ACTL6B	0.9285714285714285
ACTN1	0.020341074510030754
ACTN2	0.003639587830851006
ACTN4	0.018315395221533963
ACTR10	0.1508487993666989
ACTR1A	0.11088744663867005
ACTR1B	0.08395522388059702
ACTR2	0.03186053890935935
ACTR3	0.01742630967497906
ACTR3B	0.14384038357435622
ACTR6	0.08185908060751615
ACVR1	0.042522576696339416
ACVR1B	0.06139030996087872
ACVRL1	0.03349400435851467
ACYP1	0.16188614662339726
ACYP2	0.16080238002585895
ADAM10	0.04090062775341602
ADAM11	0.6030397123713025
ADAM17	0.0602569447076212
ADAM22	0.23292242729687396
ADAM23	0.2414337908561272
ADAMTS1	0.016608416483206614
ADAP1	0.2587806084590651
ADAR	0.028197587849910666
ADAT1	0.08725122584366889
ADCK2	0.09678613613525379
ADCY1	0.3180680312177883
ADCY2	0.2158713511623842
ADCY3	0.11142318637052369
ADCY5	0.06153846153846154
ADCYAP1R1	0.6120794487231456
ADD1	0.07223132909317423
ADD3	0.110417047446001
ADGRA1	0.9087221095334685
ADGRA3	0.056925996204933584
ADGRB3	0.6172898309121218
ADGRF5	0.03426172783481763
ADGRG1	0.05436871976605416
ADGRL1	0.20639834881320948
ADGRL2	0.053066015763289794
ADGRL3	0.3935828877005348
ADGRL4	0.05024227822744376
ADGRV1	0.17156357908765976
ADH5	0.03040740659485312
ADI1	0.0182308368369795
ADIPOR1	0.043557948175244054
ADIPOR2	0.10970654627539501
ADIRF	0.04807952816622554
ADK	0.020554237754397634
ADNP	0.06973968041215521
ADO	0.11269823416938479
ADORA1	0.33430232558139533
ADPRS	0.07818185598735783
ADRM1	0.027907875387758456
ADSS2	0.04785293473076278
AEBP1	0.023064589072071703
AEBP2	0.02952889226017934
AFAP1L2	0.07532689027856737
AFDN	0.025211440070622405
AFF4	0.031035584427439106
AFG3L2	0.017819937630218295
AFMID	0.10268130170277141
AFTPH	0.07736875574083232
AGAP1	0.1761074800290486
AGAP2	0.30117807751408565
AGAP3	0.1774152012361121
AGAP4	0.1492743607463718
AGFG1	0.058329793662094
AGGF1	0.05332260174053021
AGPAT3	0.05176759691743385
AGPAT4	0.16416416416416418
AGT	0.08547571408925658
AGTPBP1	0.11142726818566873
AGTRAP	0.0366960817798394
AHCY	0.0325918214803405
AHCYL1	0.14118007643263297
AHCYL2	0.054268079655292865
AHNAK	0.00967409684364542
AHSA1	0.12840839899443565
AIDA	0.08670105361876417
AIF1	0.023961893328428
AIF1L	0.29274091293322063
AIFM1	0.025157132246651705
AIFM3	0.35540881724606715
AIG1	0.05893936307462483
AIMP1	0.04052137502532586
AIMP2	0.03314276885043264
AIP	0.08144810473530661
AK1	0.02997716266830506
AK2	0.028977248030754525
AK3	0.024883436394299137
AK4	0.030780166575019113
AK5	0.6687679083094556
AK6	0.07037586391895728
AKAP1	0.038421979152244
AKAP10	0.05813740904603459
AKAP11	0.08086788271676396
AKAP12	0.03689321835568043
AKAP6	0.10810570335439094
AKAP7	0.06812127362679182
AKAP8L	0.08582028956540202
AKAP9	0.03297417023331724
AKIP1	0.07068393618701628
AKIRIN1	0.0627130636135589
AKIRIN2	0.06195453838210956
AKR1A1	0.020168448563103084
AKR1B1	0.05463759522983812
AKR1C3	0.02635443184077049
AKR7A2	0.051653796991822945
AKT1	0.034791594901825706
AKT1S1	0.07297021193792667
AKT2	0.03881496000132137
AKT3	0.07757107279432779
AKTIP	0.09476324117752434
AL121900.1	0.06062643239113827
AL162231.1	0.2207862592237462
AL592183.1	0.03530033249432895
ALAD	0.06830795503059629
ALAS1	0.01886413011151364
ALCAM	0.08961208192722779
ALDH18A1	0.03370850711306633
ALDH1A1	0.018790443257090724
ALDH1L1	0.04589495155532891
ALDH2	0.048171144934703376
ALDH3A2	0.019496129687814095
ALDH4A1	0.058018917683462845
ALDH5A1	0.07073549704997123
ALDH6A1	0.0353649811040052
ALDH7A1	0.042383238333610344
ALDH9A1	0.038814953367548644
ALDOA	0.012673771472508628
ALDOC	0.6158520742515661
ALG13	0.04087407640308127
ALG2	0.038910817367354945
ALG5	0.03335068339984192
ALG8	0.045919457035050654
ALKBH2	0.07345113902490953
ALKBH3	0.07004626778014925
ALKBH7	0.03890294538803681
ALPL	0.05952866345918618
ALYREF	0.03468415046208239
AMD1	0.04952821438729703
AMER2	0.9872867718056004
AMFR	0.057525929673665564
AMIGO1	0.13428633311674248
AMN1	0.19991141890803674
AMOT	0.11881036332975625
AMOTL2	0.05805459066675697
AMPD2	0.1396336493500922
AMPD3	0.076293462697412
AMPH	0.41757049891540143
AMY2B	0.0008991869956452753
AMZ2	0.07858982909000563
ANAPC11	0.04871101379217562
ANAPC13	0.06211346058800743
ANAPC15	0.08854482898198744
ANAPC16	0.01982505260595099
ANAPC4	0.07530797241806772
ANAPC5	0.03937971924387728
ANAPC7	0.05437297547431746
ANGEL1	0.06897083783366764
ANGEL2	0.08464699748512547
ANGPTL4	0.01977660937475081
ANK2	0.14428229862313463
ANK3	0.1006531109333397
ANKFY1	0.06531825757917024
ANKH	0.0710946720816334
ANKHD1	0.04771554466410614
ANKIB1	0.08461900081200052
ANKLE2	0.03078783880367255
ANKMY2	0.05665794678746889
ANKRD10	0.09283738836974134
ANKRD11	0.041618222175245745
ANKRD12	0.020594817241267466
ANKRD17	0.04431147864864101
ANKRD18B	0.7984628522630232
ANKRD37	0.13294325173170418
ANKRD39	0.07369470000695233
ANKRD40	0.2220872328211153
ANKRD46	0.08639616777394428
ANKRD54	0.11643280590267409
ANKRD65	0.20810647307924982
ANKS1A	0.059959349593495935
ANKS1B	0.4571190674437968
ANLN	0.4893725992317541
ANO10	0.059781512804393463
ANP32A	0.03917810971416208
ANP32B	0.05646499098993363
ANP32E	0.057658689184906506
ANTXR1	0.023493680540422755
ANXA1	0.007066405800437334
ANXA11	0.018912904612995208
ANXA2	0.006607813203923584
ANXA3	0.03167155425219941
ANXA4	0.014016210051624923
ANXA5	0.03335819414450868
ANXA6	0.05096413953130493
ANXA7	0.045112347790938555
AP003419.1	0.06595152161018225
AP1B1	0.044958206327612917
AP1G1	0.04431738197238418
AP1G2	0.09750176208003758
AP1M1	0.043281073738978285
AP1S1	0.18011221150167891
AP1S2	0.0759510012048884
AP2A1	0.05131870053447477
AP2B1	0.06825091101879753
AP2M1	0.0757787973919343
AP2S1	0.06885553869177131
AP3B1	0.06426785056513057
AP3B2	0.4999999999999999
AP3D1	0.03357064655250631
AP3M1	0.029061208984282254
AP3M2	0.10286405808793868
AP3S1	0.09366236472531246
AP3S2	0.03835351089588377
AP4B1	0.08641450630400906
APBB1	0.2373211649960928
APBB2	0.07937062937062939
APC	0.13833240067151653
APCDD1	0.05566053942621543
APEH	0.023581670658493103
APEX1	0.0374350461406089
APH1A	0.042650653113416745
API5	0.05456949027484577
APIP	0.042577059378425916
APLN	0.10449621321062219
APLNR	0.07559288537549408
APLP1	0.7987775647171621
APLP2	0.03501607446073792
APMAP	0.045299184250102535
APOC1	0.003334749572658017
APOC2	0.00403930124426626
APOD	0.13356830186833613
APOE	0.027722631877481564
APOL2	0.08448604323697506
APOLD1	0.07205178278946704
APOO	0.1699648898819024
APP	0.09223266075743583
APPBP2	0.07278909318984585
APPL1	0.030562577821378716
APPL2	0.06693920858819123
APRT	0.013550669261252177
APTX	0.08613232722922609
AQP1	0.01027850483780843
AQP4	0.4140674729471674
ARAF	0.021986249367302178
ARAP1	0.06140376434939689
ARAP2	0.09552504536583697
ARCN1	0.05402755212889705
ARF1	0.046244588644692025
ARF3	0.10023866348448687
ARF4	0.03477688127778694
ARF5	0.07970332650689105
ARF6	0.015094736367800902
ARFGAP2	0.06302130070340703
ARFGAP3	0.032349983238350644
ARFIP2	0.059243096936344726
ARFRP1	0.05166646016602652
ARGLU1	0.04294292472857402
ARHGAP1	0.05313223069671779
ARHGAP21	0.11913730085656093
ARHGAP23	0.1653958944281525
ARHGAP26	0.06512123197903015
ARHGAP32	0.07700427001871134
ARHGAP33	0.2536120504150015
ARHGAP35	0.06017429796652372
ARHGAP5	0.07961221916072464
ARHGDIA	0.043576164962466114
ARHGDIB	0.017454843815915257
ARHGDIG	0.5589576547231271
ARHGEF1	0.024260410778217452
ARHGEF12	0.03734570111321035
ARHGEF17	0.12438965820859679
ARHGEF2	0.15064033316694853
ARHGEF25	0.16988632401143736
ARHGEF3	0.04122523161487653
ARHGEF37	0.12273319306682696
ARHGEF4	0.2854706966255054
ARHGEF6	0.03769250098718455
ARHGEF7	0.07595666284710548
ARHGEF9	0.1218469431380932
ARID1A	0.03574833174451858
ARID1B	0.03431830225340028
ARID4B	0.02789749892857432
ARIH2	0.0454095112285337
ARL1	0.03323564306647914
ARL14EP	0.05257385779054124
ARL16	0.0687197760244337
ARL2	0.10657929966287318
ARL2BP	0.07765195922927329
ARL3	0.12657956735917755
ARL4A	0.037238537925206004
ARL4C	0.023015830136690257
ARL6IP1	0.09767993555868319
ARL6IP4	0.06547837396205022
ARL6IP5	0.06308655939323632
ARL8A	0.12307217766810613
ARL8B	0.09011894076416171
ARMC1	0.08202964785844026
ARMC6	0.0741201149871805
ARMC8	0.04874379419286895
ARMCX1	0.06449490736933614
ARMCX2	0.09578590752882107
ARMCX3	0.059036038417481715
ARMCX6	0.05662532907263607
ARMT1	0.038638787708035666
ARNT	0.02983980735001571
ARNT2	0.5123324396782843
ARPC1A	0.06588954159236338
ARPC1B	0.01244614648157013
ARPC2	0.029131413592046993
ARPC3	0.04952739543686506
ARPC4	0.08399657038224737
ARPC5	0.01132329177527984
ARPC5L	0.07926421404682274
ARPP19	0.11192082771030142
ARPP21	0.348621329849412
ARRB1	0.09596330459799018
ARRB2	0.10190231873965164
ARRDC2	0.10135661936691097
ARRDC3	0.024000269161897143
ARRDC4	0.06460593946316392
ARV1	0.08000282570686823
ARX	0.09037656903765691
ASAH1	0.019471139769274313
ASAP1	0.05056696291756053
ASB1	0.07731615196622972
ASB3	0.1091881858382923
ASB6	0.0799224993945265
ASB8	0.032466095066629286
ASCC1	0.062024885594342105
ASCL1	0.6424418604651164
ASF1A	0.047486894850447124
ASH1L	0.05947193027428863
ASH2L	0.04559701172126573
ASIC1	0.38980509745127434
ASNS	0.14817150063051698
ASNSD1	0.05359444145182296
ASPA	0.21791940554444122
ASPDH	0.16820464898960402
ASPH	0.03936676911594948
ASPHD1	0.8539325842696628
ASPSCR1	0.054209183673469385
ASRGL1	0.3527658164955283
ASS1	0.00443847776651415
ASTN1	0.5999160956509579
ASTN2	0.19101123595505617
ASXL1	0.03605223315669947
ATAD1	0.039006253895252634
ATCAY	0.8132295719844356
ATF2	0.06414748531076493
ATF3	0.016971211411317612
ATF4	0.06710365200664367
ATF7	0.04390537864802043
ATG101	0.05623986060205492
ATG12	0.05643842019163356
ATG13	0.10383889238514789
ATG16L2	0.049594906616752976
ATG3	0.07685725478875852
ATG4B	0.06560910286683252
ATG4C	0.13744845682868922
ATG5	0.05089058524173028
ATG9A	0.044429890823032094
ATIC	0.033817105819360295
ATL1	0.31801039649373153
ATL2	0.03670349081326827
ATL3	0.038380941877136865
ATMIN	0.07689976513372225
ATN1	0.081473309004498
ATOX1	0.11221507890122734
ATP13A2	0.1322943416275569
ATP13A4	0.16143397906924964
ATP1A1	0.03580556797212576
ATP1A2	0.21737609779512324
ATP1A3	0.36313617606602483
ATP1B1	0.10742086953808715
ATP1B2	0.5704341326107523
ATP1B3	0.044974180242330936
ATP2B1	0.08350270419235935
ATP2B2	0.325052527499691
ATP2C1	0.054394750474874805
ATP5F1A	0.02879575108774924
ATP5F1B	0.019959292293846465
ATP5F1C	0.02102156472863435
ATP5F1D	0.01946361566452217
ATP5F1E	0.0234498872032822
ATP5IF1	0.03658683355397762
ATP5MC1	0.06574125485841198
ATP5MC2	0.06209207148419864
ATP5MC3	0.033918056158185085
ATP5MD	0.09744275068517973
ATP5ME	0.11696294651379328
ATP5MF	0.10263661286483725
ATP5MG	0.049553895472704265
ATP5MPL	0.1075298356049338
ATP5PB	0.013491266813892788
ATP5PD	0.05386214381633893
ATP5PF	0.05843262632717505
ATP5PO	0.05634814222858708
ATP6AP1	0.0869168472681647
ATP6AP2	0.08235866478683056
ATP6V0A1	0.0640910559764461
ATP6V0B	0.14217067986323714
ATP6V0C	0.09262086999675517
ATP6V0D1	0.08013151806896823
ATP6V0E1	0.04786790420812376
ATP6V0E2	0.32480124103160746
ATP6V1A	0.06930333536787942
ATP6V1B2	0.10309445068850921
ATP6V1C1	0.06866754792977103
ATP6V1D	0.10247651579846284
ATP6V1E1	0.12142507436623004
ATP6V1F	0.11963247766403805
ATP6V1G1	0.0558054811911793
ATP6V1G2	0.9273861362833944
ATP6V1H	0.0689202494256646
ATP9A	0.16315144342533497
ATPAF1	0.07847472182127133
ATPSCKMT	0.11623448693371005
ATRAID	0.041600738396624475
ATRX	0.03260869565217391
ATXN10	0.044064449821557196
ATXN2	0.09516331658291456
ATXN2L	0.14125125066211527
ATXN7L3	0.12930411054006882
ATXN7L3B	0.06034418535349773
AUH	0.04322106669210952
AUP1	0.06707186590737055
AURKAIP1	0.06297456021287175
AUTS2	0.05004402020295631
AVPI1	0.07145209922213494
AXL	0.047555703358829395
AZGP1	0.0027989701863025654
AZI2	0.05714512480653994
AZIN1	0.04619814793075111
B2M	0.015423253238484133
B3GALNT1	0.060133846303061664
B3GALT2	0.2083446367532961
B3GAT1	0.83855000727908
B3GAT2	0.39501779359430605
B3GAT3	0.14696330871101615
B4GALNT1	0.5616457858769932
B4GALT2	0.09581372986709707
B4GALT3	0.049271943651414796
B4GALT5	0.03242763832558827
B4GALT7	0.057716328552353875
B4GAT1	0.2194772019456206
B9D1	0.09577360355907069
BAALC	0.8229711322993101
BABAM1	0.05670316959402541
BABAM2	0.043338089952962316
BACE1	0.07859121003245714
BAD	0.12894482886064515
BAG1	0.06226999294319387
BAG3	0.06707404401584954
BAG4	0.08724142610651209
BAG5	0.05287665686146078
BAIAP2	0.17485412132298941
BAIAP3	0.25502318392581147
BAK1	0.05069498517254519
BAMBI	0.04555673884747367
BANF1	0.09175889767921819
BAP1	0.15771604532115646
BASP1	0.35740867903327284
BAX	0.035482510721889106
BAZ1B	0.044050399250443996
BAZ2A	0.03392377396293428
BAZ2B	0.05401981631452744
BBIP1	0.11053532376152896
BBOX1	0.02913407834461589
BBS1	0.058148460888923004
BBS2	0.19246468952064447
BBS4	0.057778497759058266
BBX	0.03312093051559118
BCAM	0.01931665404645269
BCAN	0.7461165246463082
BCAP29	0.05349271785800894
BCAP31	0.059954772373055486
BCAR3	0.06170795056391305
BCAS1	0.8240210493731621
BCAS2	0.06297723801905317
BCAS3	0.07640878701050623
BCAT2	0.05231887913452159
BCCIP	0.05423268085333192
BCKDHA	0.04917947921519905
BCKDK	0.0293103978828815
BCL11A	0.17904475263778924
BCL2L1	0.05661843614698591
BCL2L2	0.1409922700741442
BCL6	0.03938848575289651
BCL7B	0.06790728044400914
BCL7C	0.05609511051574013
BCLAF1	0.02724824928654732
BCS1L	0.08206986273055551
BDH1	0.026121577687116867
BDH2	0.05549798305941196
BECN1	0.048513680589152286
BEND6	0.4896104988643055
BEST1	0.27731924727632884
BET1	0.044253599393786314
BET1L	0.04419486285401504
BEX1	0.6468120805369129
BEX2	0.32258337207827886
BEX3	0.15959343118291805
BEX4	0.21407992597629277
BEX5	0.39092468724097384
BFAR	0.02962396249410634
BGN	0.019452002820115694
BHLHE40	0.025229297521747133
BHLHE41	0.12628161988836548
BICD2	0.040656951936237015
BID	0.06243029297353173
BIN1	0.04610937086833594
BIN3	0.07568590350047302
BIRC2	0.03818185433887721
BIVM	0.06234927357214281
BLCAP	0.10117900223422767
BLMH	0.038225671209904145
BLOC1S1	0.12289440167917819
BLOC1S2	0.09703436108544063
BLOC1S6	0.03944773175542407
BLVRA	0.041706972064106236
BLVRB	0.009011596741665536
BLZF1	0.04320348983529544
BMERB1	0.23089485085819034
BMI1	0.08102830379254361
BMP7	0.231988932638076
BMPR1B	0.1706484641638225
BMPR2	0.04175515640185738
BNIP1	0.08286619546673166
BNIP2	0.021037253469685897
BNIP3	0.05494421635811417
BNIP3L	0.042899057554383266
BOD1	0.06404227944358225
BOD1L1	0.03367291613160974
BOK	0.16284438678165308
BOLA2B	0.13054319659707625
BOLA3	0.07179478334361027
BORCS7	0.04545393346168864
BORCS8	0.11532796389733305
BPGM	0.04985362493542277
BPNT2	0.04614662284526125
BPTF	0.04022067983626979
BRD3	0.05147144352681168
BRD3OS	0.19872813990461047
BRD4	0.04139328019727861
BRD7	0.07979387806084709
BRD8	0.05833738454059309
BRD9	0.05981414889450634
BRI3	0.025209246711837385
BRINP1	0.6561264822134387
BRINP2	0.8810353409656545
BRIX1	0.045059753150917536
BRK1	0.07245594624497398
BRMS1	0.053729970980069146
BROX	0.05120319048262808
BRSK1	0.6861625722809475
BRSK2	0.16012474137155538
BRWD1	0.08594145847137236
BSCL2	0.19495048876475818
BSDC1	0.05492802410489667
BSG	0.09178307556436326
BST2	0.04230186426669115
BTBD1	0.056323337679269864
BTBD10	0.08863338669771503
BTBD2	0.04824637212832634
BTBD3	0.12643592421303895
BTBD6	0.08102214368872368
BTD	0.026560539118774606
BTF3	0.028759593796379202
BTF3L4	0.046611341632088514
BTG2	0.010829244814645386
BTG3	0.027569817196307637
BTN2A1	0.05532246058063205
BTNL9	0.048302612732234164
BTRC	0.0947811841797332
BUB3	0.04094375351860382
BUD23	0.04187659490937643
BUD31	0.06602819582416275
BZW1	0.017300201277610564
C10orf90	0.720164609053498
C11orf1	0.04977943259541058
C11orf49	0.18592799605457835
C11orf54	0.009572379628678204
C11orf58	0.021849567390653947
C11orf68	0.1457135337326432
C11orf71	0.08423715008359413
C11orf96	0.021789801992888654
C11orf98	0.11864755907365447
C12orf43	0.07635067988462564
C12orf57	0.06298990546386797
C12orf65	0.05672641323616309
C12orf73	0.08877216992472863
C12orf76	0.36956208065796126
C14orf119	0.052001799370220425
C14orf132	0.44795629694663935
C16orf70	0.06559253389681281
C16orf72	0.04946695095948826
C16orf89	0.059567246499787854
C16orf91	0.0798542148692643
C17orf49	0.07701105223466896
C17orf75	0.05923499609691887
C18orf21	0.06335719460235993
C18orf32	0.07776427703523695
C19orf12	0.03758717507472149
C19orf25	0.08273748723186926
C19orf53	0.09433874623759803
C1D	0.03918381563289118
C1GALT1	0.05211018221754039
C1orf115	0.055095294453740354
C1orf122	0.20820538017442572
C1orf162	0.043395810363836815
