GeneName	expression_specificity
A2M	0.05603545568218868
A4GALT	0.18404456332359945
AAAS	0.06748183181451149
AAGAB	0.055039479795634005
AAK1	0.03161542670692905
AAMDC	0.07439246156389484
AAMP	0.06754261363636363
AAR2	0.062397117052987505
AARS1	0.06042199488491047
AARSD1	0.09424399331525163
AASDHPPT	0.0608862577298438
AATF	0.04679380351528187
ABAT	0.01817299141186528
ABCA6	0.056244198110631805
ABCA8	0.10579952057631245
ABCA9	0.0934950135992747
ABCB7	0.08203525562771621
ABCC5	0.08004123336264135
ABCC9	0.14024712567728295
ABCD3	0.048875291038888574
ABCE1	0.05229554332759273
ABCF2	0.07804610881955258
ABCF3	0.09432193012454906
ABHD10	0.07934324947633456
ABHD11	0.13285598990128927
ABHD12	0.05488408361575143
ABHD14A	0.06852357083941375
ABHD14B	0.026343216826832327
ABHD17A	0.03303197131168241
ABHD18	0.10953346855983773
ABHD2	0.0643035268970431
ABHD4	0.07086418388772239
ABHD5	0.033059838307336276
ABI1	0.03239247222792642
ABI2	0.11255292052455858
ABI3BP	0.10374008252581846
ABITRAM	0.06620920852757844
ABL1	0.05628316686618902
ABLIM1	0.23302896697805464
ABLIM3	0.2593399984965797
ABRA	0.10214421790766487
ABRACL	0.016710614384604673
ABTB1	0.07595831125242888
AC004556.3	0.18575851393188858
AC007325.4	0.2168259751927924
AC011043.1	0.03508771929824562
AC013394.1	0.046507255006424525
AC026464.4	0.07307480864380259
AC138969.1	0.04187962704829167
AC244197.3	0.09907120743034055
ACAA1	0.05158364101503593
ACAA2	0.04803265714635131
ACACB	0.04319896529424444
ACAD10	0.080442868263991
ACAD11	0.05764767537620723
ACAD8	0.10916241923184972
ACAD9	0.08640055296353895
ACADM	0.12426636440055837
ACADS	0.06716886377903326
ACADSB	0.05509129414458245
ACADVL	0.10849006064707897
ACAT1	0.09282602977874432
ACBD3	0.05593650074494872
ACBD5	0.10338562325664713
ACBD6	0.06775644141954304
ACE	0.06843853820598009
ACE2	0.2734083196380169
ACIN1	0.04087433679384908
ACKR1	0.04748858447488585
ACKR3	0.05113192510119863
ACLY	0.045755643477428914
ACO1	0.057410629103765654
ACO2	0.2439439496227378
ACOT1	0.09716840536512668
ACOT11	0.2673674588665448
ACOT13	0.06146176565994571
ACOT2	0.11412353127977136
ACOT7	0.03691040944527913
ACOT8	0.11492323189157838
ACOT9	0.1636206743959642
ACOX1	0.04077876617166779
ACOX2	0.054623360481470574
ACOX3	0.09773412428279683
ACP1	0.04603444951475031
ACP2	0.04995908113354776
ACSF2	0.04446789267410311
ACSL1	0.02697457713766757
ACSL3	0.019610845445336988
ACSL4	0.08136456305753637
ACSS1	0.11066346758362311
ACSS2	0.09826102970192839
ACTA1	0.0360775258777715
ACTA2	0.07797441889597796
ACTB	0.02094213022535616
ACTC1	0.9747632290719217
ACTG1	0.02408105732027806
ACTG2	0.0050831554817242905
ACTL6A	0.04485494489594135
ACTN1	0.10652553238665395
ACTN2	0.26283266513070774
ACTN4	0.045788488053834904
ACTR1A	0.09670114184569464
