GeneName	expression_specificity
A1CF	0.07217090069284066
A2M	0.05221974210792199
A4GALT	0.07435400358273417
AAGAB	0.09544821179749186
AAMDC	0.03601358139298294
AAMP	0.05965909090909092
AAR2	0.055056279752636036
AARS1	0.069693094629156
AARSD1	0.05534094956302566
AASDHPPT	0.07495384074323731
AASS	0.10287152161042037
AATF	0.0531971661015836
ABAT	0.1718056563972796
ABCB1	0.22712466021162353
ABCC2	0.12091239842269236
ABCC4	0.12371984328819853
ABCC5	0.05063214383167086
ABCC6	0.17785527462946815
ABCD3	0.11429890896495988
ABCE1	0.04998529844163483
ABCF3	0.06354319503127515
ABHD10	0.1567822609652371
ABHD12	0.06981975227184117
ABHD14A	0.11198528012181969
ABHD14B	0.09798691866429221
ABHD16A	0.08418177303203377
ABHD17B	0.06846776553203944
ABHD17C	0.07460779804793297
ABHD2	0.0399002493765586
ABHD3	0.04664429170374978
ABHD4	0.0766659299370096
ABHD5	0.03396147026117272
ABHD6	0.15192466357506615
ABI1	0.054848603281642275
ABI2	0.07193749354627749
ABI3BP	0.02844110127674124
ABITRAM	0.056990204808548536
ABL1	0.04475851841263603
ABLIM1	0.04801011108738075
ABRACL	0.06738150961534142
ABRAXAS2	0.06656969860974866
AC007325.2	0.08286664701671649
AC007326.4	0.10231560551296819
AC007906.2	0.1755808205635195
AC011043.1	0.17956656346749228
AC013394.1	0.07082641261086214
AC026464.4	0.05125385884044487
AC026464.6	0.1514617823177175
AC138969.1	0.02440913174116408
AC240274.1	0.07443486948919696
ACAA1	0.14819840648373836
ACAA2	0.15949035059482058
ACACB	0.028713084716533728
ACAD10	0.1252054320560505
ACAD11	0.24107209702777568
ACAD8	0.126821045872296
ACAD9	0.06264040089856575
ACADL	0.1553672316384181
ACADM	0.16882652537247575
ACADS	0.04184975936388365
ACADSB	0.12907103199587888
ACADVL	0.05480196081967439
ACAP2	0.03388455127642775
ACAT1	0.19973313318322083
ACAT2	0.04638245483436882
ACBD3	0.0527998745349516
ACBD4	0.08180451127819548
ACBD5	0.09545256800675589
ACBD6	0.05377977637335927
ACE	0.0717607973421927
ACE2	0.5609032505922782
ACIN1	0.03750821494023798
ACLY	0.08019900609512447
ACMSD	0.4620170268500326
ACO1	0.15017677759694711
ACO2	0.07163597167568347
ACOT1	0.15439642324888225
ACOT11	0.15539305301645337
ACOT13	0.09833882505591313
ACOT2	0.09804699904731662
ACOT4	0.2403846153846154
ACOT7	0.16929101255190523
ACOT8	0.06181130002136686
ACOT9	0.050778829984954414
ACOX1	0.07271611843885892
ACOX2	0.13770320217185097
ACP1	0.0627450350279581
ACP2	0.06508954570542223
ACP3	0.007287536169756726
ACP5	0.1513632923561537
ACP6	0.10276905509563232
ACSF2	0.3569992965531103
ACSF3	0.06929924129278929
ACSL1	0.0657674472687614
ACSL3	0.042931850839791785
ACSL4	0.12841209951937713
ACSM2A	0.41803649524958525
ACSM2B	0.4358488580149458
ACSM3	0.16715772932626202
ACSM5	0.07001102535832414
ACSS1	0.061971541846828945
ACSS2	0.043408487016916165
ACSS3	0.17756753050870697
ACTA2	0.026125382831027347
ACTB	0.035676794951777606
ACTG1	0.03031721590321897
ACTL6A	0.053777702751585596
ACTN1	0.022558348034820836
ACTN4	0.06667627024468543
ACTR1A	0.04360011106097942
ACTR1B	0.040238894285966616
ACTR2	0.05543215712685284
ACTR3	0.0536298057439278
ACTR3C	0.1462225832656377
ACTR6	0.0747556066705003
ACTR8	0.08016114445449313
ACVR1	0.08504515339267883
ACVR1B	0.12386397833283178
ACY1	0.49816192754008315
ACY3	0.4621695533272562
ACYP1	0.03619291666276993
ACYP2	0.020147370799492866
ADA2	0.04205820259138138
ADAL	0.09164655747805105
ADAM10	0.05494114175832002
ADAM9	0.09604711537579466
ADAMTS1	0.0224291231946108
ADAR	0.07216907385348424
ADCY6	0.044279022011166014
ADD1	0.05830437348370599
ADD3	0.110417047446001
ADGRA3	0.04933586337760911
ADGRF1	0.6825649178590354
ADGRF5	0.13364342844177207
ADGRG1	0.158587579371225
ADGRL2	0.06379846838957312
ADGRL4	0.05543975528545519
ADGRV1	0.208396437874841
ADH1B	0.008066024502010662
ADH1C	0.007919949247672168
ADH5	0.11544283802461552
ADH6	0.06826785015011094
ADI1	0.11888643435711063
ADIPOR1	0.05398731604818982
ADIPOR2	0.03413092550790067
ADIRF	0.04601629743867619
ADK	0.05574558421268449
ADM	0.043073038505811144
ADNP	0.05214768895683679
ADO	0.07625688898886517
ADPGK	0.06072769425076561
ADPRS	0.04990331233235606
ADRM1	0.02704917152967358
ADSL	0.042097877565339406
ADSS1	0.00957216311483362
ADSS2	0.06786041175181447
AEBP1	0.039962175718455784
AEBP2	0.07531222062687941
AFAP1L2	0.10233086981239341
AFDN	0.06834426525168724
AFF1	0.07538092648061469
AFF4	0.05545328688138016
AFG3L2	0.0846447037435369
AFM	0.07595539883732014
AFMID	0.13470885505520325
AFTPH	0.11891471772769023
AGA	0.07361549935045147
AGBL5	0.1174178509923983
AGFG1	0.058150317373902936
AGGF1	0.06489260023139998
AGK	0.08586272901285207
AGL	0.02878372529216563
AGMAT	0.5345665047574689
AGPAT1	0.08933889219773675
AGPAT2	0.021711113314166745
AGPAT3	0.144732443737747
AGPS	0.08076871588153922
AGRN	0.14414319279812035
AGT	0.016037591494653173
AGTR1	0.05219660722053067
AGTRAP	0.06219271002946807
AGXT2	0.612732095490716
AHCY	0.1411707030694414
AHCYL1	0.0977916268912607
AHCYL2	0.0663794107371608
AHNAK	0.024979384387323247
AHSA1	0.05832635024747253
AIDA	0.05641310276850052
AIF1	0.04734289227313654
AIF1L	0.4136728655959426
AIFM1	0.1631619719997125
AIG1	0.13852108372377264
AIMP1	0.058321836197165425
AIMP2	0.04496291718170581
AIP	0.04983440442695625
AJUBA	0.08190147145016502
AK1	0.008101935856298663
AK2	0.13155670605962552
AK3	0.0838265930359446
AK4	0.36916082134091555
AK6	0.0687979297503708
AKAP1	0.03886702138180667
AKAP10	0.07184906212292955
AKAP11	0.06598422332104052
AKAP12	0.04717860044271861
AKAP13	0.018139066174000674
AKAP9	0.03297417023331724
AKIP1	0.05172958458379403
AKIRIN1	0.06898436997491479
AKIRIN2	0.034796384570773865
AKR1A1	0.2038904096926202
AKR1B1	0.0829632281376903
AKR1C1	0.03334621667141563
AKR1C2	0.0167559391651865
AKR1C3	0.17091907073375603
AKR7A2	0.12501969848190367
AKR7A3	0.24929291040415127
AKT1	0.032954414973016426
AKT1S1	0.036728340008756424
AKT2	0.04360489123552697
AKTIP	0.06645966441750761
AL121900.1	0.09631779984721162
AL135905.2	0.028290610954709337
AL163636.1	0.03536212172730364
AL592183.1	0.0929741151611199
ALAD	0.08446186331485893
ALAS1	0.027446459576661728
ALB	0.002159476771590273
ALCAM	0.044505329279294334
ALDH18A1	0.050562760669599485
ALDH1A1	0.10132338695222232
ALDH1A2	0.15192437542201215
ALDH1B1	0.12636252383527338
ALDH1L1	0.14864864864864863
ALDH2	0.0813689396853307
ALDH3A2	0.14291654389795924
ALDH3B1	0.13070625780491188
ALDH4A1	0.2642497978128626
ALDH5A1	0.09061966903176037
ALDH6A1	0.35847230846332545
ALDH7A1	0.16879967931482875
ALDH8A1	0.2126615088559871
ALDH9A1	0.1225554181715948
ALDOA	0.009657608073548481
ALDOB	0.3898951936092155
ALG1	0.07105263157894737
ALG11	0.08287920072661219
ALG13	0.05533721113032542
ALG2	0.08238524911730088
ALG3	0.036171923022365104
ALG5	0.07942474890598192
ALG8	0.07973611144070811
ALKAL2	0.09059682267067412
ALKBH3	0.05156780450072337
ALKBH5	0.03340143003064351
ALKBH7	0.03788918785349513
ALOX5AP	0.01388888888888889
ALPL	0.1863328712386855
ALYREF	0.030208776208910465
AMACR	0.2744045713663019
AMBP	0.0009811616954474099
AMD1	0.045076240060348986
AMFR	0.0983556792309638
AMN	0.4258600237247924
AMN1	0.07247543887904656
AMOT	0.07971792120190098
AMOTL2	0.07430987605344894
AMT	0.13118709239642629
AMY2B	0.0005382457368299184
AMZ2	0.07741294313025514
ANAPC10	0.06696080975862963
ANAPC11	0.03256679207819741
ANAPC13	0.12142179714945968
ANAPC15	0.055150779194495035
ANAPC16	0.031563570596316703
ANAPC4	0.04788099480901836
ANAPC5	0.045882792146535914
ANAPC7	0.07172605275335495
ANG	0.005578800557880055
ANGPT1	0.06896123260437376
ANGPTL1	0.03881356182815572
ANGPTL3	0.0718030699199328
ANK2	0.18154835518179568
ANK3	0.17085955129965497
ANKFY1	0.05090319383756026
ANKHD1	0.06485779589528501
ANKIB1	0.10940638488824309
ANKLE2	0.03326186156468195
ANKMY2	0.06163465832961143
ANKRD10	0.04568769112684121
ANKRD11	0.031114575626255154
ANKRD12	0.021081308987124178
ANKRD13A	0.06202934645974554
ANKRD17	0.055318788631424455
ANKRD28	0.026183777920889408
ANKRD40	0.03564610229229804
ANKRD42	0.11867004026941305
ANKRD46	0.09323942858772205
ANO10	0.10639685909829551
ANO6	0.06253238901364656
ANP32A	0.05803305797896591
ANP32B	0.02799633013341196
ANP32E	0.047231053906785114
ANPEP	0.14714114825487182
ANTXR1	0.02206363042057094
ANTXR2	0.030166888164935846
ANXA1	0.011808033145356197
ANXA11	0.05799122407825683
ANXA2	0.025146796685342022
ANXA3	0.04381231671554251
ANXA4	0.09053949350117961
ANXA5	0.04708752425288429
ANXA6	0.033538567844313465
ANXA7	0.08401723652584396
ANXA9	0.14369693011103854
AOC1	0.17197933728108858
AOC3	0.023331815489262935
AOX1	0.08301670255297812
AP003419.1	0.04423577668975639
AP1AR	0.11140610297082942
AP1B1	0.04757713096805639
AP1G1	0.09489133551734026
AP1M1	0.07090729101917718
AP1M2	0.1893234016139044
AP1S1	0.08447740893441577
AP1S2	0.028185782316828275
AP2A1	0.02714189050489999
AP2B1	0.06945889174479394
AP2M1	0.05364646220719632
AP2S1	0.03940288052303677
AP3B1	0.0881138403675772
AP3D1	0.05062816426026626
AP3M1	0.05612802127356475
AP3M2	0.05771558010363981
AP3S1	0.041455295156528835
AP3S2	0.10605326876513317
AP5M1	0.10989575969460547
APBB1	0.04283357612124602
APBB2	0.0576923076923077
APEH	0.104139189887842
APEX1	0.05594985235455626
APH1A	0.06264061766562536
API5	0.07547498514070218
APIP	0.06883716186931137
APLP2	0.10458327965493426
APMAP	0.04055963177323064
APOC2	0.0015713749470534616
APOC3	0.0009937101423953872
APOD	0.003679662281130784
APOE	0.13481990924560408
APOH	0.0017623043648798702
APOL1	0.03694976973331906
APOL2	0.04497639360556614
APOLD1	0.03071059594305153
APOM	0.26477681848369394
APOO	0.12368337057133741
APOOL	0.0815553775577077
APP	0.11041792233213708
APPBP2	0.06486647080183543
APPL1	0.04669282722710637
APPL2	0.04844900761453001
APRT	0.03277371170163318
APTX	0.06515137572467102
AQP1	0.23067082316266213
AQP2	0.9935798664612223
AQP3	0.08440763181642387
AQP6	0.8248587570621468
AQP7	0.05805074242581737
ARAF	0.042232579719925764
ARAP1	0.04217411572752171
ARCN1	0.056046375251151206
AREL1	0.09819747107882701
ARF1	0.039930956183021504
ARF3	0.09429043510189095
ARF4	0.056512432076403774
ARF5	0.03590800907732331
ARF6	0.033456244039081096
ARFGAP2	0.044908879635105016
ARFGAP3	0.062353335568219904
ARFGEF1	0.08564130815846145
ARFGEF2	0.07943787750298542
ARFIP1	0.07152231761206967
ARFIP2	0.055721654111457096
ARFRP1	0.037913517531904355
ARG2	0.24731750673038522
ARHGAP1	0.03256491558831091
ARHGAP12	0.072580244254064
ARHGAP18	0.11019996378404946
ARHGAP21	0.03069110794899696
ARHGAP24	0.3755786093305068
ARHGAP29	0.09163548093456052
ARHGAP35	0.06605339604371281
ARHGAP5	0.07710192396196305
ARHGDIA	0.04429405894866819
ARHGDIB	0.02728528800492296
ARHGEF10L	0.05253814413204108
ARHGEF12	0.11137611747922026
ARHGEF17	0.06915872888817737
ARHGEF2	0.023020703733228037
ARHGEF28	0.26234696427084203
ARHGEF3	0.08411277095615939
ARHGEF7	0.0358169629685538
ARHGEF9	0.06511658499687571
ARID1A	0.03244848573733226
ARID1B	0.029019152640742885
ARID4B	0.025714216403729374
ARID5B	0.04494413486040716
ARIH2	0.03405713342140027
ARL1	0.09027837797490432
ARL14EP	0.05901839519712371
ARL15	0.10518068749387914
ARL16	0.06799258262734975
ARL2	0.061753808151502686
ARL2BP	0.06068714398024911
ARL3	0.09895052473763119
ARL4D	0.08461150089660337
ARL5A	0.06362269124828902
ARL6IP1	0.06643297837498119
ARL6IP4	0.04847100410177744
ARL6IP5	0.042717371892130186
ARL8A	0.04881246144355337
ARL8B	0.07279878398065916
ARMC1	0.06445186617448878
ARMC10	0.06615138221572314
ARMC8	0.05686775989168044
ARMCX1	0.04828307273004945
ARMCX2	0.07823734431743401
ARMCX3	0.06555643669045731
ARMCX5	0.066379840196681
ARMCX6	0.05414176200804677
ARMT1	0.13362580749029002
ARNT	0.04659197989739295
ARNT2	0.1093833780160858
ARPC1A	0.047991188503094515
ARPC1B	0.01890856869315462
ARPC2	0.038824466903840206
ARPC3	0.06585480868214968
ARPC4	0.07302470002954897
ARPC5	0.03450065462780576
ARPC5L	0.036120401337792644
ARPIN-AP3S2	0.05839829907866761
ARPP19	0.05074224021592443
ARRB2	0.027714019740909448
ARRDC3	0.05910346658093363
ARRDC4	0.06424900057110224
ARSB	0.18486908722696369
ARSD	0.1596574274222234
ARSL	0.1298419103789273
ARV1	0.0667573247620225
AS3MT	0.10952236081533313
ASAH1	0.09955169205343259
ASAP2	0.17162719965240064
ASB13	0.14405843497080503
ASB8	0.04102533831146791
ASB9	0.24207492795389052
ASCC1	0.057486479331341475
ASCC2	0.039347246138884184
ASF1A	0.03885291396854765
ASH1L	0.035631889259164315
ASH2L	0.060023184921214216
ASL	0.08668946439851016
ASMTL	0.05014413410527845
ASNSD1	0.06239047573590078
ASPA	0.2729351243212346
ASPDH	0.22777712884008877
ASPG	0.10729253981559095
ASPH	0.03659879316248429
ASPN	0.04111198120595145
ASRGL1	0.1919660333042248
ASS1	0.30172255208557563
ASXL1	0.033497350492051485
ATAD1	0.05383507769014206
ATE1	0.08428917671395712
ATF1	0.05726384150421798
ATF2	0.06064363107110129
ATF3	0.07673486386589619
ATF4	0.03218793063733315
ATF5	0.010808367641712438
ATF6	0.05765965009280834
ATF7	0.04993160708990558
ATF7IP	0.031111530121617804
ATG101	0.044222796370846605
ATG13	0.06212770939745635
ATG3	0.06433122332419225
ATG4A	0.07498936321089207
ATG4C	0.06997375984005995
ATG5	0.057251908396946556
ATG7	0.06091144868469803
ATG9A	0.04465315660606241
ATIC	0.0658225809698263
ATL2	0.06102769774277152
ATL3	0.041689643763096945
ATMIN	0.07462686567164178
ATN1	0.03175062777381172
ATOX1	0.097431842403823
ATP10D	0.09767308244757253
ATP11A	0.07361323106053287
ATP11B	0.052917830368954866
ATP11C	0.07097032878909383
ATP13A3	0.07896057061009037
ATP1A1	0.2584556843058374
ATP1B1	0.41739076174282014
ATP1B3	0.04860981756730979
ATP2A2	0.007589943031299691
ATP2B1	0.0338971373454132
ATP2C1	0.07718874115006044
ATP5F1A	0.09991646838238501
ATP5F1B	0.09020303191949054
ATP5F1C	0.10251858213391313
ATP5F1D	0.023208801185975417
ATP5F1E	0.017271946067888344
ATP5IF1	0.045497558753914376
ATP5MC1	0.0699741973413463
ATP5MC2	0.05112777121082169
ATP5MC3	0.08656928173447109
ATP5MD	0.07216471494258081
ATP5ME	0.04458105912740618
ATP5MF	0.0595904478980263
ATP5MG	0.059400958278501725
ATP5MPL	0.05126896979353487
ATP5PB	0.04315063909522852
ATP5PD	0.08054217069547048
ATP5PF	0.07711720298504231
ATP5PO	0.07517462610163961
ATP6AP1	0.078508693314214
ATP6AP2	0.12331460116364505
ATP6V0A1	0.1007145165344153
ATP6V0A4	0.8216346567909739
ATP6V0B	0.08250799585914925
ATP6V0C	0.09133248076959784
ATP6V0D1	0.07284683460815293
ATP6V0D2	0.8290699799013337
ATP6V0E1	0.1104536120527131
ATP6V0E2	0.0909443474888501
ATP6V1A	0.21486351801345893
ATP6V1B1	0.5846956172901414
ATP6V1B2	0.17683730482805463
ATP6V1C1	0.1376012491460916
ATP6V1C2	0.1132145508537491
ATP6V1D	0.13408721522823064
ATP6V1E1	0.12222043511535381
ATP6V1F	0.0890394394827764
ATP6V1G1	0.074904092953937
ATP6V1G3	0.9868766404199476
ATP6V1H	0.1353790613718412
ATP9B	0.06372405729318913
ATPAF1	0.08870658310646619
ATPAF2	0.08226230670223285
ATRAID	0.08781645569620253
ATRN	0.08358396866475482
ATRX	0.03185473737119879
ATXN10	0.06494347287750166
ATXN1L	0.10532046708970073
ATXN2	0.03768844221105527
ATXN2L	0.030369018892354778
ATXN7L3	0.04599407958807817
ATXN7L3B	0.05860587548734759
AUH	0.18004007251216483
AUP1	0.0467586722325669
AURKAIP1	0.04152611845022913
AUTS2	0.05050739076039109
AVL9	0.06642486609590487
AZGP1	0.05081685871575991
AZI2	0.0523830310726616
AZIN1	0.0408118167818743
B2M	0.0424182526525475
B3GALNT1	0.09408037244188677
B3GAT3	0.03434648113695658
B3GNT2	0.08760808932178046
B4GALT1	0.05014212891648539
B4GALT3	0.04497304923887525
B4GALT4	0.09495291753674011
B4GALT5	0.06319232083960792
B4GAT1	0.07082618889316583
B9D1	0.11369253583786455
BABAM1	0.03910129876661176
BABAM2	0.10168595740182865
BACE1	0.030211685934554953
BACH1	0.043268190668493536
BAD	0.045171755333347025
BAG1	0.0797855834277689
BAG3	0.03568530099775624
BAG5	0.056806678655218
BAG6	0.03270526632044293
BAIAP2	0.07611061409248109
BAMBI	0.0588687729262809
BANF1	0.03898319945504455
BAP1	0.05211143424879261
BAX	0.039185033579825355
BAZ1B	0.03524031940035519
BAZ2A	0.04166476936387231
BAZ2B	0.04696195086639823
BBIP1	0.10090805362746032
BBOX1	0.6649675735339402
BBS1	0.13932601519920168
BBS2	0.09038037784922155
BBS4	0.08423780981694477
BBX	0.05085497205149827
BCAM	0.16751402389083772
BCAP29	0.043008145157839184
BCAP31	0.06466263033791957
BCAR1	0.0806750055510325
BCAR3	0.08314884864120488
BCAS2	0.06486800959930188
BCAS3	0.07067812798471826
BCAT2	0.052023292246755934
BCCIP	0.07368715604887602
BCKDHA	0.06557263895359874
BCKDHB	0.10565135054320743
BCKDK	0.04338862048804506
BCL2L1	0.08786166281633107
BCL2L11	0.054093222338310105
BCL2L13	0.06454785762586833
BCL2L2	0.06507335541883578
BCL6	0.012681171022883755
BCL7B	0.04766568723473718
BCL7C	0.053792699263228404
BCLAF1	0.03466493252430577
BCR	0.10315152467777428
BCS1L	0.05070093742020985
BDH2	0.4021034420739802
BECN1	0.06437133795624361
BEND7	0.18190757128810228
BET1	0.07365496337458954
BET1L	0.060210432420378296
BEX2	0.130859292446849
BEX3	0.08486798974909113
BEX4	0.10262377591004998
BEX5	0.10698382712955645
BFAR	0.054444039178357585
BGN	0.039753438077791026
BHLHE40	0.041284305035586215
BHMT	0.40405664781864403
BHMT2	0.394528011370366
BICC1	0.180669614655717
BICDL1	0.3727103062141426
BIN1	0.015522344039216485
BIRC2	0.05727278150831583
BIVM	0.09470031174636785
BLCAP	0.05093017115830652
BLMH	0.05425579139470266
BLNK	0.13643331630045988
BLOC1S1	0.06828476366868941
BLOC1S2	0.050659497605645636
BLOC1S5	0.11732469796985927
BLOC1S6	0.05303528380451458
BLVRA	0.06022720091774782
BLVRB	0.014230433911923019
BLZF1	0.07130673079611868
BMERB1	0.03866022329611732
BMI1	0.05835833514144415
BMPR2	0.06263273460278607
BNIP1	0.06397757738240312
BNIP2	0.033834915997078156
