GeneName	expression_specificity
A1BG	0.9830842752029127
A1CF	0.8314087759815243
A2M	0.2239268529499228
AAAS	0.05883031491521515
AADAC	0.9472683610166098
AADAT	0.49320102903344354
AAGAB	0.06305155596841616
AAMDC	0.044177677174866786
AAMP	0.08032670454545456
AAR2	0.07841348934466344
AARS1	0.10390025575447569
AARSD1	0.06684748363058546
AASDHPPT	0.07385481082031595
AASS	0.32785671995263466
AATF	0.05541371468914958
ABAT	0.4454316192865703
ABCA1	0.1964832709979862
ABCA5	0.13118639911725036
ABCA6	0.4253808769726425
ABCA8	0.12688412254169856
ABCB1	0.18870891649630442
ABCB10	0.06506552212227751
ABCB11	0.9160997732426305
ABCB4	0.8465996289254877
ABCB6	0.12799598443970386
ABCB7	0.07226915376727382
ABCC2	0.7954075074617113
ABCC3	0.3445755455779472
ABCC6	0.47288578901482126
ABCC9	0.2239989427778512
ABCD3	0.2436067655717832
ABCE1	0.08337883815684466
ABCF3	0.06685273643915407
ABCG2	0.24306258861656882
ABCG5	0.9980237154150198
ABCG8	0.9637305699481866
ABHD10	0.10917631127943636
ABHD12	0.053084605464415326
ABHD13	0.07942771314375907
ABHD14A	0.052978871898991184
ABHD14B	0.18317152634732015
ABHD15	0.21456064204405864
ABHD17B	0.0708085438408271
ABHD2	0.24510153188457426
ABHD3	0.1264221147556804
ABHD4	0.05553099790032047
ABHD5	0.0652180446608361
ABHD6	0.27696378275342115
ABI1	0.04948297904756857
ABITRAM	0.06118066104447123
ABLIM1	0.01966044768477749
ABLIM3	0.12048839681704446
ABRACL	0.0818011526730245
ABRAXAS2	0.07414673747589891
AC005702.1	0.14097507762020645
AC011043.1	0.1267875571281144
AC013394.1	0.05615970415870131
AC026464.4	0.03061699158455618
AC026464.6	0.16202888340965127
AC068580.4	0.15508885298869146
AC068631.2	0.15670052922927186
AC132217.2	0.9027611044417767
AC138969.1	0.024161323297091346
AC233755.1	0.024413240152294857
ACAA1	0.4595823583947728
ACAA2	0.4267273552800078
ACACB	0.1037292519939642
