GeneName	expression_specificity
A2M	0.24219928415063646
AAAS	0.04542046372130581
AAGAB	0.05434277751973989
AAMDC	0.027391685847628973
AAMP	0.047301136363636365
AAR2	0.06406548916670375
AARS1	0.045716112531969305
AARSD1	0.03205391633105942
AASDHPPT	0.03385012162597814
AATF	0.04999548480843273
ABCA1	0.06244817140246073
ABCA3	0.5658387276901121
ABCA8	0.06852495638750486
ABCC5	0.044871600521480766
ABCD3	0.044834420519925346
ABCE1	0.03885411853656489
ABCF3	0.047657396273456366
ABCG1	0.15993327047218395
ABHD10	0.03205467278843916
ABHD12	0.05866298773355728
ABHD14A	0.039337605481885675
ABHD14B	0.041115114112906526
ABHD16A	0.10355103054382914
ABHD17A	0.03545633617859487
ABHD17C	0.089938167509837
ABHD2	0.08069112931955824
ABHD3	0.05050450894819803
ABHD4	0.054287766604044635
ABHD5	0.03606527815345776
ABI1	0.055842237399063334
ABI2	0.055415963927993674
ABI3	0.09239568820121727
ABI3BP	0.16015603751738716
ABITRAM	0.05321879419621812
ABL1	0.05521110654492828
ABLIM1	0.04783457137590952
ABLIM3	0.036082086747350216
ABRACL	0.042046061999973044
ABTB1	0.05546723193782016
AC005154.5	0.09456090128359036
AC007325.2	0.1266579645458756
AC013394.1	0.08574383402801719
AC026464.4	0.04364189960671544
AC136616.2	0.07460545193687232
AC138969.1	0.04497723259920081
AC233755.1	0.04283832705968721
AC240274.1	0.06394404895716249
AC244197.3	0.089609350540926
ACAA1	0.024327960424658835
ACAA2	0.020621570978547665
ACADL	0.07925298179535467
ACADM	0.012894489602629107
ACADSB	0.01817297235418694
ACADVL	0.027400980409837194
ACAP2	0.05164926747960346
ACAT1	0.014016922948621727
ACAT2	0.03470094769089816
ACBD3	0.058550355919946326
ACBD5	0.03761803618496814
ACBD6	0.04527224112785611
ACE	0.3255813953488373
ACIN1	0.04616395684952367
ACKR1	0.06940639269406393
ACKR3	0.023317104733648442
ACLY	0.05960052452963986
ACO1	0.034177002076435266
ACO2	0.017483509285857953
ACOT2	0.023023181962527787
ACOT7	0.04933218185474807
ACOT9	0.06803699442428532
ACOX1	0.024539434510384154
ACP1	0.03759881740471754
ACP2	0.0610928192147384
ACP5	0.3561128270163022
ACSF2	0.0447191237061602
ACSL1	0.01900549916500101
ACSL3	0.03639490235801279
ACSL4	0.10793258364775234
ACSL5	0.07718157181571815
ACSS1	0.0354123096267594
ACSS2	0.04577622267238431
ACTA2	0.040548771268990355
ACTB	0.07147619057349258
ACTG1	0.06322516284089466
ACTG2	0.007942430440194204
ACTL6A	0.04581956736682181
ACTN1	0.06352970664507236
ACTN4	0.07758319099458769
ACTR1A	0.05934821087703468
ACTR1B	0.04769054137596044
ACTR2	0.07505358657712903
ACTR3	0.06612541539459107
ACTR6	0.041267800967425494
ACVR1	0.05637462819590453
ACVR1B	0.03863978332831779
ACVRL1	0.16521561765305792
ACYP1	0.04096252583538301
ADA2	0.1818106552966014
ADAM10	0.06409799871804002
ADAM15	0.06963625403737325
