GeneName	expression_specificity
A2M	0.015012056221762823
AAAS	0.05493713231053179
AAMDC	0.03387718249678903
AAMP	0.08277698863636365
AAR2	0.07541041953997421
AARS1	0.04411764705882353
AARSD1	0.07123092518013205
AASDHPPT	0.045939450778113185
AASS	0.09843102427471877
AATF	0.072653537036885
ABAT	0.013533078710963507
ABCA10	0.21870967741935488
ABCA6	0.1627259323977503
ABCA8	0.19390303593167582
ABCA9	0.23288757932910245
ABCB6	0.09882042916300665
ABCC5	0.05427038171179092
ABCC9	0.05401744416545527
ABCD3	0.019434662972156482
ABCE1	0.06111647834670477
ABCF3	0.06619082815757829
ABHD10	0.06283985358525698
ABHD12	0.05506403143088505
ABHD14A	0.05646849819173911
ABHD14B	0.0630267617539166
ABHD2	0.043640897755610975
ABHD4	0.06589125870261907
ABI1	0.05286133504680017
ABI2	0.09603139090627474
ABI3BP	0.20841266017546453
ABITRAM	0.05657115918495627
ABL1	0.09889756463630356
ABLIM1	0.20503038299839382
ABO	0.19993529602070537
ABRAXAS1	0.14070112893642306
ABRAXAS2	0.05628657443425903
ABTB1	0.05264087617028793
AC011043.1	0.060445230723868495
AC013394.1	0.07558995894575198
AC026464.4	0.05700511692815156
AC055839.2	0.14919318216221125
AC136616.2	0.14602263669695525
AC138969.1	0.10073413251556546
AC233755.1	0.013703658387373056
AC240274.1	0.14787061321343825
AC244197.3	0.13691863498799875
ACAA1	0.011153219678926688
ACAA2	0.014675473825224104
ACACB	0.03699073076093985
ACADL	0.09573132454488387
ACADM	0.02036872915105571
ACADSB	0.018316066624692345
ACADVL	0.017439880678967228
ACAP2	0.06250548293709973
ACAT1	0.020752744045213406
ACAT2	0.029719128467947435
ACBD3	0.060641440059944415
ACBD4	0.06436090225563909
ACBD6	0.07504861448711718
ACD	0.10395486697786306
ACIN1	0.06604010493751303
ACKR3	0.015150200029984776
ACLY	0.031404242386722424
ACO1	0.025085582804871207
ACO2	0.012893443426148933
ACOT9	0.04347729887600672
ACOX2	0.03663363098158506
ACP1	0.047560897229899105
ACP5	0.04152263290310704
ACSF2	0.04848758918701639
ACSL1	0.0032177031814163096
ACSL4	0.04123578195773102
ACSL5	0.036856368563685626
ACSM3	0.10331958357886467
ACSS1	0.038491640898651515
ACSS2	0.025650469600905005
ACSS3	0.11449334978746743
ACTA2	0.04194834534922397
ACTB	0.04209397212297363
ACTG1	0.13305456626962572
ACTG2	0.0035370290226998187
ACTL6A	0.0769286420527166
ACTN1	0.03210226451109118
ACTN4	0.043318996563291
ACTR1A	0.031886648387880474
ACTR1B	0.06275942771350349
ACTR2	0.02842840768538365
ACTR3	0.03134033988058249
ACTR6	0.06054865879646855
ACTR8	0.06351229137548302
ACVR1	0.0682938353001815
ACYP1	0.03563178617187426
ADA2	0.04007120089415077
ADAM10	0.043037227710684016
ADAM15	0.03616766682561246
ADAM33	0.09828349944629013
ADAM9	0.037978515535414516
ADAMTS1	0.24400402534206353
ADAMTS5	0.2012283820914822
ADAR	0.07663601846337106
ADCK2	0.05976411684854469
ADCY3	0.09285265530876974
ADCY5	0.06346153846153846
ADCY6	0.054674966309439764
ADCY7	0.1270992116354742
ADCY9	0.06947316185592588
ADD1	0.10189495770769132
ADD3	0.04988657255593424
ADGRA2	0.09780609733986063
ADGRE5	0.017846313783245256
ADGRL2	0.10821889731502357
ADH1B	0.006929283417769279
ADH5	0.07792720651148505
ADI1	0.026603957338654127
ADIPOR1	0.03657947408378771
ADIPOR2	0.030880361173814895
ADIRF	0.07896546693620657
ADM	0.027663287661059747
ADNP	0.08230538859452553
ADO	0.07085817118434373
ADPRS	0.06054935229659201
ADRA2A	0.16267339218158888
ADRM1	0.0215749344343825
ADSL	0.041972586263061606
ADSS2	0.04475899498523933
AEBP1	0.14258109608189778
AEBP2	0.09508845122314633
AFAP1L2	0.1073052870949403
AFDN	0.03675402709090736
AFF1	0.0661881305683446
AFF4	0.06595061690830809
AFG3L2	0.03253488612789856
AFMID	0.05134065085138571
AFTPH	0.0409100544054264
AGA	0.04907699956696764
AGAP3	0.060426017217276126
AGBL5	0.07514742463513492
AGFG1	0.046843311217866265
AGFG2	0.08313196923008713
AGGF1	0.05332260174053021
AGK	0.05687722176647526
AGPAT1	0.10879491760968829
AGTRAP	0.033121788099984915
AHCTF1	0.08761492698756083
AHCY	0.08561027202217573
AHCYL1	0.04022770156153721
AHCYL2	0.02655176429486432
AHDC1	0.09174579134385742
AHNAK	0.060547332484109144
AHSA1	0.055975210547574414
AIDA	0.058279185048374586
AIF1	0.0209121978139008
AIG1	0.04712432946289129
AIMP1	0.061216220127545844
AIP	0.09390670584204568
AJUBA	0.05645186167751488
AK1	0.02278669459583999
AK2	0.03564201507782807
