GeneName	expression_specificity
A2M	0.07975378794664449
AAAS	0.07526819702387819
AAGAB	0.055039479795634005
AAMDC	0.01655709144550275
AAMP	0.058487215909090916
AAR2	0.05839302398006853
AARS1	0.05690537084398977
AARSD1	0.03999890413961261
AASDHPPT	0.061325869699012346
AATF	0.05713769692392312
ABCA1	0.11524987730372833
ABCB10	0.03869686315693347
ABCC5	0.052148076281720884
ABCD3	0.027708826415747855
ABCE1	0.06027638929726553
ABCF1	0.03892637354489509
ABCF2	0.05288650795009156
ABCF3	0.054276479089214194
ABCG1	0.07452672807717414
ABCG2	0.07899534130038487
ABHD10	0.034276283773776534
ABHD12	0.05326455327954894
ABHD14B	0.01895726818379523
ABHD17A	0.03515329057023082
ABHD2	0.019771998574991095
ABHD3	0.06369358453339624
ABHD4	0.07417946734445793
ABHD5	0.030655486430439093
ABI1	0.056239691046031756
ABI2	0.0667745155405638
ABI3BP	0.12099124231662872
ABITRAM	0.05238070294903358
ABL1	0.07102399628352424
ABLIM1	0.027647504556718345
ABLIM3	0.11082355215257567
ABRACL	0.03921603859612871
ABRAXAS2	0.055745357372391155
ABT1	0.0585136440693414
ABTB1	0.04310192545486663
AC011043.1	0.06132979507592512
AC013394.1	0.06944749130339403
AC026464.4	0.04973146699369898
AC104389.6	0.9373054404103293
AC138969.1	0.026639407737818668
AC240274.1	0.07293618084176347
ACAA1	0.01198971115484619
ACAA2	0.012482586931799813
ACADM	0.009642339570107605
ACADVL	0.03564355175263375
ACAP2	0.05099131502763399
ACAT1	0.00792260862313402
ACAT2	0.02027085063131675
ACBD3	0.08285920904742404
ACBD5	0.034291271080175045
ACBD6	0.08568303354399612
ACE	0.0770764119601329
ACIN1	0.05962844426396807
ACKR1	0.022347569164652165
ACKR2	0.3521901826986572
ACKR3	0.14593903622633772
ACLY	0.07158816544070057
ACO1	0.02710589819855211
ACO2	0.0157300009799017
ACOT7	0.03691040944527913
ACOT9	0.05907602442694043
ACOX1	0.031215604193356318
ACP1	0.0495693810656212
ACP2	0.08193289305901832
ACP3	0.0027233699181097803
ACP5	0.027204483626173576
ACSF2	0.03868957893679028
ACSL1	0.009021597704905541
ACSL3	0.049468799321570785
ACSL4	0.05922454589902307
ACSS1	0.227870514120017
ACSS2	0.03393754439504354
ACTA2	0.09995291556335016
ACTB	0.058628930897422916
ACTG1	0.06529208486838473
ACTG2	0.020417341184925903
ACTL6A	0.05667157016422697
ACTN1	0.09264347205753343
ACTN4	0.08818142530817195
ACTR1A	0.058957762121264704
ACTR1B	0.034111984456416146
ACTR2	0.07097388342410131
ACTR3	0.06848944965282466
ACTR6	0.05750431282346175
ACTR8	0.06782866069226341
ACVR1	0.056696768928452566
ACVR1B	0.04008426120975023
ACVRL1	0.26988438127341624
ACYP1	0.04292648255351782
ADA2	0.05033737632984228
ADAM10	0.08851628394396004
ADAM12	0.771929282314397
ADAM15	0.10553401290160055
ADAM17	0.1142608102474704
ADAM19	0.13894290259855052
ADAM33	0.08790143964562568
ADAM9	0.13044794466511941
ADAMTS1	0.19022069532868882
ADAMTS15	0.23969364599092285
ADAMTS18	0.8224647324993346
ADAMTS5	0.3176014223371586
ADAMTS9	0.2042087180588362
ADAMTSL3	0.14544776467297563
ADAMTSL4	0.32937110540922654
ADAP2	0.21281958948505578
ADAR	0.06491028886241812
ADARB1	0.08305573062032956
ADCK2	0.059235230858734556
ADCY3	0.23171588011382538
ADCY6	0.055830071231470185
ADCY7	0.09499683343888538
ADD1	0.05193102091666121
ADD3	0.039350184386792955
ADGRA2	0.20182868391742428
ADGRD1	0.20851926977687624
ADGRE5	0.05665771463224465
ADGRF5	0.11481082307561405
ADGRG1	0.1476555311608924
ADGRG6	0.23455186491000185
ADGRL2	0.1454843578229518
ADGRL4	0.0974526948377142
ADH5	0.04008249051139729
ADI1	0.024525523171571775
ADIPOR1	0.07668652847754234
ADIPOR2	0.035214446952595936
ADIRF	0.008878144342788068
ADK	0.04141990335355887
ADM	0.19085811889643906
ADNP	0.05298540283566148
ADPGK	0.08564162009723354
