hgnc_id,effect_allele_frequency
HGNC:28706,0.00747553
HGNC:24517,0.000985886
HGNC:24023,0.00133815
HGNC:25284,0.000535959
HGNC:28208,0.000588276
HGNC:24149,0.000297626
HGNC:4053,0.000126724
HGNC:329,0.000327854
HGNC:40020,0.000204618
HGNC:26062,0.000449927
HGNC:26693,0.00593973
HGNC:11914,0.000675471
HGNC:11918,0.000216244
HGNC:24188,0.000109285
HGNC:17978,0.000240658
HGNC:32308,0.000823122
HGNC:19268,6.97561e-06
HGNC:10601,0.00119864
HGNC:16754,0.000161602
HGNC:26914,0.00119748
HGNC:26052,0.00211245
HGNC:28116,0.000213919
HGNC:15661,0.000530146
HGNC:3084,0.000242984
HGNC:7542,0.000236008
HGNC:24114,0.000105797
HGNC:20570,8.13821e-05
HGNC:14478,0.000199967
HGNC:42950,0.000533634
HGNC:37099,0.000305764
HGNC:30910,0.00147999
HGNC:32151,0.000469691
HGNC:24007,0.00609901
HGNC:25567,0.000377845
HGNC:25186,8.48699e-05
HGNC:25016,8.95203e-05
HGNC:42951,5.58049e-05
HGNC:30577,0.00143116
HGNC:7171,9.06829e-05
HGNC:1729,0.000118585
HGNC:33941,0.000186016
HGNC:1730,0.00155789
HGNC:20863,0.00043365
HGNC:29831,0.000345293
HGNC:4396,3.02276e-05
HGNC:24193,0.000143
HGNC:27916,0.000162764
HGNC:29368,0.00304369
HGNC:4084,9.99837e-05
HGNC:9412,0.000233683
HGNC:26428,0.000123236
HGNC:10896,3.60406e-05
HGNC:25852,0.000296463
HGNC:30309,3.13902e-05
HGNC:8851,0.00042435
HGNC:29037,0.000944032
HGNC:19366,0.000209268
HGNC:19764,2.79024e-05
HGNC:11912,0.000166252
HGNC:28390,0.000251122
HGNC:14668,0.000982398
HGNC:34297,0.00034878
HGNC:24026,4.88293e-05
HGNC:14000,3.4878e-05
HGNC:15515,0.000478992
HGNC:3232,0.00178692
HGNC:27007,0.0025554
HGNC:12759,0.00023252
HGNC:12003,8.83577e-05
HGNC:26546,0.00307624
HGNC:44204,2.67398e-05
HGNC:29207,9.99837e-05
HGNC:24866,0.00219267
HGNC:2773,0.000110447
HGNC:27915,0.000143
HGNC:30801,1.39512e-05
HGNC:19104,0.000946358
HGNC:6229,0.000604553
HGNC:16816,0.000132537
HGNC:10315,5.46423e-05
HGNC:32947,0.000539447
HGNC:5350,1.86016e-05
HGNC:26226,5.92927e-05
HGNC:23618,0.000294138
HGNC:24157,0.000676634
HGNC:16005,2.9065e-05
HGNC:13281,0.001573
HGNC:11910,9.41707e-05
HGNC:29105,0.00129165
HGNC:26265,0.00039761
HGNC:14448,0.00320762
HGNC:4930,9.41707e-05
HGNC:29041,0.000398772
HGNC:20855,0.000160439
HGNC:25570,0.000222057
HGNC:18806,0.00799172
HGNC:12644,5.11545e-05
HGNC:8847,0.000987049
HGNC:12636,0.000408073
HGNC:11924,0.000110447
HGNC:16369,7.20813e-05
HGNC:18185,0.000238333
HGNC:17939,0.000749878
HGNC:9965,0.00556537
HGNC:3350,7.90569e-05
HGNC:1380,0.000152301
HGNC:13445,0.000340642
HGNC:11010,0.00043365
HGNC:23687,0.000146488
HGNC:4795,0.000524333
HGNC:30628,1.7439e-05
HGNC:29681,5.23171e-05
HGNC:33719,0.000158114
HGNC:8977,0.000158114
HGNC:17447,7.78943e-05
HGNC:16913,8.02195e-05
HGNC:17497,0.000133699
HGNC:17877,0.000192992
HGNC:30316,0.000118585
HGNC:12500,0.00140791
HGNC:16636,0.000477829
HGNC:8891,9.99837e-05
HGNC:23163,0.000374358
HGNC:38843,0.000456902
HGNC:2257,0.000119748
HGNC:2772,0.000360406
HGNC:8856,3.25528e-05
HGNC:26002,0.000209268
HGNC:26730,0.00121841
HGNC:11571,5.11545e-05
HGNC:6902,0.000753366
HGNC:11296,3.13902e-05
HGNC:9138,0.00037552
HGNC:3942,0.000253447
HGNC:24078,0.000526658
HGNC:30791,2.79024e-05
HGNC:29251,0.000612691
HGNC:13581,0.000168577
HGNC:24847,0.000229032
HGNC:13585,0.000144163
HGNC:6764,0.000137187
HGNC:25054,0.00048713
HGNC:13539,0.000255772
HGNC:25262,0.00238915
HGNC:7436,0.000215081
HGNC:2024,0.000168577
HGNC:7939,0.000434813
HGNC:7940,0.000159276
HGNC:28513,0.000179041
HGNC:9081,0.000940545
HGNC:16877,0.000110447
HGNC:25715,0.000489455
HGNC:11923,6.16179e-05
HGNC:11917,4.53415e-05
HGNC:23595,0.000448764
HGNC:17693,1.51138e-05
HGNC:32038,8.48699e-05
HGNC:32037,0.000160439
HGNC:28567,0.000156951
HGNC:22125,0.000252285
HGNC:28840,0.000563862
HGNC:14086,0.00595601
HGNC:29295,9.76585e-05
HGNC:28841,0.000236008
HGNC:31971,0.00019648
HGNC:27997,0.000368545
HGNC:28415,0.000126724
HGNC:30583,0.000222057
HGNC:13576,0.000463878
HGNC:24908,0.000156951
HGNC:29485,0.00140442
HGNC:25224,0.000399935
HGNC:27005,0.00100798
HGNC:29602,0.00034413
HGNC:9347,0.00034413
HGNC:29173,0.00020113
HGNC:25488,3.72032e-05
HGNC:29408,0.00592345
HGNC:28670,5.58049e-05
HGNC:2523,0.000140675
HGNC:24609,0.000273211
HGNC:29995,0.000183691
HGNC:1511,0.000333667
HGNC:29157,0.000329016
HGNC:18407,0.00102309
HGNC:24578,9.30081e-06
HGNC:10458,0.000231358
HGNC:29131,0.000181366
HGNC:27653,0.000562699
HGNC:32350,0.000153463
HGNC:24686,0.000379008
HGNC:17575,0.00154161
HGNC:12936,0.000173228
HGNC:28339,9.41707e-05
HGNC:5249,0.000108122
HGNC:2026,0.0012591
HGNC:2027,0.00220778
HGNC:26717,0.000155789
HGNC:3386,0.000262748
HGNC:26604,0.000454577
HGNC:28127,0.000146488
HGNC:29249,3.25528e-05
HGNC:30232,1.51138e-05
HGNC:28026,0.000435976
HGNC:25528,0.000445276
HGNC:26088,0.00449462
HGNC:21299,0.00243914
