GeneName	expression_specificity
A2M	0.05263176751734985
AAAS	0.0475833429461299
AADAT	0.10584343991179712
AAGAB	0.06549001393404552
AAMDC	0.03204598344290855
AAMP	0.061789772727272735
AAR2	0.0664012101259065
AARS1	0.057864450127877234
AARSD1	0.04958768252924578
AASDHPPT	0.041543331086427715
AATF	0.041375573634565024
ABAT	0.027968362669324582
ABCC4	0.28249364217471995
ABCC5	0.0476002789315708
ABCD3	0.041370817217956865
ABCE1	0.040744318897803174
ABCF3	0.04997407525897161
ABHD10	0.06474409157268901
ABHD11	0.08815677834571531
ABHD12	0.063881474372432
ABHD14A	0.04504790305183682
ABHD14B	0.04997825248455106
ABHD16A	0.07673205860442016
ABHD17A	0.03454719935350271
ABHD17C	0.092493229086821
ABHD2	0.07873174207338797
ABHD3	0.03570700951114638
ABHD4	0.06713448999889489
ABI1	0.04133517928471592
ABI2	0.06436512580456406
ABITRAM	0.0507045204546645
ABL1	0.06941590580163312
ABLIM1	0.02106476537654731
ABRACL	0.021966372134601307
AC011043.1	0.11499336576735958
AC013394.1	0.07070105612836504
AC026464.4	0.04685583794984564
AC138969.1	0.03593222439054611
AC240274.1	0.05794929436742851
AC244197.3	0.09962778724736492
ACAA1	0.03840890026930378
ACAA2	0.011133118074307941
ACACA	0.10501585809937743
ACAD8	0.0822731468475338
ACADL	0.10357815442561205
ACADM	0.015290810679223894
ACADSB	0.03248239940472783
ACADVL	0.033224882169419316
ACAP2	0.035200456180366685
ACAT1	0.014626354381170497
ACAT2	0.06115612563346409
ACBD3	0.05959589798994537
ACBD5	0.03889756122527318
ACBD6	0.04982984929508994
ACIN1	0.04343900106326707
ACKR1	0.036959441310770884
ACKR3	0.016688892220530105
ACLY	0.10569384803273246
ACO1	0.036870755934676466
ACO2	0.021248394766293442
ACOT2	0.022824706255954272
ACOT9	0.05343393220638994
ACOX1	0.03320041139640209
ACOX2	0.03532528701795702
ACOX3	0.07658270932607214
ACP1	0.04185680313644837
ACP2	0.06309118246008032
ACP3	0.9188095343163523
ACP5	0.04009081797541369
ACP6	0.08300577526954919
ACSL1	0.02745572901526253
ACSL3	0.1167817012555653
ACSL4	0.03708452874050978
ACSL5	0.026666666666666665
ACSM3	0.04321351404439206
ACSS1	0.04618996907838182
ACSS2	0.024071979163926234
ACTA1	0.0011890914711019265
ACTA2	0.34248096104086845
ACTB	0.056193049165772335
ACTC1	0.006236434331485564
ACTG1	0.039873191030313435
