GeneName	expression_specificity
A2M	0.02647711109279887
A4GALT	0.07582636008932297
AAAS	0.0627234975198985
AAGAB	0.08325592196934509
AAMDC	0.5010618411180487
AAMP	0.07425426136363637
AAR2	0.04537972149308183
AARS1	0.07688618925831202
AARSD1	0.18876195172734994
AASDHPPT	0.07209636294364175
AATF	0.03915902504699904
ABCA5	0.0882749601536638
ABCA8	0.04631082217397307
ABCB10	0.0441760650198621
ABCB6	0.19481741749278456
ABCB7	0.11377508667415402
ABCC5	0.17797046963587304
ABCC9	0.20764503766353903
ABCD1	0.20824231833406148
ABCD3	0.04521926533125518
ABCE1	0.03360356197756963
ABCF1	0.07229183658337658
ABCF2	0.10269224844677971
ABCF2-H2BE1	0.21724900486510393
ABCF3	0.1512460423400664
ABCG1	0.07670269094074128
ABHD10	0.044749592704652695
ABHD11	0.06829046209879354
ABHD14A	0.11039908635238882
ABHD14B	0.027943505699490365
ABHD17A	0.1345522501136421
ABHD17B	0.06320101433726717
ABHD18	0.08843813387423936
ABHD3	0.04567923739263771
ABHD4	0.07749475080119349
ABI1	0.03239247222792642
ABITRAM	0.05531402231417946
ABL1	0.05708721210713458
ABLIM1	0.028700742825545716
ABLIM2	0.7640550239234449
ABLIM3	0.12081055830586011
ABRA	0.8816018807506788
ABRAXAS2	0.1028312417548963
ABTB1	0.10174880763116056
ABTB2	0.19161721909369206
AC002996.1	0.25987195462553164
AC004556.3	0.11222910216718268
AC005154.5	0.08052451749930742
AC005702.1	0.3356549467147772
AC007325.2	0.06871868289191121
AC007325.4	0.442836107714193
AC007326.4	0.10930611272192872
AC008878.1	0.5291406885334781
AC009779.3	0.2316742081447964
AC013394.1	0.034723745651697016
AC015802.6	0.2529285804257463
AC022506.1	0.7020250723240116
AC026464.4	0.26489618133378434
AC026464.6	0.08876364917224376
AC072022.2	0.5642131198028949
AC093512.2	0.25791855203619907
AC129492.3	0.21342663459435823
AC138969.1	0.0740947247777468
AC240274.1	0.054452354190083686
ACAA1	0.031995798953920934
ACAA2	0.05127981658469112
ACACB	0.11718042681612413
ACAD10	0.08433526511547443
ACAD8	0.13043303768511455
ACAD9	0.10929669949887677
ACADM	0.2168100021681
ACADS	0.23373090604729024
ACADSB	0.0606719706942934
ACADVL	0.2706363965217834
ACAP3	0.09405850801958902
ACAT1	0.1478993860780201
ACBD3	0.05619788626244849
ACBD5	0.07933055249891241
ACBD6	0.07292173067574138
ACE	0.10697674418604654
ACHE	0.7555205777510301
ACIN1	0.07245176561105798
ACKR3	0.033259423503325954
ACLY	0.019247761462829874
ACO1	0.04023794825747797
ACO2	0.34059320154515016
ACOT1	0.11684053651266767
ACOT13	0.05582777047445069
ACOT2	0.22626230549380755
ACOT8	0.09844021855254721
ACOT9	0.07334719886715638
ACOX1	0.045470128651594166
ACP1	0.06153994472652485
ACP2	0.03768342119787602
ACSF2	0.0829062405788363
ACSF3	0.06929924129278929
ACSL1	0.06745147884034378
ACSL3	0.026147793927115987
ACSL4	0.03154952445088145
ACSM5	0.038313120176405736
ACSS1	0.04388047062446273
ACSS2	0.23144616032201207
ACTA1	0.9625940780839618
ACTA2	0.014514101572792969
ACTB	0.01500567673365144
ACTC1	0.010627567545709645
ACTG1	0.012649279668235416
ACTL6A	0.025562495478332163
ACTN1	0.009833126066460364
ACTN2	0.7261147796745461
ACTN3	0.999563169831192
ACTN4	0.026752824480892307
ACTR1A	0.1465484329989935
ACTR1B	0.1438995849156584
ACTR2	0.039113344514741966
ACTR3	0.032285953583875926
ACTR6	0.04837127490444136
ACVR1	0.06926025749782556
ACVR1B	0.043334336442973215
ACVR2A	0.1550044286979628
ACVRL1	0.05861450762740067
ACY1	0.022366905837540963
ACYP1	0.09539218345226182
ACYP2	0.39052006577708603
ADAL	0.15710838424808748
ADAM15	0.0375172066325383
ADAM23	0.16441196800631971
ADAMTS1	0.008537036510059475
ADAMTSL4	0.1974132062627638
ADAMTSL5	0.3242430749409491
ADAR	0.020240842763549732
ADCY2	0.5969236147526656
ADCY6	0.04658923185522684
ADCY9	0.27479116698370687
ADD1	0.1308504360369812
ADGRA3	0.06688804554079696
ADGRE5	0.04210343931386988
ADGRF5	0.06897725338930172
ADGRG1	0.022884420920296255
ADGRL4	0.04807666278660566
ADH1B	0.004462313405160321
ADH5	0.04008249051139729
ADHFE1	0.22907620901332534
ADI1	0.07191382218104944
ADIPOR1	0.10467711137184532
ADIPOR2	0.06392776523702032
ADIRF	0.027353437675843525
ADK	0.0646212777884471
ADNP	0.07476596368510335
ADO	0.07085817118434373
ADPRHL1	0.44115696486837797
ADPRS	0.09781049217141786
ADRB2	0.06296754749475271
ADRM1	0.22659048055214653
ADSL	0.4323802841606735
ADSS1	0.8234000582091
AEBP2	0.036843388508113674
AFAP1L1	0.28351825821694526
AFDN	0.05163788930127481
AFF1	0.09077885963366708
AFF4	0.024874108107285752
AFG3L2	0.19628931298740457
AFMID	0.030900955998326193
AFTPH	0.024376457288207445
AGAP2	0.15468669967560184
AGAP3	0.08415495548524757
AGFG1	0.0349978761972564
AGGF1	0.06539564364404649
AGL	0.5574953109219448
AGMAT	0.1365360303413401
AGO4	0.09703071423360325
AGPAT1	0.10760373238038515
AGPAT2	0.02691583225934371
AGPAT3	0.16126555060666564
AGT	0.01807134403926499
AGTPBP1	0.10751753947739963
AGTRAP	0.030977211892072223
AHCY	0.06463893285237447
AHCYL1	0.07710309465961299
AHCYL2	0.08687550949109114
AHDC1	0.25950952408691097
AHNAK	0.07979926650131397
AHSA1	0.09576372854585025
AIDA	0.0407667205757103
AIF1L	0.023140321217244297
AIFM1	0.14998442653718067
AIG1	0.0321857812181707
AIMP1	0.09450163532692066
AIMP2	0.35738566131025956
AIP	0.06603058586571703
AK1	0.6816766281093288
AK2	0.09779821210379651
AK3	0.2007208756324196
AK6	0.11518919430681349
AKAP1	0.3082659176770774
AKAP13	0.10568525361101784
AKAP17A	0.05065895460103647
AKAP6	0.3169765993415784
AKAP7	0.0605099581377648
AKAP8	0.11429181798760946
AKAP8L	0.09593883899014377
AKAP9	0.028227888154279155
AKIP1	0.14887063655030802
AKIRIN1	0.033607769987779
AKIRIN2	0.11308824985501506
AKR1A1	0.02060963337542096
AKR1B1	0.22150376444528966
AKR1C1	0.013287705627949883
AKR1C2	0.08409191829484902
AKR1C3	0.028566665170470202
AKR7A2	0.09577839645602425
AKT1	0.06671259616488691
AKT1S1	0.2388558270768133
AKT2	0.15525984000528548
AKTIP	0.2416552218307757
AL034430.2	0.304573389735813
AL121900.1	0.10707410236822001
AL135905.2	0.2746876080406974
AL139300.1	0.4416454508910626
AL162231.1	0.2447992662692292
AL592183.1	0.05096174761505236
ALAD	0.033230897041911706
ALAS1	0.09423567699850731
ALDH1A1	0.020149880470224295
ALDH1A2	0.08336363164182205
ALDH1B1	0.1191052167231124
ALDH1L1	0.10530341662417134
ALDH2	0.059893400736304205
ALDH3A2	0.04378368107856555
ALDH4A1	0.09784099300256689
ALDH5A1	0.18873664881075272
ALDH6A1	0.02600366257647441
ALDH7A1	0.017891886078548313
ALDH9A1	0.0805560894723404
ALDOA	0.787286326892672
ALG3	0.061350418459501614
ALKBH2	0.06158946439976886
ALKBH3	0.11344916990159142
ALKBH5	0.3625127681307457
ALKBH7	0.19565520416654347
ALPK2	0.4136664746543779
ALPK3	0.6149292077410705
ALYREF	0.13761775828503658
AMACR	0.03922984192280712
AMD1	0.020312132866700465
AMDHD1	0.26530612244897966
AMFR	0.17166708828737665
AMIGO1	0.2090101797704137
AMN1	0.09542599452407796
AMOT	0.29894220450712866
AMOTL1	0.22338414135991222
AMOTL2	0.04354094300006773
AMPD1	0.974872736570512
AMY2B	0.001975678469305112
AMZ2	0.1250114419468309
ANAPC1	0.09056715826982083
ANAPC10	0.061250973267583705
ANAPC11	0.16993185097213265
ANAPC13	0.07383487169897013
ANAPC15	0.16056128988733723
ANAPC16	0.08177834199954784
ANAPC2	0.10107336457680928
ANAPC5	0.10429002099448845
ANAPC7	0.06247107820453495
ANGEL1	0.05647276654837216
ANGPT1	0.14537773359840955
ANGPTL1	0.06387603318005057
ANGPTL2	0.07919519084126084
ANK1	0.7792024430802054
ANK2	0.28312309341248243
ANK3	0.1441739400379688
ANKFY1	0.05360601828911213
ANKH	0.1140302779662277
ANKHD1	0.07228021395414597
ANKLE2	0.06459948320413438
ANKMY2	0.08996363172334587
ANKRD1	0.007248346015845899
ANKRD10	0.12390501833599335
ANKRD11	0.04914913856886165
ANKRD12	0.04329776538124735
ANKRD17	0.04177133019107561
ANKRD2	0.8321120689655173
ANKRD23	0.9859907884636475
ANKRD28	0.05058807578890283
ANKRD37	0.09744869423052101
ANKRD40	0.21427713175707247
ANKRD46	0.1773545094237404
ANKRD52	0.17533196184776512
ANKRD9	0.3831535822700461
ANKS1A	0.10213414634146341
ANKS1B	0.28476269775187346
ANKZF1	0.06786911543919544
ANO1	0.03125153796938825
ANO10	0.0551555624088154
ANO5	0.5417849954506602
ANO6	0.09673518742442563
ANOS1	0.11750716933622436
ANP32A	0.042269084839539756
ANP32B	0.028425721699875332
ANP32E	0.07636709365447722
ANTKMT	0.12182597301413042
ANXA1	0.008217286223961331
ANXA11	0.1182995920991654
ANXA2	0.018353450929256436
ANXA3	0.04979472140762463
ANXA4	0.01157860830351624
ANXA5	0.02115132440458659
ANXA6	0.14995043895844873
ANXA7	0.12263340623488737
AOC3	0.020914010775349677
AOPEP	0.1337022932135127
AP003419.1	0.060160656298068695
AP1B1	0.04212103796713249
AP1G1	0.059437429939432906
AP1M1	0.06653313994981236
AP1S2	0.15082620919157724
AP2A1	0.1129011411758445
AP2B1	0.050433195310350384
AP2M1	0.055457618932624964
AP2S1	0.06917394580710899
AP3D1	0.09163879194062532
AP3M1	0.03960302008642386
AP3S1	0.02427462470395672
AP3S2	0.1301694915254237
AP4B1	0.08287292817679558
AP4S1	0.10941299062174364
AP5M1	0.05976786930759245
AP5S1	0.17825642930090058
APBB1	0.1224229912113991
APBB2	0.10034965034965036
APEH	0.1642803633793009
APEX1	0.04980077437839126
APH1A	0.039008756737508296
API5	0.05041913467647722
APIP	0.16724880809728984
APLNR	0.07509881422924902
APLP2	0.01577902774454829
APMAP	0.015768126509593035
APOBEC2	0.8621549157246601
APOC1	0.001495584656828444
APOD	0.03950191969089309
APOE	0.005512620533182076
APOL1	0.020884652457962945
APOL2	0.059140230265882554
APOL3	0.05843355822821944
APOO	0.12208745611235242
APOOL	0.12961479647564264
APP	0.02229094206705115
APPL1	0.1250801796023092
APPL2	0.02715016851828735
APRT	0.02859821477810779
AQP1	0.08778637179072435
AQP4	0.1912794398472311
AQP7	0.08107913611539783
AR	0.11231415643180348
ARAF	0.21559178336426524
ARAP1	0.04392226560223764
ARCN1	0.03441612751271378
ARF1	0.06756694388805302
ARF3	0.018615751789976133
ARF4	0.019759591635106214
ARF5	0.06088448552609733
ARF6	0.025120344850892543
ARFGAP2	0.11388494890891272
ARFGAP3	0.033523298692591345
ARFIP2	0.020921513253744115
ARFRP1	0.08957997769793087
ARG2	0.08308322491723878
ARGLU1	0.02383696245526778
ARHGAP1	0.02416659525237809
ARHGAP10	0.1221141882862541
ARHGAP17	0.054977451277229764
ARHGAP18	0.04113097239827198
ARHGAP21	0.04938478279065874
ARHGAP24	0.03838578973117404
ARHGAP35	0.10167381380550558
ARHGAP5	0.02259265678885429
ARHGDIA	0.043576164962466114
ARHGDIB	0.02178952786776117
ARHGEF1	0.024260410778217452
ARHGEF10L	0.23822090010555616
ARHGEF11	0.08256141763995167
ARHGEF12	0.03899816576423736
ARHGEF15	0.10946786454733932
ARHGEF17	0.04994797086368366
ARHGEF2	0.03263128878690576
ARHGEF25	0.04770207127414743
ARHGEF37	0.10219416892094978
ARHGEF6	0.1849624869871128
ARHGEF7	0.10148139507756912
ARID1A	0.050872625944122604
ARID1B	0.08478639380251835
ARID5A	0.06059972834604534
ARID5B	0.042213883677298315
ARIH1	0.19736842105263158
ARIH2	0.20723249669749014
ARL1	0.061167726069158414
ARL14EP	0.06987235293452577
ARL16	0.07453732320110534
ARL17A	0.11988126046582431
ARL2	0.16194180459310145
ARL2BP	0.043860254058452765
ARL5A	0.08237997870794395
ARL6IP1	0.010223862761239612
ARL6IP4	0.18678093840664287
ARL6IP5	0.08842737322755084
ARL8A	0.10016964836520667
ARL8B	0.06860405850965465
ARMC1	0.05624890138864475
ARMC6	0.08670654960764511
ARMC8	0.09508048743794191
ARMCX1	0.09762343902353066
ARMCX3	0.05410168296766234
ARMH3	0.10306379361082953
ARMT1	0.06117808053772314
ARNT	0.08454612082504451
ARPC1A	0.03825527116332739
ARPC2	0.10066666956964761
ARPC3	0.0190531917503405
ARPC4	0.05507733594268469
ARPC5	0.016542621577947888
ARPC5L	0.10819397993311036
ARPIN-AP3S2	0.10375620127569099
ARPP19	0.21619433198380572
ARPP21	0.5899745582066974
ARRB1	0.03440193938418516
ARRB2	0.027074465439196147
ARRDC2	0.2788606476428089
ARRDC3	0.016710467780947074
ARSA	0.10703407039711192
ART1	0.9813664596273292
ART3	0.766472901945769
ART5	0.46527777777777773
ARV1	0.057485474100630485
ARX	0.22343096234309623
AS3MT	0.06502890173410404
ASAH1	0.031915101275953386
ASAP3	0.0830964356002624
ASB1	0.14063541435236612
ASB10	0.9329341317365267
ASB11	0.7677376171352075
ASB12	0.9546413502109705
ASB13	0.07574903622878011
ASB14	0.7942340305257205
ASB15	0.7701908799414665
ASB16	0.7846546128882709
ASB18	0.6042780748663102
ASB2	0.9492416851978649
ASB4	0.7716026171316837
ASB5	0.9175009504498796
ASB8	0.43076605227041304
ASCC1	0.0767747059490942
ASCC2	0.08886588923884048
ASF1A	0.05118717237126119
ASH1L	0.07767239169443732
ASH2L	0.08346571637113048
ASMTL	0.06685884547370459
ASNSD1	0.12191712635605528
ASPA	0.0850242926550443
ASPH	0.21996182243536774
ASPSCR1	0.09672619047619047
ASS1	0.008477727374135493
ASXL1	0.05251703255109766
ATAD1	0.061249489587586775
ATAD3A	0.17195591554906386
ATE1	0.06761659230899857
ATF1	0.10662922211130244
ATF2	0.03369090615061182
ATF4	0.15574674786727172
ATF5	0.02947736629557938
ATF7	0.08752379403690347
ATF7IP	0.046384463090412
ATG101	0.07162170281800158
ATG12	0.036457116148632854
ATG13	0.05224874500563467
ATG14	0.1172963198279654
ATG2A	0.0755262360427982
ATG3	0.035567743664817825
ATG4A	0.09839029924833356
ATG4B	0.06608453114847623
ATG4D	0.17426499522176625
ATG5	0.047312340966921114
ATG7	0.04890700259355316
ATG9A	0.21143269652970553
ATIC	0.08695827210692648
ATL2	0.1148884416581001
ATMIN	0.06061065232214561
ATN1	0.07203798093963887
ATOX1	0.02159040121016261
ATP11A	0.07593175802306934
ATP13A2	0.05525546798901976
ATP1A1	0.007220713131382596
ATP1A2	0.6383794722864772
ATP1B1	0.10508088544997894
ATP1B3	0.0072712746499576965
ATP1B4	0.9564421040581536
ATP2A1	0.9977418237960762
ATP2A2	0.6303182922039814
ATP2B1	0.043818250714802436
ATP2B2	0.46224199728092935
ATP2B4	0.026933507902366035
ATP2C1	0.04852357105853912
ATP5F1A	0.21914866148491344
ATP5F1B	0.24702604279971277
ATP5F1C	0.13787070135438478
ATP5F1D	0.35403352224767876
ATP5F1E	0.06312015602587506
ATP5IF1	0.12006824633813089
ATP5MC1	0.22855276480386713
ATP5MC2	0.16428916880843597
ATP5MC3	0.1714415587098907
ATP5MD	0.1539181710420017
ATP5ME	0.2553562175913481
ATP5MF	0.18858790031822711
ATP5MG	0.0986733617039763
ATP5MPL	0.1537127226632864
ATP5PB	0.1454058756608445
ATP5PD	0.19093272967103364
ATP5PF	0.18301747642027302
ATP5PO	0.17459224843736698
ATP6AP1	0.03998761589727712
ATP6V0A1	0.1120247028831999
ATP6V0B	0.05006103119543887
ATP6V0C	0.15718348571319504
ATP6V0D1	0.09854011005778525
ATP6V0E1	0.039457730701572005
ATP6V0E2	0.03160752375412061
ATP6V1B2	0.06319083389260388
ATP6V1C1	0.03699530683038051
ATP6V1D	0.07613426627365637
ATP6V1E1	0.08266449385893128
ATP6V1F	0.08589388663495182
ATP6V1G1	0.06712113266911379
ATP6V1H	0.055494226810275396
ATP9A	0.065936852783296
ATP9B	0.060800935399006155
ATPAF1	0.20189654857393438
ATPAF2	0.13822305956089465
ATRAID	0.09401371308016877
ATRN	0.03602154298104497
ATRX	0.03600150791656195
ATXN1	0.09036331002042457
ATXN10	0.0857011062645162
ATXN1L	0.05857394961138437
ATXN2	0.07066582914572864
ATXN2L	0.06797716438114297
ATXN7L3	0.055829291575465956
ATXN7L3B	0.05190096600362561
AUH	0.06926819959927487
AUP1	0.04187200771645848
AURKAIP1	0.22682130330193118
AUTS2	0.06301839581113017
AVEN	0.13787845785231978
AXIN1	0.09398309298856289
AZIN1	0.04340139906498815
B2M	0.016048520261665925
B3GALNT2	0.17091121855079605
B4GALT1	0.03513522097473441
B4GALT2	0.1483567430200213
B4GALT3	0.041666207383075596
B4GALT5	0.1313735091139217
B4GALT7	0.07236077012533919
B4GAT1	0.06998635266123106
BABAM1	0.16860077699686934
BABAM2	0.09957190423339146
BACE1	0.024087695542415438
BAD	0.06098186970001849
BAG1	0.2021188807491708
BAG3	0.33954742922614223
BAG4	0.08375176906225161
BAG5	0.04465933856542295
BAG6	0.1385467187432937
BAK1	0.09343781580822057
BANF1	0.1962986194012235
BAP1	0.09435327867773814
BAX	0.01835834250393393
BAZ1B	0.053489770518396276
BAZ2A	0.055325349483174704
BAZ2B	0.03746097814776275
BBS2	0.08387819239244304
BBS4	0.07721799233219938
BCAM	0.06907635487011483
BCAP29	0.06269346532958647
BCAP31	0.03243191042461927
BCAR1	0.1569091851084302
BCAR3	0.06432269423187548
BCAS2	0.0820303977892517
BCAS3	0.0891435848455906
BCAT2	0.11261860423871596
BCCIP	0.0834143936466481
BCDIN3D	0.25743573813776505
BCKDHA	0.18981553381304897
BCKDHB	0.03621382770191701
BCKDK	0.18763270455734377
BCL2	0.07527715680459876
BCL2L1	0.03584248338716755
BCL2L12	0.09278487164759419
BCL2L13	0.1101924140898752
BCL2L2	0.03707209339012463
BCL6	0.269667023191172
BCL6B	0.08674662442483216
BCL7B	0.14365001632386548
BCL7C	0.07283991962491627
BCL9L	0.10486770248920843
BCLAF1	0.04353270596075608
BCO2	0.16513619878077013
BCOR	0.07129251700680272
BCS1L	0.10067236494948144
BDH1	0.029492103840293236
BECN1	0.12874267591248723
BEND7	0.112094395280236
BEST3	0.7473002159827214
BET1L	0.03020658057453322
BEX3	0.008582156266762023
BFAR	0.08006476349758469
BGN	0.006413214903575263
BHLHE40	0.07009730959167243
BHLHE41	0.36617711096156136
BHMT2	0.012081013857633542
BICD2	0.08976732952258272
BIN1	0.8029285234831072
BIRC2	0.05548300708618095
BIVM	0.10469972354567378
BLCAP	0.287610682276925
BLMH	0.0569685809644378
BLOC1S1	0.11512547647136324
BLOC1S2	0.07813156347139376
BLOC1S6	0.051720359412667116
BLVRA	0.08705965846948051
BLVRB	0.052127687549432304
BLZF1	0.047398003411537715
BMERB1	0.12451258123646063
BMI1	0.09965808001077386
BMP4	0.051271381652275995
BMS1	0.09074776155521495
BNIP1	0.07189861077260541
BNIP2	0.05452154857560262
BNIP3	0.08488881427328639
BNIP3L	0.012002845118842987
BOD1	0.1734334162228903
BOD1L1	0.030533915475273236
BOLA1	0.1520361990950226
BOLA2-SMG1P6	0.08437604870799174
BOLA2B	0.08213953943186819
BOLA3	0.15238604464643765
BOP1	0.14652503469627412
BORCS6	0.13071895424836602
BORCS7	0.0568712721985109
BORCS8	0.07170390798834185
BPGM	0.09764077837093164
BPHL	0.046536764043594435
BPNT2	0.06251257629619693
BPTF	0.04609361096280476
BRAP	0.07314383018247257
BRCC3	0.08033457696473703
BRD1	0.08129316347076643
BRD2	0.016120295538751536
BRD3	0.08418634407351401
BRD4	0.07948390505966796
BRD7	0.07376892594207228
BRD8	0.06422721663363373
BRD9	0.09025527824260332
BRF1	0.12837924407431134
BRF2	0.1808066759388039
BRI3	0.10552012754085294
BRIX1	0.028827047046860288
BRK1	0.07516798445637803
BRMS1	0.051144036547873306
BRMS1L	0.11655477788887303
BROX	0.06767946464783019
BRPF3	0.062422472089952385
BRWD1	0.05174026581439765
BSCL2	0.03903770470991494
BSDC1	0.04649419363209757
BSG	0.09537766026193348
BST2	0.026460189181743043
BTBD1	0.3911342894393741
BTBD10	0.06374617959540096
BTBD2	0.16187334200064632
BTBD3	0.05930180516186783
BTBD6	0.30033153481115515
BTF3	0.06882199514040815
BTF3L4	0.09017980636237896
BTG2	0.038503981563183604
BTN2A1	0.05329227854097583
BTN3A1	0.039167686658506735
BTNL9	0.14616245151442286
BTRC	0.08565410718464778
BUB3	0.037617073545217254
BUD23	0.13342348433626325
BUD31	0.0395574326333948
BVES	0.4270151092665846
BYSL	0.09772233725569417
BZW1	0.02009055632238646
BZW2	0.31328456041896235
C10orf71	0.8527171101350185
C11orf1	0.03237686672872233
C11orf24	0.04052804967648661
C11orf54	0.03390893800667363
C11orf58	0.09619249378209062
C11orf68	0.12705071660432438
C11orf71	0.09645475200411541
C11orf98	0.06293342749806276
C12orf4	0.0888750952233163
C12orf57	0.06683544303797469
C12orf65	0.05121134528264723
C12orf73	0.23580107636256042
C12orf75	0.07086859456933702
C14orf119	0.04084570400359874
C15orf40	0.057574444375657764
C15orf61	0.2119161872969509
C16orf70	0.08144039443564006
C16orf72	0.09211087420042642
C16orf91	0.08108274125186836
C17orf49	0.07416434018708393
C17orf75	0.08035755284465738
C17orf80	0.13281742103842348
C18orf21	0.11050673477155801
C18orf25	0.12591191569845986
C19orf12	0.12091296078253781
C19orf47	0.6486621655413854
C19orf53	0.08569915647876335
C19orf54	0.18538713195201748
C1D	0.10209560851014424
C1orf115	0.02979227033424478
C1orf122	0.09243336199484092
C1orf127	0.7173913043478259
C1orf162	0.02672546857772877
C1orf174	0.0753782276315555
C1orf198	0.032302628905773845
C1orf21	0.2323997616412701
C1orf216	0.09367681498829039
C1orf43	0.1995662692891079
C1orf52	0.08177941299439752
C1orf54	0.05678015002885171
C1QBP	0.10375429331533285
C1QTNF1	0.030857698226289795
C1R	0.005902340198127203
C1S	0.007363639062917547
C20orf194	0.20110827470269593
C20orf27	0.05918694367514796
C22orf39	0.18487378621902972
C2CD5	0.037978015366682126
C2orf49	0.09090770659804176
C2orf68	0.1103019161422612
C2orf74	0.06621814907029719
C2orf76	0.03823642235778896
C2orf88	0.09048958919527295
C3	0.003924797795956688
C3orf18	0.2548936769469089
C4orf3	0.054608850869430396
C4orf54	0.9233944589981741
