GeneName	expression_specificity
A2M	0.008097195002669208
A2ML1	0.8737864077669903
AAAS	0.06315607336486331
AACS	0.15337524818001325
AADAC	0.01380828497098259
AAGAB	0.04075708313980492
AAMDC	0.03670028103818813
AAMP	0.06274857954545456
AAR2	0.06973795435333897
AARS1	0.03117007672634271
AARSD1	0.04273855510807923
AASDHPPT	0.037586823363910796
AATF	0.058369112805904226
ABCA1	0.06803296721894095
ABCA12	0.7554744525547445
ABCA5	0.14467285136294902
ABCB7	0.05176033986034474
ABCC5	0.07306794409241124
ABCD3	0.06830995401104506
ABCE1	0.05292561011467217
ABCF1	0.06561874397568028
ABCF2	0.06418265527923733
ABCF3	0.060233653623396236
ABHD12	0.06640074378430255
ABHD12B	0.6550218340611355
ABHD14B	0.04209990726531149
ABHD17A	0.06000303045608364
ABHD17C	0.061832490163012926
ABHD2	0.023334520840755255
ABHD4	0.04931484141894132
ABHD5	0.06251314879932679
ABHD6	0.10882244160573558
ABI1	0.08525380727472658
ABI3BP	0.03263732933396536
ABITRAM	0.10266617778010582
ABL1	0.04422248825200566
ABLIM1	0.08557560934222344
ABRACL	0.05228805146150494
ABRAXAS2	0.06278117917667353
ABT1	0.0557793616361946
ABTB1	0.04416180886769122
AC005154.5	0.11229107027426355
AC007325.2	0.2196303002231673
AC007326.4	0.10930611272192872
AC011043.1	0.03272888102609465
AC013394.1	0.06004575511611144
AC015802.6	0.16122937397657133
AC026464.4	0.044318518205269164
AC055839.2	0.0673306893524265
AC138969.1	0.12179785026174766
AC240274.1	0.058948420132384174
AC244197.3	0.1118725432219014
ACAA1	0.011432050170899854
ACAD10	0.07719920422108814
ACAD8	0.04254123690652967
ACAD9	0.13089683773976152
ACADM	0.006447244801314553
ACADVL	0.033161232969861044
ACAP2	0.05099131502763399
ACAP3	0.16246469567019922
ACAT1	0.012381080682306604
ACAT2	0.031093423426002808
ACBD3	0.048356320737455674
ACBD5	0.044271566394554346
ACBD6	0.05134905201750122
ACER1	0.8990683229813666
ACIN1	0.06155194246603156
ACKR1	0.10829975825946818
ACKR3	0.018464306286543945
ACLY	0.03900204296415527
ACO2	0.01557527965878791
ACOT7	0.05465579860166332
ACOT8	0.07005280669088244
ACOX1	0.044748380577759345
ACOX3	0.08825245550909266
ACP1	0.03318015296612893
ACP3	0.006808424795274449
ACP5	0.05093170242794902
ACSBG1	0.36224976167778833
ACSF2	0.042960506481760634
ACSL1	0.03792078235295296
ACSS1	0.030215938105441438
ACSS2	0.03156980873957539
ACTA2	0.0029157793338200166
ACTB	0.034805684928538326
ACTG1	0.07283068746864814
ACTL6A	0.06462970554899075
ACTN1	0.01908783295254071
ACTN4	0.07130656678945525
ACTR1A	0.05492312497830841
ACTR1B	0.062097059083281815
ACTR2	0.044941491876210146
ACTR3	0.05248156053278577
ACTR6	0.0460034502587694
ACVR1B	0.11916942521817635
ACVR2A	0.15854738706820196
ACYP1	0.0981978359067401
ADAM10	0.05158362753975602
ADAM15	0.16653321217464845
ADAM17	0.06309925342024485
ADAM33	0.07475083056478404
ADAR	0.046763326384752835
ADARB1	0.0736022328261457
ADCK2	0.1163549177582286
ADCY3	0.058760486344654285
ADCY6	0.0589103510235513
ADCY7	0.08975562883536066
ADD1	0.04264638384368239
ADD3	0.03526464611712593
ADGRA2	0.054290672675939594
ADGRF4	0.8043534594454522
ADGRG1	0.1275405624538804
ADGRG6	0.07175109791550689
ADH1B	0.0030837125157611974
ADH5	0.01994251990961146
ADI1	0.014964726002992946
ADIPOR1	0.06901787562978812
ADIPOR2	0.03413092550790067
ADIRF	0.028197486609840984
ADK	0.052787019687430284
ADNP	0.05843054304802194
ADNP2	0.07232532751091701
ADPRS	0.07385690225188696
ADRM1	0.06300739558697775
ADSL	0.019545443155336153
ADSS2	0.06847919970091916
ADTRP	0.1310013400489811
AEBP1	0.05069275993915225
AEBP2	0.07964673692195161
AFDN	0.07031865513673598
AFF1	0.05377785608677999
AFF4	0.036284249440903076
AFG3L2	0.03982486061298786
AFMID	0.052950075642965194
AFTPH	0.07037377234508584
AGA	0.09911629324309153
AGAP3	0.0960194246192333
AGAP9	0.21130537380671455
AGBL5	0.1069807086819629
AGFG1	0.04935597925254107
AGFG2	0.12702564898357313
AGGF1	0.06288042658081393
AGO1	0.09253547193090686
AGO4	0.14664040271394177
AGPAT2	0.02736195102607316
AGPAT3	0.042823457135887685
AGRN	0.1219673169830249
AGTRAP	0.035266364307897605
AHCY	0.027961785559735025
AHCYL1	0.036875393098075776
AHCYL2	0.05659718178642131
AHDC1	0.11533756626084932
AHNAK	0.16109055788896126
AHNAK2	0.8378412017578293
AHR	0.06960923904445498
AHSA1	0.04087365939822881
AIDA	0.03818291434203852
AIF1	0.014958030380776269
AIF1L	0.021238377007607778
AIG1	0.02050655259048007
AIMP1	0.04052137502532586
AIMP2	0.042181705809641534
AIP	0.03535128064037209
AJUBA	0.2854983496313663
AK2	0.04303121332567046
AK3	0.039185212129228535
AK4	0.05512265125199501
AKAP1	0.02566410190478074
AKAP13	0.024185421565334236
AKAP17A	0.0791910094912754
AKIRIN1	0.025246028172637814
AKR1A1	0.03775281465405858
AKR1B1	0.007651948226291825
AKR1C1	0.010240843190967746
AKR1C2	0.02393705595026643
AKR1C3	0.013081031862572215
AKR7A2	0.0337938400658367
AKT1	0.051670685497760944
AKT1S1	0.0591058716697206
