GeneName	expression_specificity
A2M	0.029307546514085892
AAAS	0.044122736186411354
AACS	0.21542025148908012
AAGAB	0.07837900603808638
AAMDC	0.03708178084107989
AAMP	0.05518465909090909
AAR2	0.07207367531254173
AARS1	0.04044117647058823
AARSD1	0.05561491465987233
AASDHPPT	0.04659886873186601
AATF	0.049749201632036506
ABCA10	0.2012903225806452
ABCA5	0.07478850790796517
ABCA6	0.07863266531971826
ABCA8	0.05308801566284717
ABCA9	0.12069356300997279
ABCB7	0.05176033986034474
ABCC11	0.8905950095969287
ABCC5	0.031531394961040536
ABCD3	0.06311454905809233
ABCE1	0.06951736884109717
ABCF3	0.042362130020850104
ABHD10	0.04760594968580074
ABHD11	0.07263621877780768
ABHD12	0.04120804966559698
ABHD14A	0.03553074043525157
ABHD14B	0.06118027459315732
ABHD17C	0.059788440901425724
ABHD2	0.04007837548984681
ABHD3	0.05050450894819803
ABHD4	0.06299038567797545
ABHD5	0.05109247738406515
ABI1	0.05922059339829492
ABI2	0.05231817712456545
ABI3BP	0.04918911778190494
ABITRAM	0.07207584725787021
ABL1	0.04743866921578788
ABLIM1	0.04318276902192199
ABLIM3	0.035437763769718966
ABRACL	0.0605085956345766
ABRAXAS2	0.06602848154788077
AC004556.3	0.15015479876160992
AC011043.1	0.04865103936311367
AC013394.1	0.10392052399009685
AC026464.4	0.035015012475155406
AC034102.2	0.19098548510313215
AC136616.2	0.16260162601626021
AC138969.1	0.038905925719418886
AC141272.1	0.08147034576402695
AC233755.1	0.08774947639645604
AC233755.2	0.09221902017291067
AC240274.1	0.054452354190083686
ACAA1	0.028719540673236222
ACAA2	0.016784018915055154
ACACA	0.15646658052390464
ACACB	0.03181720198318602
ACAD8	0.045350563872055216
ACAD9	0.0492483151892172
ACADM	0.039881629346184715
ACADSB	0.03419953065079274
ACADVL	0.032111021177149514
ACAP2	0.04441179050793928
ACAT1	0.016999929434255184
ACAT2	0.0405417012626335
ACBD3	0.06377806626994154
ACBD5	0.03147631599150396
ACBD6	0.05590666018473506
ACIN1	0.0423169604453967
ACKR1	0.12828364222401292
ACKR3	0.043675186023940486
ACLY	0.05926284450397619
ACO1	0.02559066165329143
ACO2	0.013976492673945445
ACOT9	0.04480484998672448
ACOX1	0.02435899749192545
ACOX3	0.08898181464553144
ACP1	0.0519795616684877
ACP2	0.0348286165616733
ACP5	0.05236351735564237
ACP6	0.11726212696809331
ACSF2	0.05275851673198675
ACSL1	0.043363812968245964
ACSL3	0.16042024922852238
ACSL4	0.04344978367358235
ACSL5	0.04617886178861788
ACSM1	0.9087486723046104
ACSM3	0.11824788843056376
ACSS1	0.02713660683354932
ACSS2	0.053668674857278165
ACTA2	0.08743450295681623
ACTB	0.03021461247272538
ACTC1	0.0010166242266394275
ACTG1	0.04365311008058636
ACTG2	0.02927050364892904
ACTL6A	0.07958135384763787
ACTN1	0.06767504410446251
ACTN4	0.02685571995966497
ACTR1A	0.04073682018533301
ACTR1B	0.04073567075863287
ACTR2	0.04986303853700549
ACTR3	0.04356577418744764
ACTR6	0.09775733179988498
ACVR1	0.05798533185864467
ACVR1B	0.04730665061691243
ACVRL1	0.037680754903329
ACY1	0.022920542120648413
ACYP1	0.06200491924397018
ACYP2	0.024289820870416635
ADA2	0.05828538311876476
ADAM10	0.046394741929248015
ADAM15	0.06936634607598807
ADAM17	0.05912002122257175
ADAM33	0.07751937984496123
ADAM9	0.059169426377638557
ADAMTS1	0.03306161412077578
ADAR	0.054580479452054805
ADAT1	0.07571387366599366
ADCK2	0.0565908009096839
ADCY3	0.060977863187848785
ADCY6	0.056600141179490464
ADD1	0.03926299914759688
ADD3	0.09611766350216641
ADGRA2	0.065480353303805
ADGRA3	0.051707779886148005
ADGRE5	0.022351208524646973
ADGRF5	0.024731975721821998
ADGRG1	0.03920961291439295
ADGRL2	0.03338985261510369
ADGRL4	0.05500663219728756
ADH1B	0.01737762700058369
ADH1C	0.005980369840078984
ADH5	0.05140299686272789
ADI1	0.02992945200598589
ADIPOQ	0.046193682030036244
ADIPOR1	0.04877263211171694
ADIPOR2	0.03900677200902934
ADIRF	0.07693349728028676
ADK	0.042665614732613266
ADNP	0.06827368112421203
ADPRS	0.05389557731894454
ADRB2	0.0570475216619127
ADRM1	0.02082356855855823
ADSL	0.04147142105395043
ADSS2	0.07136687679674106
AEBP1	0.04464909756197838
AEBP2	0.0636632080838729
AFDN	0.07517869177685596
AFF1	0.04596397956135042
AFF3	0.1471832177296566
AFF4	0.052030244481294965
AFG3L2	0.039419862030482894
AFMID	0.10541732384845655
AFTPH	0.06867801879460182
AGA	0.1015220285159821
AGAP3	0.03614524317563092
AGBL5	0.06471028232469951
AGFG1	0.0540223627455086
AGGF1	0.0528195583278837
AGK	0.06508066721356302
AGPAT2	0.023644294636661047
AGPAT3	0.03279517919900259
AGPS	0.06202680390902735
