GeneName	expression_specificity
A2M	0.016391445635934348
AAAS	0.07224016610912447
AACS	0.05013236267372602
AADAC	0.017010206123674203
AAGAB	0.059219693450998596
AAMDC	0.022050688607144216
AAMP	0.07531960227272727
AAR2	0.05772567513458203
AARS1	0.12116368286445012
AARSD1	0.06986109969589874
AASDHPPT	0.07319539286656311
AATF	0.060093095040677766
AATK	0.3083063108006984
ABAT	0.1782499795929765
ABCA3	0.06390503174570346
ABCA5	0.10973067963545707
ABCC8	0.5883268482490273
ABCD3	0.05503280802016588
ABCE1	0.06174654513378419
ABCF1	0.04040928301327204
ABCF3	0.07810517722594237
ABHD10	0.03491102976958721
ABHD11	0.08008608737040335
ABHD12	0.21197852622739408
ABHD14A	0.08438550853372251
ABHD14B	0.06511944720277711
ABHD17A	0.04242638517096824
ABHD2	0.10313501959387246
ABHD3	0.03956722675559464
ABHD4	0.046413968394297705
ABI1	0.03954663787335801
ABI3BP	0.029606720181525718
ABITRAM	0.05573306793777173
ABL1	0.06673575499848126
ABLIM1	0.02817412369113203
ABTB1	0.03780250839074367
AC007325.4	0.05350769921884749
AC007906.2	0.18348986653484922
AC011043.1	0.11853162317558603
AC013394.1	0.05064401892882886
AC015802.6	0.10983751102153923
AC026464.4	0.07984099462933986
AC068631.2	0.11192894944947988
AC073896.1	0.2799702159344751
AC138969.1	0.028002354180218694
AC244197.3	0.08293039273663338
ACAA1	0.03359907428276665
ACAA2	0.022687945166582093
ACACB	0.04966587626643672
ACAD8	0.04856122326122726
ACAD9	0.052272334542941064
ACADL	0.11770244821092278
ACADM	0.020482839678512603
ACADS	0.06172839506172839
ACADSB	0.022608894739854616
ACADVL	0.061071406976164436
ACAT1	0.03547532444204949
ACBD3	0.059334512472445616
ACBD4	0.06857142857142857
ACBD5	0.028405455894771864
ACBD6	0.05924890617403988
ACIN1	0.038469964041269726
ACKR1	0.030727907601396733
ACKR3	0.03456139381840277
ACLY	0.07817292594114238
ACO1	0.05858914641674617
ACO2	0.025013280246728928
ACOT8	0.0714263911358017
ACOT9	0.03650765554473847
ACOX1	0.0716334963281067
ACOX3	0.08752309637265389
ACP1	0.07559933157657948
ACP2	0.1233275602839579
ACP6	0.06719515140868268
ACSF3	0.09319553139375113
ACSL1	0.014825492228394773
ACSL3	0.02950460530965114
ACSL4	0.032933275523288535
ACSM3	0.05971321940679631
ACSS1	0.09642156045112205
ACSS2	0.029202073084107237
ACTA2	0.011844543604939979
ACTB	0.024581434322444706
ACTC1	0.0011020548339200516
ACTG1	0.06207136732554918
ACTL6A	0.038584898835218366
ACTN1	0.0432850353317716
ACTN4	0.07830345934599632
ACTR1A	0.046853850692395796
ACTR1B	0.07584120816038152
ACTR2	0.03995518802250959
ACTR3	0.04343068651554858
ACTR3C	0.16062329222361718
ACVR1B	0.14697562443575082
ACVRL1	0.03574840849803008
ACY3	0.20237010027347307
ACYP2	0.022971768575122706
ADA2	0.046032205985842616
ADAM15	0.04426490566716749
ADAMTS1	0.022817170308704414
ADAR	0.056674359737939266
ADCK2	0.07615958253265873
ADCY3	0.02993458738312577
ADCY6	0.05698517615350061
ADCY9	0.09800678190389545
ADD1	0.04138745000327848
ADD3	0.07300211802905032
ADGRA3	0.059297912713472484
ADGRD1	0.09736308316430019
ADGRE5	0.04487568223165554
ADGRG1	0.08716486439705198
ADH1B	0.003845570902008082
ADH5	0.0269191110331059
ADI1	0.019062210503812443
ADIPOR1	0.07032154661390633
ADIPOR2	0.07909706546275394
ADIRF	0.02288310443281996
ADK	0.029274217407778448
ADM	0.04567227358805837
ADM2	0.5355908776779544
ADNP	0.045655406395945466
ADORA1	0.18313953488372092
ADPRS	0.054228266067826915
ADRA2A	0.28846153846153844
ADRM1	0.08125485257128136
ADSL	0.04322549928583957
ADSS2	0.040840004640909616
AEBP1	0.035645274020474446
AEBP2	0.047408771977352146
AEN	0.12613985756707752
AFAP1L2	0.08172256964184195
AFDN	0.08459501276708843
AFF1	0.0648092111815041
AFF4	0.05682250384141424
AFG3L2	0.055484805803179695
AFMID	0.0954388901406637
AFTPH	0.06698226524411784
AGA	0.07265320524129525
AGAP3	0.09795084982709144
AGBL5	0.07827856732826553
AGFG1	0.06281670086687045
AGFG2	0.09909330732226386
AGPAT1	0.06750049632717887
AGPAT2	0.10439179141469217
AGPAT3	0.05583311499995483
AGPS	0.050870903925389344
AGR2	0.013717223886949367
AGR3	0.02304544475554598
AGRN	0.16790305974286546
AGTRAP	0.09102534571362761
AHCY	0.08688126227489097
AHCYL1	0.07020691724906375
AHCYL2	0.03190869919645975
AHNAK	0.014583340018032647
AHSA1	0.039336375748295425
AIDA	0.04665205699685158
AIF1	0.015538924764495735
AIFM1	0.031865700845758835
AIG1	0.04209954505330345
AIMP1	0.03415373037848894
AIMP2	0.03940049443757726
AIP	0.05014586945462473
AJUBA	0.05367554061140759
AK1	0.007544927766178131
AK2	0.04607382436889969
AK3	0.03215832809761582
AKAP1	0.02937278715113634
AKAP12	0.024148288378263553
AKAP13	0.06865132683909977
AKAP17A	0.07627957531880204
AKAP7	0.13319802105797285
AKIP1	0.051334702258726904
AKIRIN1	0.044542355438348245
AKR1A1	0.06712311787407745
AKR1B1	0.020673684681560365
AKR1C1	0.01658847326801387
AKR1C2	0.011135934724689165
AKR1C3	0.013850504325076462
AKR7A2	0.0607588730717375
AKR7A3	0.17881769944601572
AKT1	0.10827879205419683
AKT1S1	0.04816033987903161
AKT2	0.06193876595955537
AKTIP	0.02919925956887801
AL034430.2	0.07023705004389816
AL121900.1	0.09289533995416349
AL135905.2	0.04741443176766929
AL163636.1	0.043975971891646835
AL592183.1	0.06040831546564743
ALAD	0.051807891568813734
ALAS1	0.012831007418191707
ALB	0.00728382416659995
ALCAM	0.06555514718166328
ALDH18A1	0.17654116437182196
ALDH1A1	0.15047459463596288
ALDH1A3	0.0490121332258697
ALDH1B1	0.02411987363747617
ALDH1L1	0.026772055073941866
ALDH1L2	0.6180088070051121
ALDH2	0.01066908438192575
ALDH3A2	0.043205406045452414
ALDH6A1	0.022126752883254587
ALDH7A1	0.03959679705908233
ALDH9A1	0.03786824718785233
ALDOA	0.009819450987639027
ALDOB	0.0009067330083935244
ALG1	0.1511278195488722
ALG2	0.10087989687832763
ALG3	0.10284174192633218
ALG5	0.15210224972529063
ALG8	0.05268278791618214
ALG9	0.08710000835491688
ALKAL2	0.27436668097896094
ALKBH2	0.05839593661607714
ALKBH3	0.0739138531177035
ALKBH5	0.05515832482124617
ALKBH7	0.08730986766240185
ALYREF	0.050571729060842716
AMACR	0.028196448882017618
AMBP	0.011176323676323678
AMD1	0.036821537662466146
AMFR	0.04432076903617505
AMHR2	0.22199857920909305
AMMECR1L	0.10386903761470977
AMOTL1	0.05462057374944562
AMOTL2	0.07895424330678948
AMT	0.10969955140045991
AMY1C	0.891643059490085
AMY2A	0.9992466483917857
AMY2B	0.9893178273531417
AMZ2	0.05923659330744185
ANAPC11	0.0671516118706421
ANAPC13	0.05019168347514794
ANAPC15	0.04874182014437023
ANAPC16	0.03782411352451176
ANAPC2	0.10560870785910202
ANAPC4	0.05624854729991477
ANAPC5	0.07586918386435071
ANAPC7	0.044346753046429134
ANG	0.007852768176581164
ANGEL1	0.23514889677518902
ANGPTL1	0.04857240023066345
ANGPTL4	0.09856406930319356
ANK3	0.02005898296180435
ANKEF1	0.3163841807909605
ANKH	0.04237800061336579
ANKHD1	0.0698060746011923
ANKIB1	0.05213898029830335
ANKLE2	0.0599263291000055
ANKMY2	0.04555605180884323
ANKRD10	0.04507852191181666
ANKRD11	0.05271641475531128
ANKRD12	0.019297505918982903
ANKRD13A	0.043350054628117626
ANKRD17	0.05080296915130817
ANKRD28	0.0350811781852693
ANKRD37	0.056468614206427736
ANKRD40	0.03464480728408742
ANKRD46	0.05275013543953694
ANKRD54	0.11579306521090116
ANO10	0.05408803539445123
ANO6	0.04370357574710658
ANP32A	0.041496341058195337
ANP32B	0.04409851387578847
ANPEP	0.38355696195072514
ANXA1	0.014224882034756588
ANXA11	0.057865973054329715
ANXA2	0.0439997583319577
ANXA3	0.0575366568914956
ANXA4	0.31062010847327776
ANXA5	0.044287284646621544
ANXA6	0.029419796354660934
ANXA7	0.04034848386421544
ANXA9	0.23383409536250815
AOC3	0.014506828283479545
AOPEP	0.049097235540699745
AOX1	0.06837616004848004
AP003419.1	0.1095438688208149
AP1B1	0.07420286481256501
AP1G1	0.06308709669009983
AP1G2	0.05051296107760984
AP1M1	0.03338167921357368
AP1M2	0.14587212911235256
AP1S1	0.043354443830492626
AP2A1	0.055880362804205864
AP2B1	0.031709494057405925
AP2M1	0.03854141511712147
AP2S1	0.04195013744573813
AP3B1	0.048273589112270025
AP3D1	0.11595482782190016
AP3M1	0.06866422907070613
AP3S1	0.07005279823242305
AP3S2	0.05520581113801453
AP4M1	0.08588343200200117
AP5B1	0.13258388397837464
APBB1	0.04717481694434528
APBB2	0.03776223776223777
APEH	0.055076653618493954
APEX1	0.04790875038572512
APH1A	0.06563506579692785
API5	0.07055604517226538
APIP	0.04385182163526502
APLP1	0.14980824544582938
APLP2	0.039520216818758155
APMAP	0.03509091737683999
APOC1	0.0007208448571200158
APOD	0.017630282206788615
APOE	0.004130034032898469
APOH	0.0006021666952097362
APOL2	0.03801871945663878
APOLD1	0.05669648481794128
APOO	0.03776997552931164
APP	0.06708018380177717
APPBP2	0.05694384841382499
APPL1	0.08376410217711204
APPL2	0.054768443390338276
APRT	0.09367294041644675
AQP1	0.1136370320265859
