GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
ENSG00000187634    1     859993     879961    105      25  349856      0.84316      0.19957
ENSG00000188976    1     879583     894679     66      13  349856     -0.63902      0.73859
ENSG00000187961    1     895967     901099     45      11  349856     -0.23237      0.59188
ENSG00000187583    1     901872     910488     55      25  349856       0.5363      0.29588
ENSG00000188290    1     934342     936608     16       5  349856      -1.4584      0.92763
ENSG00000187608    1     948847     949920      7       3  349856      0.41349      0.33963
ENSG00000188157    1     955503     991499    216      34  349856   0.00097604      0.49961
ENSG00000237330    1    1007126    1009687     13       7  349856     -0.95922      0.83127
ENSG00000131591    1    1017198    1051736    156      18  349856      0.46643      0.32046
ENSG00000162571    1    1109286    1133315    172      22  349856     -0.21114      0.58361
ENSG00000186891    1    1138888    1142163     15       4  349856      -1.4004       0.9193
ENSG00000186827    1    1146706    1149703     13       6  349856     -0.86357      0.80609
ENSG00000078808    1    1152288    1167447    104       6  349856      -1.6772      0.95325
ENSG00000176022    1    1167629    1170421     12       4  349856     -0.80508      0.78961
ENSG00000184163    1    1177826    1182102     17       5  349856      -1.2312      0.89087
ENSG00000160087    1    1189292    1209234     69      13  349856      -1.1196      0.86855
ENSG00000162572    1    1215816    1227409     60      21  349856      -1.5237      0.93621
ENSG00000131584    1    1227764    1243304     74      15  349856        -0.31      0.62172
ENSG00000169972    1    1243962    1247057     10       7  349856      -0.7609      0.77664
ENSG00000127054    1    1246965    1260067     28       9  349856     0.040499      0.48385
ENSG00000169962    1    1266726    1269844     18      11  349856      0.20526      0.41869
ENSG00000107404    1    1270658    1284509     53      12  349856       1.0105      0.15614
ENSG00000162576    1    1288071    1297183     33       7  349856      0.79668      0.21282
ENSG00000175756    1    1309110    1310818      9       4  349856       1.3723     0.084991
ENSG00000221978    1    1321091    1334718     31      11  349856      0.49531      0.31019
ENSG00000242485    1    1337276    1342693     18       7  349856      0.46045       0.3226
ENSG00000235098    1    1353800    1356824     12       3  349856     -0.82821      0.79622
ENSG00000205116    1    1361508    1363167     10       4  349856      -1.4824      0.93088
ENSG00000179403    1    1370903    1378262     24       7  349856       -1.121      0.86885
ENSG00000215915    1    1378152    1405538    101      18  349856      -1.5354      0.93766
ENSG00000160072    1    1407139    1444852    168      18  349856     0.041062      0.48362
ENSG00000197785    1    1447523    1470067    107      13  349856      0.19543      0.42253
ENSG00000205090    1    1470158    1475740     12       6  349856      -1.0805      0.86004
ENSG00000160075    1    1477053    1510262    102      10  349856      -1.7257       0.9578
ENSG00000228594    1    1533388    1535476      2       1  349856       2.1581      0.01546
ENSG00000197530    1    1550795    1565990     36       7  349856       2.1555      0.01556
ENSG00000189409    1    1567060    1570030      2       1  349856       1.7557     0.039567
ENSG00000248333    1    1571100    1590473     33       4  349856      0.50518      0.30671
