chr,start,end,gwas_h2,gwas_h2_se,burden_h2,burden_h2_se,min_gwas_p,min_burden_p,min_burden_p_no_multi
1,10583,1892607,0.00056294,7.5694e-05,-1.5442729746116533e-06,7.382967753443565e-06,1.66505e-12,0.022288928531222503,0.022288928531222503
1,1892607,3582736,0.00017556,5.791e-05,1.1072488298701124e-05,4.822257252728743e-06,1.22157e-12,0.00699535957634779,0.00699535957634779
1,3582736,4380811,9.8885e-05,5.3697e-05,8.510260971643062e-06,2.839282113694592e-06,4.44202e-09,0.005077432222873973,0.005077432222873973
1,4380811,5913893,2.5793e-05,4.9346e-05,5.554843602591414e-07,1.3085580742553777e-06,0.000304869,0.08076504264792021,inf
1,5913893,7247335,0.0001408,5.6039e-05,-2.6644897924103497e-06,4.6236099909687195e-06,3.83929e-06,0.08076504264792021,0.09720160485499844
1,7247335,9365199,0.00014015,5.6004e-05,2.411686227363017e-06,4.066425064833591e-06,2.61593e-11,0.03895396728001781,0.03895396728001781
1,9365199,10806984,0.00040315,6.8917e-05,2.744457681756134e-07,4.303693553842456e-06,3.60021e-14,0.05884974701035344,0.05884974701035344
1,10806984,11777841,0.00071204,8.1511e-05,4.376823390664845e-06,3.962399351122109e-06,1.3491e-19,0.001394039122328012,0.001394039122328012
1,11777841,12779466,9.584e-05,5.3522e-05,5.229367119481273e-06,4.214203759245295e-06,0.000914948,0.028099649491692285,0.028099649491692285
1,12779466,14891511,2.9476e-05,4.9574e-05,-3.872898109647564e-06,3.822184199733029e-06,1.57231e-07,0.0604289723273831,0.0604289723273831
1,14891511,16897730,7.208e-05,5.2143e-05,1.0062804467621224e-06,5.719627650119902e-06,3.73839e-06,0.033166740097652934,0.033166740097652934
1,16897730,18662899,0.00011198,5.444e-05,3.769630756959155e-06,3.7752402294432058e-06,1.61428e-09,0.03250641340121342,0.03250641340121342
1,18662899,20469149,6.2208e-05,5.1559e-05,-9.810099475059762e-07,5.0522603950809496e-06,1.44277e-08,0.06639425769053402,0.06639425769053402
1,20469149,21736588,0.00040033,6.8791e-05,-4.7843540383282446e-06,3.918391368270156e-06,3.00806e-14,0.08087924065528042,0.2543860509834901
1,21736588,23086883,0.0001459,5.6318e-05,9.178860617989214e-06,4.074713032422232e-06,1.52583e-13,0.007748850453989953,0.007748850453989953
1,23086883,23920590,0.00065254,7.6697e-05,-6.764056791466527e-07,3.665714325716711e-06,7.283e-15,0.04905132645171594,0.04905132645171594
1,23920590,25516845,7.8554e-05,5.2523e-05,6.207055785218543e-08,4.826523477412646e-06,8.35157e-07,0.00686272902657732,0.00686272902657732
1,25516845,27401867,0.00089466,8.8114e-05,1.0659004077234712e-05,7.941887516285464e-06,2.8224100000000002e-18,0.01193202998388407,0.01193202998388407
1,27401867,30161881,8.4593e-05,5.2874e-05,7.496627442998201e-06,6.550301875349838e-06,1.3779e-05,0.0029386736320705332,0.0029386736320705332
1,30161881,32438685,0.00027769,6.3087e-05,1.101290291959167e-06,4.276320162796829e-06,7.56693e-16,0.07445676946716645,0.07445676946716645
1,32438685,34799758,0.00033125,6.5639e-05,6.633769541364575e-06,6.59474800885347e-06,3.70631e-24,0.024324000745411106,0.024324000745411106
1,34799758,37549183,0.00015522,5.6823e-05,-1.6390727149323142e-06,6.217211193604642e-06,1.24627e-11,0.026025519305473834,0.026025519305473834
1,37549183,38731847,0.00025957,6.22e-05,4.859838926109745e-07,4.467225367240781e-06,5.44327e-11,0.022079475028334003,0.10973513990944701
1,38731847,40200567,0.00028924,6.3646e-05,1.1655322726610322e-06,3.851060741964616e-06,4.05917e-10,0.022079475028334003,0.05880548141196419
1,40200567,41975327,0.00059486,7.6976e-05,-3.2932390030207025e-06,5.284779884810795e-06,5.59654e-44,0.007297656778090941,0.007297656778090941
1,41975327,43758457,0.00038542,6.8123e-05,3.3981882873263875e-06,4.897877639025556e-06,2.56185e-08,0.024279894748751214,0.024279894748751214
1,43758457,44969183,0.00024752,6.1603e-05,-1.043437972126291e-06,4.7112220910768205e-06,1.2328e-05,0.006679064933914382,0.006679064933914382
1,44969183,46899501,0.00023763,6.1109e-05,5.993897096544351e-06,6.22521581084349e-06,0.000216566,0.00847730167684266,0.017790866442409303
1,46899501,48002576,0.00034689,6.4857e-05,-2.9221497200136117e-06,4.46118509072981e-06,6.83533e-07,0.07443049892623994,0.07443049892623994
1,48002576,48978188,0.00010729,5.4175e-05,3.1580679357816396e-06,1.8203759613935818e-06,8.87744e-06,0.008616607949896644,0.008616607949896644
1,48978188,49894177,0.0011437,9.2506e-05,-7.028838137357121e-07,1.268714698967058e-06,8.84944e-11,0.3693038300190796,0.3693038300190796
1,49894177,51713726,0.0031563,0.00014453,1.1528548843776385e-05,2.5199498260886724e-06,9.56851e-22,0.0013049603791172484,0.0013049603791172484
1,51713726,54226262,0.00015085,5.6587e-05,1.5219656260666035e-06,5.862985906956132e-06,2.03468e-09,0.01402784894258431,0.01402784894258431
1,54226262,56413117,2.7375e-05,4.9444e-05,-4.778044620313111e-06,5.182741606366438e-06,5.0069e-07,0.022228279167435448,0.022228279167435448
1,56413117,57021728,0.0011014,9.1973e-05,-5.125166778923611e-07,8.469449586933451e-07,9.2372e-18,0.7041322283493505,inf
1,57021728,58865399,3.2007e-05,4.9731e-05,-2.033161031009166e-06,2.401036432881509e-06,1.69063e-05,0.25768305256478685,0.25768305256478685
1,58865399,59890409,0.00016365,5.7276e-05,-7.69888932696756e-07,1.6088579335693621e-06,4.70042e-06,0.258767691486684,0.258767691486684
1,59890409,61922365,0.00011073,5.4369e-05,-1.2808808503297667e-06,2.211347685220162e-06,7.37662e-06,0.09747944027720903,0.25507769309250106
1,61922365,63455089,0.00012745,5.5304e-05,3.7584716905504726e-07,2.929659681810726e-06,2.93643e-08,0.09747944027720903,0.2635571468900524
1,63455089,65041704,9.0838e-05,5.3235e-05,-3.030033088849919e-06,2.9185825923221616e-06,6.39177e-07,0.09950766462257364,0.19539329062225763
1,65041704,66939404,0.00020273,5.9332e-05,-6.05873401720066e-07,2.8878320189822626e-06,1.24064e-13,0.035046854045673,0.035046854045673
1,66939404,68477895,0.00010919,5.4282e-05,2.5564460575168463e-06,3.630015044618199e-06,3.33659e-06,0.019103277903251063,0.019103277903251063
1,68477895,69687616,9.5758e-05,5.3518e-05,-9.073355238404233e-07,1.7775204783205714e-06,1.87208e-06,0.30692269384853577,0.3903758143140992
1,69687616,71372470,5.9048e-05,5.1371e-05,-3.2056217187604027e-06,2.7000124441595258e-06,4.73432e-06,0.20282044030556312,0.20282044030556312
1,71372470,71684405,8.8249e-05,3.3441e-05,-3.9865742469034437e-07,6.083389479340023e-07,0.000659815,0.4570791951545625,inf
1,71684405,74326907,0.00060558,7.7402e-05,3.2212935769441397e-06,1.4547158799214676e-06,5.47078e-10,0.013353672783273615,0.013353672783273615
1,74326907,76728135,6.4966e-05,5.1723e-05,-3.6803810485643605e-06,3.5712092286037132e-06,5.56004e-07,0.07746845421097209,0.07746845421097209
1,76728135,79661198,0.00024044,6.125e-05,3.5971357116580776e-06,3.95980351116426e-06,7.510310000000001e-48,0.007230830700968362,0.007230830700968362
1,79661198,81354191,5.3361e-05,5.1031e-05,-2.982113790236855e-07,8.300480343199744e-07,0.000235092,0.43206566675248637,inf
1,81354191,83991748,5.5228e-05,5.1143e-05,-7.042125031805759e-07,1.0315039007091901e-06,7.45774e-05,0.4666802675457865,inf
1,83991748,84844495,0.00022604,5.7123e-05,8.724267754732735e-07,1.5802853178579776e-06,0.000399573,0.07254966529198872,0.07254966529198872
1,84844495,86454751,0.00023033,6.0742e-05,6.610354480664448e-06,4.036071763518226e-06,1.31236e-08,0.0008137903907147741,0.0008137903907147741
1,86454751,88128631,0.00023336,6.0894e-05,-1.0847055564556582e-06,2.8818269173106237e-06,3.10948e-12,0.04626221687400045,0.04626221687400045
1,88128631,90066303,0.00023301,6.0876e-05,8.864607589846696e-06,3.6640402416393648e-06,1.53758e-06,0.005566714422052666,0.005566714422052666
1,90066303,91886317,7.1313e-05,5.2098e-05,-4.0837288427456137e-07,2.6290834381856385e-06,1.49358e-05,0.03507299506585456,0.15042131660550095
1,91886317,93536459,0.0002443,6.1443e-05,4.155419992482643e-07,3.5945502589987396e-06,3.32174e-11,0.033373846414512,0.033373846414512
1,93536459,94506191,0.00026525,5.6297e-05,-1.3017524010890198e-06,2.917489263131521e-06,0.000191053,0.06298612768183393,0.06298612768183393
1,94506191,96150893,2.3302e-05,4.9143e-05,1.3469079784287872e-06,2.9738967860399016e-06,0.000242806,0.07958892130727808,0.07958892130727808
1,96150893,97885249,0.00044753,7.0864e-05,-7.838831809034282e-07,1.1950785083721841e-06,1.51824e-10,0.23989990208640966,0.733955841315217
1,97885249,99800604,0.00024789,6.1622e-05,1.5039444583525205e-06,1.813145878514839e-06,1.86114e-06,0.1286847873312461,0.1286847873312461
1,99800604,100826405,0.00028618,5.9557e-05,-3.661028414016366e-06,3.4146997858196645e-06,1.62362e-05,0.1832062410602837,0.21606828595141345
1,100826405,102041016,1.5988e-05,4.8733e-05,1.2756170114765768e-07,2.8207893354434486e-06,9.12454e-05,0.002038137279567643,0.08577471454947579
1,102041016,102898745,0.00010817,5.0028e-05,6.312283517870179e-06,1.0483916610920586e-06,0.00160004,0.002038137279567643,inf
1,102898745,103914211,0.00078905,7.8589e-05,8.362058637996603e-07,1.1720097842226736e-06,1.85933e-07,0.002038137279567643,0.14298922078533002
1,103914211,106087842,0.00013557,5.5753e-05,9.961394218381768e-07,1.9348076049552157e-06,2.25739e-05,0.04605352875810985,0.04605352875810985
1,106087842,108409665,0.0002924,6.3798e-05,-3.6008538194851826e-07,1.671816675238883e-06,2.37699e-09,0.16252008561265296,0.3974306056750835
1,108409665,110303931,0.0002015,5.9268e-05,-7.43691929052394e-06,6.067216065558575e-06,2.92375e-08,0.027130974121630062,0.027130974121630062
1,110303931,111741737,0.0001666,5.7434e-05,-4.498569946449497e-06,4.6981372378266206e-06,2.46027e-05,0.02092040027911613,0.02092040027911613
1,111741737,113273306,9.5059e-05,5.3478e-05,-1.093715765856843e-07,4.686543997035244e-06,2.28575e-07,0.02359411888743016,0.02359411888743016
1,113273306,114873845,7.9703e-05,5.259e-05,4.960114952968602e-06,3.838049783973933e-06,1.36293e-05,0.026742871516574403,0.026742871516574403
1,114873845,115880593,0.00032402,6.5083e-05,3.7755120895594473e-06,3.3617093860038166e-06,1.0488e-05,0.011067320825955575,0.011067320825955575
1,115880593,118839067,2.2896e-05,4.9166e-05,2.966951018451973e-06,4.621925967909682e-06,0.000131459,0.007540852865122462,0.007540852865122462
1,118839067,144977494,0.00026626,6.2529e-05,1.699979859891626e-07,3.6485238213868723e-06,3.1054e-16,0.04953131934529448,0.04953131934529448
1,144977494,148361253,0.00016895,5.7559e-05,-2.4570806458020705e-07,4.550170699315978e-06,1.15771e-07,0.019697181224334025,0.019697181224334025
1,148361253,151538881,0.0012681,0.00010027,7.197871171596996e-06,7.809798747066162e-06,5.34487e-15,0.003349602872545152,0.003349602872545152
1,151538881,153180829,0.00013285,5.5603e-05,2.167189740065383e-05,7.004569608876884e-06,8.78831e-06,0.00846674991400535,0.00846674991400535
1,153180829,154770403,0.00015709,5.6924e-05,9.315861582138376e-07,7.30480891239267e-06,1.20177e-05,0.0003428087051851726,0.0003428087051851726
1,154770403,156336133,0.0007459,8.2775e-05,1.495437606681689e-05,7.951472572231961e-06,1.88305e-38,0.00029592527373409154,0.00029592527373409154
1,156336133,158027412,7.487e-05,5.2307e-05,3.441860998346817e-06,5.877808489890946e-06,4.10469e-06,0.0025022798773270093,0.0025022798773270093
1,158027412,159913048,9.3433e-05,5.3384e-05,2.1132047800374445e-05,5.960744636341494e-06,0.000138401,0.000478213605562719,0.000478213605562719
1,159913048,162346721,5.26e-05,5.0985e-05,1.2977103364029973e-05,8.263420206513828e-06,0.000108472,0.009462105165599883,0.013253961657262364
1,162346721,165191702,3.7002e-05,5.0038e-05,7.263348335762295e-06,3.595226670195078e-06,8.06604e-08,0.001152704183003614,0.001152704183003614
1,165191702,166460517,4.56e-05,5.0562e-05,-1.6717079083199564e-06,2.8629921887831594e-06,0.000228005,0.1584087120124936,0.1584087120124936
1,166460517,169086324,2.9848e-05,4.9597e-05,6.154352419726386e-06,4.90388435906352e-06,4.28539e-07,0.03135036605668527,0.03135036605668527
1,169086324,170557776,0.000254,6.1925e-05,-4.256488216820592e-06,3.976248140152289e-06,4.55715e-07,0.2346783758397018,0.2346783758397018
1,170557776,173097907,0.00044299,7.0667e-05,-2.7233607548072027e-06,4.290639078695159e-06,2.03651e-22,0.04300317693125776,0.04300317693125776
1,173097907,175089768,0.00026392,6.1272e-05,6.644030375437203e-08,4.078090606406548e-06,1.68179e-07,0.03662328077941321,0.03662328077941321
1,175089768,177433381,0.00045566,7.1215e-05,3.960300427372828e-05,2.5370694709780188e-06,1.07609e-28,2.873282835217886e-13,2.873282835217886e-13
1,177433381,178944309,0.00051496,7.3724e-05,-6.621848218800237e-07,2.420455412409561e-06,3.52356e-37,0.022042567974294804,0.22487811222313064
1,178944309,178954470,6.0013e-05,2.0291e-05,-6.138931021266416e-08,9.494599531341544e-08,0.0406929,0.7698331196806403,inf
1,178954470,181144121,3.6873e-05,5.003e-05,7.305474369471096e-06,4.366980457009662e-06,2.42938e-13,0.007590601877380207,0.007590601877380207
1,181144121,182755356,8.208e-06,4.8241e-05,2.3986636259945184e-06,3.149040114451793e-06,0.000799882,0.020544521076226726,0.020544521076226726
1,182755356,184595513,0.00084482,8.6362e-05,7.481683170794036e-06,3.901066733889467e-06,3.7876e-21,0.004755320559632025,0.004755320559632025
