GENE             CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
ENSG00000187634    1     859993     879961    105      25  51453     -0.53482      0.70361
ENSG00000188976    1     879583     894679     66      13  51453       -2.761      0.99712
ENSG00000187961    1     895967     901099     45      11  51453      -1.8112      0.96494
ENSG00000187583    1     901872     910488     55      25  51453       1.2041      0.11427
ENSG00000188290    1     934342     936608     16       5  51453      0.28526      0.38772
ENSG00000187608    1     948847     949920      7       3  51453      0.51936      0.30175
ENSG00000188157    1     955503     991499    216      34  51453       1.1318      0.12887
ENSG00000237330    1    1007126    1009687     13       7  51453      0.29142      0.38537
ENSG00000131591    1    1017198    1051736    156      18  51453     -0.17802      0.57065
ENSG00000162571    1    1109286    1133315    172      22  51453      0.56297      0.28673
ENSG00000186891    1    1138888    1142163     15       4  51453       1.2102      0.11309
ENSG00000186827    1    1146706    1149703     13       6  51453     -0.23533      0.59302
ENSG00000078808    1    1152288    1167447    104       6  51453      0.33176      0.37003
ENSG00000176022    1    1167629    1170421     12       4  51453       1.3165     0.094006
ENSG00000184163    1    1177826    1182102     17       5  51453      0.66199      0.25399
ENSG00000160087    1    1189292    1209234     69      13  51453    -0.058524      0.52333
ENSG00000162572    1    1215816    1227409     59      20  51453     -0.80696      0.79015
ENSG00000131584    1    1227764    1243304     74      15  51453    -0.015198      0.50606
ENSG00000169972    1    1243962    1247057     10       7  51453      -2.0016      0.97734
ENSG00000127054    1    1246965    1260067     28       9  51453     -0.37912       0.6477
ENSG00000169962    1    1266726    1269844     18      11  51453     -0.45734      0.67629
ENSG00000107404    1    1270658    1284509     53      12  51453       -0.121      0.54816
ENSG00000162576    1    1288071    1297183     33       7  51453    -0.087347       0.5348
ENSG00000175756    1    1309110    1310818      9       4  51453      0.68081        0.248
ENSG00000221978    1    1321091    1334718     31      11  51453      -1.6235      0.94776
ENSG00000242485    1    1337276    1342693     18       7  51453     -0.28376       0.6117
ENSG00000235098    1    1353800    1356824     12       3  51453       1.8161     0.034681
ENSG00000205116    1    1361508    1363167     10       4  51453     -0.14947      0.55941
ENSG00000179403    1    1370903    1378262     24       7  51453      -1.1382      0.87249
ENSG00000215915    1    1378152    1405538    101      18  51453      -1.3864      0.91719
ENSG00000160072    1    1407139    1444852    168      18  51453     -0.95157      0.82934
ENSG00000197785    1    1447523    1470067    107      13  51453     -0.78283      0.78314
ENSG00000205090    1    1470158    1475740     12       6  51453     -0.55109      0.70921
ENSG00000160075    1    1477053    1510262    102      10  51453     -0.90332      0.81682
ENSG00000228594    1    1533388    1535476      2       1  51453       0.7678       0.2213
ENSG00000197530    1    1550795    1565990     36       7  51453    -0.086958      0.53465
ENSG00000189409    1    1567060    1570030      2       1  51453      -0.8646      0.80637
ENSG00000248333    1    1571100    1590473     33       4  51453      0.97543      0.16467
ENSG00000189339    1    1591486    1624243     89      15  51453      0.34429      0.36532
ENSG00000008128    1    1633822    1655999    109       7  51453      0.74472      0.22822
ENSG00000215790    1    1656277    1677438     79      10  51453      0.91872      0.17912
ENSG00000008130    1    1682671    1711508    104      19  51453      0.10063      0.45992
ENSG00000078369    1    1716725    1822552    242      39  51453      0.26753      0.39453
ENSG00000169885    1    1846266    1848733     14       5  51453      0.59442      0.27612
ENSG00000178821    1    1849029    1850740      9       4  51453     -0.14794       0.5588
ENSG00000187730    1    1950768    1962192     43      12  51453     -0.61117      0.72946
ENSG00000067606    1    1981909    2116834    664      60  51453     -0.49864      0.69098
ENSG00000162585    1    2115899    2144159     87      25  51453      0.51886      0.30193
ENSG00000157933    1    2160134    2241652    373      74  51453       1.4665     0.071259
ENSG00000116151    1    2251719    2323190    445      60  51453      0.25705      0.39857
ENSG00000157916    1    2323214    2336883     53      19  51453       1.1724      0.12051
ENSG00000157911    1    2336241    2344010     41      18  51453       1.5558     0.059881
ENSG00000149527    1    2407754    2436964    144      34  51453      -1.5097      0.93444
ENSG00000157881    1    2439975    2458061     98      24  51453     -0.63243      0.73645
ENSG00000197921    1    2460184    2461684      6       4  51453      0.27143      0.39303
ENSG00000157873    1    2487291    2495268     32      11  51453     -0.38109      0.64843
ENSG00000157870    1    2517899    2522908     24      13  51453     -0.41016      0.65916
ENSG00000142606    1    2522078    2564499    234      20  51453      0.16237      0.43551
ENSG00000215912    1    2572807    2706230    431      31  51453      -0.9034      0.81684
ENSG00000169717    1    2938046    2939467      7       4  51453     0.014085      0.49438
ENSG00000142611    1    2985565    3355185   1987     205  51453      0.85993      0.19491
ENSG00000130762    1    3371147    3397677    127      20  51453     -0.10369      0.54129
ENSG00000162591    1    3404506    3528059    669     101  51453      0.63018      0.26429
ENSG00000158109    1    3541556    3546695     15       6  51453      0.03439      0.48628
ENSG00000116213    1    3547331    3566671     68      21  51453     -0.17594      0.56983
ENSG00000078900    1    3569129    3652765    384      71  51453      -0.5444      0.70692
ENSG00000162592    1    3668965    3688209     84      20  51453      0.47479      0.31747
ENSG00000235169    1    3689352    3692546     13       5  51453     0.027631      0.48898
ENSG00000130764    1    3696784    3713068     97      20  51453      0.46967       0.3193
ENSG00000116198    1    3728645    3773797    335      20  51453       1.0619      0.14415
ENSG00000169598    1    3773845    3801993    194      28  51453     -0.27876      0.60978
ENSG00000198912    1    3805697    3816857     57      13  51453      0.42394       0.3358
ENSG00000196581    1    4715105    4843851    846     107  51453        1.027      0.15221
ENSG00000131697    1    5922870    6052618    597      36  51453     -0.14364      0.55711
ENSG00000069424    1    6052358    6161253    467      72  51453      -1.9185      0.97247
ENSG00000116254    1    6161847    6240194    390      51  51453       1.7944     0.036372
ENSG00000116251    1    6245080    6259679     44      10  51453       2.0825     0.018648
ENSG00000158286    1    6266189    6281359     60      12  51453     -0.63729      0.73803
ENSG00000116237    1    6281253    6296044     53      12  51453     -0.68485      0.75328
ENSG00000173673    1    6304252    6305638      6       3  51453      0.81783      0.20673
ENSG00000158292    1    6307406    6321035     50       6  51453       1.0174      0.15449
ENSG00000097021    1    6324332    6453826    613      33  51453      -1.3076       0.9045
ENSG00000069812    1    6475292    6484724     35       8  51453      -0.7565      0.77532
ENSG00000187017    1    6484836    6521004    143      20  51453      -1.9475      0.97426
ENSG00000215788    1    6520787    6527432     34      13  51453    -0.098717      0.53932
ENSG00000171680    1    6526152    6580121    230      47  51453     -0.95828      0.83104
ENSG00000162408    1    6581407    6614658    166      10  51453       -1.131      0.87098
ENSG00000173662    1    6614987    6639817     97      21  51453     0.098233      0.46087
ENSG00000204859    1    6640051    6649340     20      11  51453      -1.0553      0.85436
ENSG00000162413    1    6650784    6662958     56      22  51453      -1.2778      0.89934
ENSG00000116273    1    6673756    6684093     30       8  51453      -0.3058      0.62012
ENSG00000041988    1    6684925    6695646     47      13  51453     -0.48638      0.68665
ENSG00000007923    1    6694228    6761966    237      39  51453    -0.041956      0.51673
ENSG00000171735    1    6845384    7829766   3850     277  51453     -0.34008       0.6331
ENSG00000049245    1    7831329    7841492     44      13  51453     -0.10514      0.54187
ENSG00000049246    1    7844413    7905241    302      33  51453     -0.37678      0.64683
ENSG00000049247    1    7907672    7913551     28      11  51453     -0.49186      0.68859
ENSG00000049249    1    7975931    8003225     83      15  51453       0.3298      0.37077
ENSG00000116288    1    8021714    8045342     81      18  51453      0.11149      0.45562
ENSG00000116285    1    8071779    8086393     34      10  51453      0.43239      0.33273
ENSG00000162426    1    8378171    8404227    109      20  51453     -0.29483      0.61594
ENSG00000142599    1    8412464    8877699   1131      49  51453      -2.0382      0.97924
ENSG00000074800    1    8921059    8939151     45      13  51453      -1.2494      0.89424
ENSG00000131686    1    9005893    9035151    164      37  51453       1.2257      0.11015
ENSG00000197241    1    9063359    9086404    100      29  51453     -0.51868      0.69801
ENSG00000142583    1    9097005    9131763    162      25  51453      -1.5576      0.94033
ENSG00000180758    1    9163472    9189229     98      21  51453      0.44342      0.32873
ENSG00000049239    1    9294822    9331396    157      36  51453       -1.489      0.93175
ENSG00000171621    1    9335202    9429591    597      96  51453     -0.48497      0.68615
ENSG00000171612    1    9599528    9642831    104      23  51453        2.902    0.0018539
ENSG00000188807    1    9648932    9674935     72      20  51453       2.9258    0.0017178
ENSG00000171608    1    9711789    9789172    264      48  51453       2.9597    0.0015396
ENSG00000171603    1    9789079    9884550    272      38  51453       1.5284     0.063212
ENSG00000178585    1    9908334    9970316    192      44  51453      0.75129      0.22624
ENSG00000162441    1    9982168   10003460     74      19  51453       1.8071     0.035375
ENSG00000173614    1   10003486   10045556    131      27  51453       1.2631      0.10328
ENSG00000162444    1   10057255   10076078     61      11  51453       1.3967     0.081244
ENSG00000130939    1   10093041   10241297    520      33  51453       1.2215      0.11096
ENSG00000054523    1   10270606   10441664    721      29  51453        1.695     0.045035
ENSG00000142657    1   10458884   10480565     71      14  51453       1.8579     0.031593
ENSG00000175279    1   10489944   10510239     83      14  51453     0.056124      0.47762
ENSG00000241563    1   10509776   10512060      5       2  51453      0.72053       0.2356
ENSG00000160049    1   10520588   10532613     44      17  51453       1.9507     0.025545
ENSG00000142655    1   10535003   10690815    550      49  51453      0.53318      0.29695
ENSG00000130940    1   10696661   10856733    570      97  51453     0.084286      0.46641
ENSG00000175262    1   11006530   11042094    143      21  51453      0.23846      0.40576
ENSG00000120948    1   11072462   11085549     33       7  51453     0.089901      0.46418
ENSG00000009724    1   11086580   11107296     84      15  51453    -0.045091      0.51798
ENSG00000116649    1   11114649   11120091     12       5  51453     -0.41477      0.66084
ENSG00000171824    1   11126675   11159961    123      10  51453      0.53146      0.29755
ENSG00000198793    1   11166588   11322614    442      18  51453      0.57627      0.28222
ENSG00000171819    1   11249346   11256038     20       5  51453      0.82393      0.20499
ENSG00000120942    1   11333255   11348491     30       6  51453      0.96635      0.16694
ENSG00000204624    1   11539295   11597640    206      27  51453      0.93996      0.17362
ENSG00000116661    1   11707924   11714888     25      14  51453      0.59201      0.27692
ENSG00000132879    1   11714432   11723384     31      11  51453     -0.10185      0.54056
ENSG00000116663    1   11724150   11734411     50      14  51453       0.8228      0.20531
ENSG00000116670    1   11734537   11751678     77      17  51453       1.5162     0.064732
ENSG00000162490    1   11751781   11780336    109      21  51453      0.73289      0.23181
ENSG00000177674    1   11796142   11810828     49      11  51453       1.3243       0.0927
ENSG00000215910    1   11823827   11849642    168      13  51453   -0.0096128      0.50383
ENSG00000177000    1   11845787   11866160     89      13  51453    -0.014108      0.50563
ENSG00000011021    1   11866153   11903201    224      19  51453     -0.28651      0.61275
ENSG00000175206    1   11905766   11907840     19       5  51453     -0.93785      0.82584
ENSG00000120937    1   11917521   11918992      4       2  51453      0.89546      0.18527
ENSG00000116685    1   11979645   11986485     31      11  51453      0.14028      0.44422
ENSG00000083444    1   11994724   12035599    159      21  51453     -0.42581      0.66488
ENSG00000116688    1   12040238   12073572    115      15  51453      -1.4449      0.92576
ENSG00000116691    1   12079299   12092106     31       9  51453       1.0533      0.14609
ENSG00000120949    1   12123434   12204264    250      51  51453      0.35033      0.36304
ENSG00000028137    1   12227044   12269279    164      24  51453    -0.098119      0.53908
ENSG00000048707    1   12290101   12572099    796      35  51453     -0.22074      0.58735
ENSG00000162496    1   12627939   12677820    209      44  51453     0.032927      0.48687
ENSG00000204518    1   12704566   12727097     78      11  51453      -2.0492      0.97978
ENSG00000188984    1   12776118   12788726     51       9  51453     -0.59838      0.72521
ENSG00000157330    1   12806163   12821102     45      10  51453      -4.0639      0.99998
ENSG00000116726    1   12834984   12838049     10       3  51453       1.2202       0.1112
ENSG00000116721    1   12851546   12856777     17       9  51453       2.1191     0.017042
ENSG00000204513    1   12884468   12891264      2       1  51453     -0.25892      0.60215
ENSG00000179172    1   12907261   12908578      7       3  51453    -0.096962      0.53862
ENSG00000120952    1   12916941   12921764     32       7  51453       1.3387     0.090333
ENSG00000243073    1   12939033   12946025      6       1  51453      0.96802      0.16652
ENSG00000187545    1   12952727   12958094      1       1  51453      -1.3067      0.90434
ENSG00000204488    1   13495254   13498260      1       1  51453     -0.22246      0.58802
ENSG00000162494    1   13801445   13840242    185      41  51453       1.0071      0.15694
ENSG00000162493    1   13910252   13944452    155      39  51453      -0.7008      0.75829
ENSG00000116731    1   14026714   14151574    511      43  51453       1.6429     0.050199
ENSG00000189337    1   14219646   15444544   6070     428  51453     -0.93885       0.8261
ENSG00000171729    1   15479028   15546974    414      31  51453      -1.3713      0.91486
ENSG00000204464    1   15490692   15498120     35      10  51453     -0.27825      0.60959
ENSG00000142621    1   15573730   15724767    634      80  51453     -0.50906      0.69464
ENSG00000142634    1   15736391   15756839     91      31  51453     -0.27761      0.60934
ENSG00000162438    1   15764938   15773153     32      14  51453      0.41937      0.33747
ENSG00000142615    1   15783223   15798586     78      15  51453     -0.56015      0.71231
ENSG00000215704    1   15802596   15817895     67      16  51453     -0.48659      0.68673
ENSG00000132906    1   15817896   15851407    167      16  51453    -0.023323       0.5093
ENSG00000116138    1   15853343   15898228    159      21  51453      0.42777      0.33441
ENSG00000116771    1   15898194   15911605     81      12  51453       0.2525      0.40033
ENSG00000197312    1   15943953   15995539    173      16  51453     -0.27081      0.60673
ENSG00000215695    1   15986364   15988217      8       5  51453       1.4609     0.072024
ENSG00000116786    1   16010632   16061264    220      27  51453     -0.53739       0.7045
ENSG00000162461    1   16062721   16067884     12       7  51453      0.39822      0.34523
ENSG00000162460    1   16068987   16074292     32      10  51453      0.34211      0.36613
ENSG00000162458    1   16083107   16113089    128      26  51453       1.3747     0.084613
ENSG00000065526    1   16174359   16266951    283      35  51453        1.184      0.11821
ENSG00000116809    1   16268364   16302627     96      30  51453       1.0994      0.13579
ENSG00000183888    1   16330731   16333184     19       8  51453       1.3727     0.084922
ENSG00000173641    1   16340523   16346084     49       6  51453       0.5917      0.27703
ENSG00000186510    1   16348486   16360548     96      18  51453     -0.33022      0.62938
ENSG00000184908    1   16370231   16383821    160      21  51453      0.24702      0.40244
ENSG00000185519    1   16384264   16400127    110      18  51453     -0.24098      0.59521
ENSG00000142627    1   16450832   16482582     94      30  51453      -0.4085      0.65855
ENSG00000142632    1   16524599   16539104     76      12  51453      0.14402      0.44274
